stage_order,n_stages,stage,modality,detector_name,threshold_L,threshold_H,expected_latency_ms,total_latency_ms,system_total_far,system_total_frr,valid_thresholds
SBI,1,1,visual,SBI,0.05,0.5268121683046906,2676.15,2676.15,0.0003652393569728131,0.32380684770231344,True
Xception,1,1,visual,Xception,0.05,0.5907739887919108,158.79,158.79,0.0003652393569728131,0.17140814479103808,True
UCF,1,1,visual,UCF,0.05,0.7748806291510766,224.81,224.81,0.0003652393569728131,0.13744131617563612,True
"SBI,Xception",2,1,visual,SBI,0.05,0.5268121679017725,2676.15,2834.94,0.04999999991601107,1.4338905630780177,True
"SBI,Xception",2,2,visual,Xception,0.05,0.5907739887551349,158.79,2834.94,0.04999999991601107,1.4338905630780177,True
"SBI,UCF",2,1,visual,SBI,0.05,0.526812168142562,2676.15,2900.96,0.049999999957022444,1.2139125477557067,True
"SBI,UCF",2,2,visual,UCF,0.05,0.7748806291169376,224.81,2900.96,0.049999999957022444,1.2139125477557067,True
"Xception,SBI",2,1,visual,Xception,0.2309701819907007,0.5907739884532552,158.79,2834.94,0.049999999913695345,1.281491860753879,True
"Xception,SBI",2,2,visual,SBI,0.05,0.5268121681959439,2676.15,2834.94,0.049999999913695345,1.281491860753879,True
"Xception,UCF",2,1,visual,Xception,0.23097018194629662,0.5907739886429361,158.79,383.6,0.04999999990954808,0.6425883194392199,True
"Xception,UCF",2,2,visual,UCF,0.05,0.7748806290676408,224.81,383.6,0.04999999990954808,0.6425883194392199,True
"UCF,SBI",2,1,visual,UCF,0.1306107726703101,0.7748806282484612,224.81,2900.96,0.049999999888204784,1.0275470188471323,True
"UCF,SBI",2,2,visual,SBI,0.05,0.5268121681568245,2676.15,2900.96,0.049999999888204784,1.0275470188471323,True
"UCF,Xception",2,1,visual,UCF,0.13061077280388234,0.7748806288502371,224.81,383.6,0.04999999991194043,0.6086214904108711,True
"UCF,Xception",2,2,visual,Xception,0.05,0.5907739887551061,158.79,383.6,0.04999999991194043,0.6086214904108711,True
"SBI,Xception,UCF",3,1,visual,SBI,0.05,0.05,2676.15,3059.75,0.04999999997395259,5.875588231616815,False
"SBI,Xception,UCF",3,2,visual,Xception,0.32041980491893746,0.5907739886989587,158.79,3059.75,0.04999999997395259,5.875588231616815,False
"SBI,Xception,UCF",3,3,visual,UCF,0.05,0.7748806290019643,224.81,3059.75,0.04999999997395259,5.875588231616815,False
"SBI,UCF,Xception",3,1,visual,SBI,0.05,0.05,2676.15,3059.75,0.04999999996781602,5.530446961608213,False
"SBI,UCF,Xception",3,2,visual,UCF,0.26221249670571045,0.7748806288496335,224.81,3059.75,0.04999999996781602,5.530446961608213,False
"SBI,UCF,Xception",3,3,visual,Xception,0.05,0.5907739886918859,158.79,3059.75,0.04999999996781602,5.530446961608213,False
"Xception,SBI,UCF",3,1,visual,Xception,0.19361394132356827,0.05,158.79,3059.75,0.04999999995003563,4.732686155423706,False
"Xception,SBI,UCF",3,2,visual,SBI,0.05,0.5268121680031668,2676.15,3059.75,0.04999999995003563,4.732686155423706,False
"Xception,SBI,UCF",3,3,visual,UCF,0.05,0.7748806289054004,224.81,3059.75,0.04999999995003563,4.732686155423706,False
"Xception,UCF,SBI",3,1,visual,Xception,0.18393650629285752,0.05,158.79,3059.75,0.049999999970699656,3.7376030521855936,False
"Xception,UCF,SBI",3,2,visual,UCF,0.34988376976214197,0.7748806289527193,224.81,3059.75,0.049999999970699656,3.7376030521855936,False
"Xception,UCF,SBI",3,3,visual,SBI,0.05,0.5268121681765817,2676.15,3059.75,0.049999999970699656,3.7376030521855936,False
"UCF,SBI,Xception",3,1,visual,UCF,0.09276524772492667,0.05,224.81,3059.75,0.04999999996534276,4.082591815140104,False
"UCF,SBI,Xception",3,2,visual,SBI,0.05802254409746685,0.5268121681506424,2676.15,3059.75,0.04999999996534276,4.082591815140104,False
"UCF,SBI,Xception",3,3,visual,Xception,0.05,0.5907739887345529,158.79,3059.75,0.04999999996534276,4.082591815140104,False
"UCF,Xception,SBI",3,1,visual,UCF,0.08691798837460168,0.05,224.81,3059.75,0.049999999958458864,3.4278250693855057,False
"UCF,Xception,SBI",3,2,visual,Xception,0.39138166508162353,0.5907739886383079,158.79,3059.75,0.049999999958458864,3.4278250693855057,False
"UCF,Xception,SBI",3,3,visual,SBI,0.05,0.5268121680829507,2676.15,3059.75,0.049999999958458864,3.4278250693855057,False
