detector_name,dataset,threshold,far,frr,avg_latency_ms,n_samples
SBI,FaceForensics,0.05,0.046429,0.528571,308.7,700
SBI,FaceForensics,0.1,0.1,0.385714,308.7,700
SBI,FaceForensics,0.15,0.1375,0.285714,308.7,700
SBI,FaceForensics,0.2,0.194643,0.207143,308.7,700
SBI,FaceForensics,0.25,0.233929,0.164286,308.7,700
SBI,FaceForensics,0.3,0.258929,0.135714,308.7,700
SBI,FaceForensics,0.35,0.291071,0.1,308.7,700
SBI,FaceForensics,0.4,0.319643,0.071429,308.7,700
SBI,FaceForensics,0.45,0.353571,0.05,308.7,700
SBI,FaceForensics,0.5,0.4,0.042857,308.7,700
SBI,FaceForensics,0.55,0.435714,0.028571,308.7,700
SBI,FaceForensics,0.6,0.480357,0.028571,308.7,700
SBI,FaceForensics,0.65,0.516071,0.028571,308.7,700
SBI,FaceForensics,0.7,0.553571,0.021429,308.7,700
SBI,FaceForensics,0.75,0.598214,0.007143,308.7,700
SBI,FaceForensics,0.8,0.632143,0.007143,308.7,700
SBI,FaceForensics,0.85,0.683929,0.0,308.7,700
SBI,FaceForensics,0.9,0.741071,0.0,308.7,700
SBI,FaceForensics,0.95,0.805357,0.0,308.7,700
SBI,FaceForensics,1.0,1.0,0.0,308.7,700
