sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR Limit,FAR,FRR
1,-1,2,0.95,0.05,-1,-1,0.25,0.25,0.000,0.0,0.879087
2,3,1,0.7,0.1,0.15,0.15,0.6,0.25,0.005,0.004986,0.652296
2,3,1,0.75,0.2,0.15,0.15,0.6,0.25,0.010,0.009365,0.557266
2,3,1,0.85,0.2,0.15,0.15,0.65,0.25,0.015,0.014502,0.514954
2,3,1,0.7,0.2,0.25,0.25,0.6,0.25,0.020,0.019596,0.486626
2,3,1,0.85,0.3,0.15,0.15,0.6,0.25,0.025,0.024033,0.463063
2,3,1,0.8,0.3,0.2,0.2,0.6,0.25,0.030,0.028928,0.438431
2,3,1,0.75,0.3,0.25,0.25,0.6,0.25,0.035,0.034958,0.415888
2,3,1,0.7,0.3,0.3,0.3,0.6,0.25,0.040,0.037285,0.398689
1,3,2,0.7,0.2,0.45,0.45,0.55,0.25,0.045,0.042979,0.380357
1,2,3,0.7,0.2,0.45,0.15,0.55,0.55,0.050,0.049053,0.357093
1,3,2,0.7,0.2,0.45,0.45,0.6,0.25,0.055,0.053978,0.336427
1,3,2,0.7,0.2,0.45,0.45,0.6,0.3,0.060,0.057984,0.322611
1,3,2,0.7,0.2,0.45,0.45,0.6,0.35,0.065,0.063594,0.308794
1,3,2,0.7,0.2,0.5,0.5,0.6,0.3,0.070,0.069051,0.298205
1,3,2,0.7,0.2,0.5,0.5,0.6,0.35,0.075,0.074095,0.286947
1,2,3,0.7,0.2,0.6,0.15,0.55,0.55,0.080,0.07891,0.274115
1,3,2,0.7,0.2,0.45,0.45,0.6,0.45,0.085,0.082826,0.26947
1,2,3,0.7,0.2,0.65,0.15,0.55,0.55,0.090,0.087052,0.258055
1,2,3,0.7,0.2,0.65,0.2,0.55,0.55,0.095,0.093887,0.248135
1,2,3,0.7,0.2,0.6,0.15,0.6,0.6,0.100,0.099473,0.236916
1,2,3,0.7,0.2,0.7,0.2,0.55,0.55,0.105,0.102708,0.232075
1,2,3,0.8,0.2,0.6,0.15,0.55,0.55,0.110,0.107988,0.224793
1,3,2,0.8,0.3,0.45,0.45,0.6,0.35,0.115,0.113903,0.215894
1,2,3,0.8,0.2,0.65,0.15,0.55,0.55,0.120,0.119657,0.206997
2,1,3,0.7,0.2,0.8,0.15,0.55,0.55,0.125,0.124103,0.199334
1,2,3,0.7,0.2,0.7,0.2,0.6,0.6,0.130,0.128173,0.194877
1,2,3,0.8,0.3,0.6,0.15,0.55,0.55,0.135,0.134526,0.185589
1,3,2,0.8,0.3,0.45,0.45,0.6,0.45,0.140,0.139798,0.18153
2,1,3,0.7,0.3,0.8,0.15,0.55,0.55,0.145,0.141795,0.175324
2,1,3,0.7,0.2,0.75,0.15,0.6,0.6,0.150,0.148368,0.169042
1,2,3,0.8,0.3,0.65,0.2,0.55,0.55,0.155,0.154691,0.162886
2,1,3,0.7,0.2,0.8,0.15,0.6,0.6,0.160,0.156263,0.155404
1,2,3,0.8,0.3,0.6,0.15,0.6,0.6,0.165,0.162213,0.153082
2,1,3,0.7,0.2,0.85,0.15,0.6,0.6,0.170,0.169586,0.146312
2,1,3,0.7,0.3,0.8,0.15,0.6,0.6,0.175,0.17117,0.141684
1,2,3,0.8,0.2,0.7,0.2,0.6,0.6,0.180,0.178586,0.136989
1,2,3,0.8,0.25,0.7,0.15,0.6,0.6,0.185,0.184823,0.130594
1,2,3,0.8,0.25,0.7,0.15,0.6,0.6,0.190,0.184823,0.130594
1,2,3,0.8,0.3,0.7,0.15,0.6,0.6,0.195,0.193103,0.121298
1,2,3,0.8,0.3,0.7,0.15,0.6,0.6,0.200,0.193103,0.121298
1,2,3,0.85,0.25,0.7,0.15,0.6,0.6,0.205,0.204862,0.116275
1,2,3,0.8,0.2,0.8,0.2,0.6,0.6,0.210,0.20949,0.113478
1,2,3,0.85,0.3,0.7,0.15,0.6,0.6,0.215,0.213142,0.106979
2,1,3,0.8,0.25,0.8,0.15,0.6,0.6,0.220,0.219202,0.106857
2,1,3,0.8,0.3,0.8,0.15,0.6,0.6,0.225,0.224622,0.101053
1,2,3,0.8,0.3,0.8,0.2,0.6,0.6,0.230,0.229893,0.097804
1,2,3,0.85,0.3,0.75,0.15,0.6,0.6,0.235,0.23487,0.096057
1,2,3,0.85,0.25,0.8,0.15,0.6,0.6,0.240,0.238484,0.095058
1,2,3,0.85,0.3,0.75,0.2,0.6,0.6,0.245,0.243666,0.09095
1,2,3,0.85,0.3,0.8,0.15,0.6,0.6,0.250,0.246084,0.087865
1,2,3,0.85,0.3,0.8,0.2,0.6,0.6,0.255,0.25488,0.082758
1,2,3,0.85,0.3,0.8,0.2,0.6,0.6,0.260,0.25488,0.082758
2,1,3,0.8,0.3,0.95,0.15,0.6,0.6,0.265,0.264243,0.081116
1,2,3,0.85,0.3,0.8,0.25,0.6,0.6,0.270,0.26954,0.075949
1,2,3,0.85,0.3,0.8,0.25,0.6,0.6,0.275,0.26954,0.075949
1,2,3,0.85,0.35,0.8,0.2,0.6,0.6,0.280,0.277137,0.074318
1,2,3,0.85,0.3,0.8,0.3,0.6,0.6,0.285,0.282245,0.070843
1,2,3,0.85,0.3,0.85,0.25,0.6,0.6,0.290,0.288464,0.070488
1,2,3,0.85,0.3,0.8,0.35,0.6,0.6,0.295,0.293972,0.067864
1,2,3,0.9,0.3,0.8,0.2,0.6,0.6,0.300,0.298336,0.067713
1,2,3,0.85,0.35,0.8,0.3,0.6,0.6,0.305,0.302809,0.064071
1,2,3,0.85,0.3,0.9,0.3,0.6,0.6,0.310,0.308178,0.062651
1,2,3,0.85,0.3,0.8,0.4,0.6,0.6,0.315,0.313519,0.06063
1,2,3,0.85,0.3,0.9,0.35,0.6,0.6,0.320,0.319905,0.059672
1,3,2,0.85,0.3,0.45,0.45,0.7,0.6,0.325,0.324654,0.058644
1,2,3,0.85,0.3,0.8,0.45,0.6,0.6,0.330,0.328178,0.056374
1,2,3,0.85,0.3,0.85,0.4,0.6,0.6,0.335,0.332443,0.055168
1,3,2,0.85,0.2,0.45,0.45,0.8,0.6,0.340,0.339877,0.051426
1,3,2,0.85,0.3,0.4,0.4,0.8,0.6,0.345,0.342852,0.049707
1,3,2,0.85,0.25,0.45,0.45,0.8,0.6,0.350,0.349262,0.047979
1,3,2,0.85,0.3,0.45,0.45,0.8,0.6,0.355,0.354624,0.045452
1,3,2,0.85,0.3,0.45,0.45,0.8,0.6,0.360,0.354624,0.045452
1,3,2,0.85,0.3,0.45,0.45,0.8,0.6,0.365,0.354624,0.045452
1,3,2,0.85,0.25,0.5,0.5,0.8,0.6,0.370,0.369287,0.043256
1,3,2,0.85,0.3,0.5,0.5,0.8,0.6,0.375,0.374245,0.041196
1,3,2,0.85,0.3,0.5,0.5,0.8,0.6,0.380,0.374245,0.041196
1,3,2,0.85,0.3,0.5,0.5,0.8,0.6,0.385,0.374245,0.041196
1,3,2,0.85,0.35,0.5,0.5,0.8,0.6,0.390,0.389119,0.038575
1,3,2,0.85,0.35,0.5,0.5,0.8,0.6,0.395,0.389119,0.038575
1,3,2,0.9,0.25,0.4,0.4,0.8,0.6,0.400,0.398842,0.036666
1,3,2,0.9,0.3,0.4,0.4,0.8,0.6,0.405,0.404447,0.03367
1,3,2,0.9,0.3,0.4,0.4,0.8,0.6,0.410,0.404447,0.03367
