sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR Limit,FAR,FRR
1,-1,-1,0.05,0.05,-1,-1,-1,-1,0.150,0.148598,0.623758
1,-1,-1,0.05,0.05,-1,-1,-1,-1,0.155,0.148598,0.623758
1,-1,-1,0.05,0.05,-1,-1,-1,-1,0.160,0.148598,0.623758
1,-1,-1,0.05,0.05,-1,-1,-1,-1,0.165,0.148598,0.623758
1,-1,-1,0.05,0.05,-1,-1,-1,-1,0.170,0.148598,0.623758
1,-1,-1,0.05,0.05,-1,-1,-1,-1,0.175,0.148598,0.623758
1,-1,-1,0.05,0.05,-1,-1,-1,-1,0.180,0.148598,0.623758
1,-1,-1,0.05,0.05,-1,-1,-1,-1,0.185,0.148598,0.623758
1,-1,-1,0.05,0.05,-1,-1,-1,-1,0.190,0.148598,0.623758
1,-1,-1,0.05,0.05,-1,-1,-1,-1,0.195,0.148598,0.623758
1,-1,-1,0.05,0.05,-1,-1,-1,-1,0.200,0.148598,0.623758
1,-1,-1,0.05,0.05,-1,-1,-1,-1,0.205,0.148598,0.623758
1,-1,-1,0.05,0.05,-1,-1,-1,-1,0.210,0.148598,0.623758
1,-1,-1,0.05,0.05,-1,-1,-1,-1,0.215,0.148598,0.623758
1,-1,-1,0.05,0.05,-1,-1,-1,-1,0.220,0.148598,0.623758
1,-1,-1,0.05,0.05,-1,-1,-1,-1,0.225,0.148598,0.623758
1,-1,-1,0.05,0.05,-1,-1,-1,-1,0.230,0.148598,0.623758
1,-1,-1,0.05,0.05,-1,-1,-1,-1,0.235,0.148598,0.623758
1,-1,-1,0.05,0.05,-1,-1,-1,-1,0.240,0.148598,0.623758
1,-1,-1,0.05,0.05,-1,-1,-1,-1,0.245,0.148598,0.623758
1,-1,-1,0.05,0.05,-1,-1,-1,-1,0.250,0.148598,0.623758
1,-1,-1,0.05,0.05,-1,-1,-1,-1,0.255,0.148598,0.623758
1,-1,-1,0.05,0.05,-1,-1,-1,-1,0.260,0.148598,0.623758
1,-1,-1,0.05,0.05,-1,-1,-1,-1,0.265,0.148598,0.623758
1,-1,-1,0.1,0.1,-1,-1,-1,-1,0.270,0.266639,0.421598
1,-1,-1,0.1,0.1,-1,-1,-1,-1,0.275,0.266639,0.421598
1,-1,-1,0.1,0.1,-1,-1,-1,-1,0.280,0.266639,0.421598
1,-1,-1,0.1,0.1,-1,-1,-1,-1,0.285,0.266639,0.421598
1,-1,-1,0.1,0.1,-1,-1,-1,-1,0.290,0.266639,0.421598
1,-1,-1,0.1,0.1,-1,-1,-1,-1,0.295,0.266639,0.421598
1,-1,-1,0.1,0.1,-1,-1,-1,-1,0.300,0.266639,0.421598
1,-1,-1,0.1,0.1,-1,-1,-1,-1,0.305,0.266639,0.421598
1,-1,-1,0.1,0.1,-1,-1,-1,-1,0.310,0.266639,0.421598
1,-1,-1,0.1,0.1,-1,-1,-1,-1,0.315,0.266639,0.421598
1,-1,-1,0.1,0.1,-1,-1,-1,-1,0.320,0.266639,0.421598
1,-1,-1,0.1,0.1,-1,-1,-1,-1,0.325,0.266639,0.421598
1,-1,-1,0.1,0.1,-1,-1,-1,-1,0.330,0.266639,0.421598
1,-1,-1,0.1,0.1,-1,-1,-1,-1,0.335,0.266639,0.421598
1,-1,-1,0.1,0.1,-1,-1,-1,-1,0.340,0.266639,0.421598
1,-1,-1,0.1,0.1,-1,-1,-1,-1,0.345,0.266639,0.421598
1,-1,-1,0.1,0.1,-1,-1,-1,-1,0.350,0.266639,0.421598
1,-1,-1,0.1,0.1,-1,-1,-1,-1,0.355,0.266639,0.421598
1,-1,-1,0.15,0.15,-1,-1,-1,-1,0.360,0.359983,0.308423
1,-1,-1,0.15,0.15,-1,-1,-1,-1,0.365,0.359983,0.308423
1,-1,-1,0.15,0.15,-1,-1,-1,-1,0.370,0.359983,0.308423
1,-1,-1,0.15,0.15,-1,-1,-1,-1,0.375,0.359983,0.308423
1,-1,-1,0.15,0.15,-1,-1,-1,-1,0.380,0.359983,0.308423
1,-1,-1,0.15,0.15,-1,-1,-1,-1,0.385,0.359983,0.308423
1,-1,-1,0.15,0.15,-1,-1,-1,-1,0.390,0.359983,0.308423
1,-1,-1,0.15,0.15,-1,-1,-1,-1,0.395,0.359983,0.308423
1,-1,-1,0.15,0.15,-1,-1,-1,-1,0.400,0.359983,0.308423
1,-1,-1,0.15,0.15,-1,-1,-1,-1,0.405,0.359983,0.308423
1,-1,-1,0.15,0.15,-1,-1,-1,-1,0.410,0.359983,0.308423
1,-1,-1,0.15,0.15,-1,-1,-1,-1,0.415,0.359983,0.308423
1,-1,-1,0.15,0.15,-1,-1,-1,-1,0.420,0.359983,0.308423
1,-1,-1,0.15,0.15,-1,-1,-1,-1,0.425,0.359983,0.308423
1,-1,-1,0.2,0.2,-1,-1,-1,-1,0.430,0.427375,0.231102
1,-1,-1,0.2,0.2,-1,-1,-1,-1,0.435,0.427375,0.231102
1,-1,-1,0.2,0.2,-1,-1,-1,-1,0.440,0.427375,0.231102
1,-1,-1,0.2,0.2,-1,-1,-1,-1,0.445,0.427375,0.231102
1,-1,-1,0.2,0.2,-1,-1,-1,-1,0.450,0.427375,0.231102
1,-1,-1,0.2,0.2,-1,-1,-1,-1,0.455,0.427375,0.231102
1,-1,-1,0.2,0.2,-1,-1,-1,-1,0.460,0.427375,0.231102
1,-1,-1,0.2,0.2,-1,-1,-1,-1,0.465,0.427375,0.231102
1,-1,-1,0.2,0.2,-1,-1,-1,-1,0.470,0.427375,0.231102
1,-1,-1,0.2,0.2,-1,-1,-1,-1,0.475,0.427375,0.231102
1,-1,-1,0.2,0.2,-1,-1,-1,-1,0.480,0.427375,0.231102
1,-1,-1,0.2,0.2,-1,-1,-1,-1,0.485,0.427375,0.231102
1,-1,-1,0.2,0.2,-1,-1,-1,-1,0.490,0.427375,0.231102
1,-1,-1,0.2,0.2,-1,-1,-1,-1,0.495,0.427375,0.231102
1,-1,-1,0.25,0.25,-1,-1,-1,-1,0.500,0.497698,0.171058
1,-1,-1,0.25,0.25,-1,-1,-1,-1,0.505,0.497698,0.171058
1,-1,-1,0.25,0.25,-1,-1,-1,-1,0.510,0.497698,0.171058
1,-1,-1,0.25,0.25,-1,-1,-1,-1,0.515,0.497698,0.171058
1,-1,-1,0.25,0.25,-1,-1,-1,-1,0.520,0.497698,0.171058
1,-1,-1,0.25,0.25,-1,-1,-1,-1,0.525,0.497698,0.171058
