sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR Limit,FAR,FRR
1,-1,-1,0.05,0.05,-1,-1,-1,-1,0.050,0.046429,0.528571
1,-1,-1,0.05,0.05,-1,-1,-1,-1,0.055,0.046429,0.528571
1,-1,-1,0.05,0.05,-1,-1,-1,-1,0.060,0.046429,0.528571
1,-1,-1,0.05,0.05,-1,-1,-1,-1,0.065,0.046429,0.528571
1,-1,-1,0.05,0.05,-1,-1,-1,-1,0.070,0.046429,0.528571
1,-1,-1,0.05,0.05,-1,-1,-1,-1,0.075,0.046429,0.528571
1,-1,-1,0.05,0.05,-1,-1,-1,-1,0.080,0.046429,0.528571
1,-1,-1,0.05,0.05,-1,-1,-1,-1,0.085,0.046429,0.528571
1,-1,-1,0.05,0.05,-1,-1,-1,-1,0.090,0.046429,0.528571
1,-1,-1,0.05,0.05,-1,-1,-1,-1,0.095,0.046429,0.528571
1,-1,-1,0.1,0.1,-1,-1,-1,-1,0.100,0.1,0.385714
1,-1,-1,0.1,0.1,-1,-1,-1,-1,0.105,0.1,0.385714
1,-1,-1,0.1,0.1,-1,-1,-1,-1,0.110,0.1,0.385714
1,-1,-1,0.1,0.1,-1,-1,-1,-1,0.115,0.1,0.385714
1,-1,-1,0.1,0.1,-1,-1,-1,-1,0.120,0.1,0.385714
1,-1,-1,0.1,0.1,-1,-1,-1,-1,0.125,0.1,0.385714
1,-1,-1,0.1,0.1,-1,-1,-1,-1,0.130,0.1,0.385714
1,-1,-1,0.1,0.1,-1,-1,-1,-1,0.135,0.1,0.385714
1,-1,-1,0.15,0.15,-1,-1,-1,-1,0.140,0.1375,0.285714
1,-1,-1,0.15,0.15,-1,-1,-1,-1,0.145,0.1375,0.285714
1,-1,-1,0.15,0.15,-1,-1,-1,-1,0.150,0.1375,0.285714
1,-1,-1,0.15,0.15,-1,-1,-1,-1,0.155,0.1375,0.285714
1,-1,-1,0.15,0.15,-1,-1,-1,-1,0.160,0.1375,0.285714
1,-1,-1,0.15,0.15,-1,-1,-1,-1,0.165,0.1375,0.285714
