sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR Limit,FAR,FRR
1,2,-1,0.05,0.05,0.05,0.05,-1,-1,0.000,0.0,0.97191
1,2,-1,0.35,0.1,0.15,0.15,-1,-1,0.005,0.00474,0.78437
1,2,-1,0.6,0.1,0.15,0.15,-1,-1,0.010,0.009446,0.703888
1,2,-1,0.4,0.2,0.15,0.15,-1,-1,0.015,0.014256,0.654589
1,2,-1,0.65,0.2,0.15,0.15,-1,-1,0.020,0.019516,0.567794
1,2,-1,0.8,0.2,0.15,0.15,-1,-1,0.025,0.02436,0.536233
1,2,-1,0.9,0.2,0.15,0.15,-1,-1,0.030,0.02872,0.526764
1,2,-1,0.75,0.2,0.2,0.2,-1,-1,0.035,0.034412,0.505302
1,2,-1,0.8,0.2,0.2,0.2,-1,-1,0.040,0.03853,0.489648
1,2,-1,0.8,0.25,0.15,0.15,-1,-1,0.045,0.044464,0.475634
1,2,-1,0.7,0.2,0.25,0.25,-1,-1,0.050,0.046921,0.457076
1,2,-1,0.75,0.3,0.15,0.15,-1,-1,0.055,0.054014,0.44382
1,2,-1,0.85,0.3,0.15,0.15,-1,-1,0.060,0.057543,0.426462
1,2,-1,0.7,0.2,0.3,0.3,-1,-1,0.065,0.061203,0.415036
1,2,-1,0.8,0.3,0.2,0.2,-1,-1,0.070,0.069265,0.394458
1,2,-1,0.85,0.3,0.2,0.2,-1,-1,0.075,0.072647,0.388587
1,2,-1,0.7,0.25,0.3,0.3,-1,-1,0.080,0.079066,0.373375
1,2,-1,0.75,0.3,0.25,0.25,-1,-1,0.085,0.083703,0.365169
1,2,-1,0.7,0.3,0.3,0.3,-1,-1,0.090,0.089274,0.342823
1,2,-1,0.7,0.3,0.3,0.3,-1,-1,0.095,0.089274,0.342823
1,2,-1,0.7,0.2,0.4,0.4,-1,-1,0.100,0.096358,0.330956
1,2,-1,0.7,0.3,0.35,0.35,-1,-1,0.105,0.101315,0.324044
1,2,-1,0.7,0.3,0.35,0.35,-1,-1,0.110,0.101315,0.324044
1,2,-1,0.7,0.2,0.45,0.45,-1,-1,0.115,0.112837,0.295923
1,2,-1,0.7,0.2,0.45,0.45,-1,-1,0.120,0.112837,0.295923
1,2,-1,0.7,0.3,0.4,0.4,-1,-1,0.125,0.121384,0.278438
1,2,-1,0.7,0.25,0.45,0.45,-1,-1,0.130,0.127855,0.270358
1,2,-1,0.7,0.25,0.45,0.45,-1,-1,0.135,0.127855,0.270358
1,2,-1,0.7,0.3,0.45,0.45,-1,-1,0.140,0.136436,0.25161
1,2,-1,0.7,0.3,0.45,0.45,-1,-1,0.145,0.136436,0.25161
1,2,-1,0.7,0.35,0.4,0.4,-1,-1,0.150,0.148685,0.250158
1,2,-1,0.7,0.25,0.5,0.5,-1,-1,0.155,0.153806,0.240058
1,2,-1,0.8,0.3,0.4,0.4,-1,-1,0.160,0.15802,0.235261
1,2,-1,0.7,0.3,0.5,0.5,-1,-1,0.165,0.161523,0.224783
1,2,-1,0.7,0.3,0.5,0.5,-1,-1,0.170,0.161523,0.224783
1,2,-1,0.8,0.25,0.45,0.45,-1,-1,0.175,0.171626,0.223394
1,2,-1,0.8,0.25,0.45,0.45,-1,-1,0.180,0.171626,0.223394
1,2,-1,0.8,0.3,0.45,0.45,-1,-1,0.185,0.180208,0.204646
1,2,-1,0.8,0.3,0.45,0.45,-1,-1,0.190,0.180208,0.204646
1,2,-1,0.8,0.3,0.45,0.45,-1,-1,0.195,0.180208,0.204646
1,2,-1,0.85,0.3,0.45,0.45,-1,-1,0.200,0.198512,0.192905
1,2,-1,0.85,0.3,0.45,0.45,-1,-1,0.205,0.198512,0.192905
1,2,-1,0.8,0.35,0.45,0.45,-1,-1,0.210,0.205952,0.180785
1,2,-1,0.8,0.35,0.45,0.45,-1,-1,0.215,0.205952,0.180785
1,2,-1,0.8,0.3,0.5,0.5,-1,-1,0.220,0.217189,0.174031
1,2,-1,0.7,0.3,0.6,0.6,-1,-1,0.225,0.224741,0.168445
1,2,-1,0.7,0.3,0.6,0.6,-1,-1,0.230,0.224741,0.168445
1,2,-1,0.8,0.4,0.45,0.45,-1,-1,0.235,0.233841,0.167151
1,2,-1,0.7,0.2,0.65,0.65,-1,-1,0.240,0.235882,0.166299
1,2,-1,0.8,0.35,0.5,0.5,-1,-1,0.245,0.240338,0.154589
1,2,-1,0.7,0.3,0.65,0.65,-1,-1,0.250,0.248824,0.152349
1,2,-1,0.7,0.3,0.65,0.65,-1,-1,0.255,0.248824,0.152349
1,2,-1,0.7,0.3,0.65,0.65,-1,-1,0.260,0.248824,0.152349
1,2,-1,0.85,0.35,0.5,0.5,-1,-1,0.265,0.263616,0.141901
1,2,-1,0.85,0.35,0.5,0.5,-1,-1,0.270,0.263616,0.141901
1,2,-1,0.7,0.3,0.7,0.7,-1,-1,0.275,0.274914,0.136252
1,2,-1,0.7,0.3,0.7,0.7,-1,-1,0.280,0.274914,0.136252
1,2,-1,0.8,0.5,0.45,0.45,-1,-1,0.285,0.281038,0.134769
1,2,-1,0.85,0.4,0.5,0.5,-1,-1,0.290,0.288694,0.130792
1,2,-1,0.8,0.45,0.5,0.5,-1,-1,0.295,0.290493,0.126815
1,2,-1,0.85,0.5,0.45,0.45,-1,-1,0.300,0.299343,0.123028
1,2,-1,0.8,0.25,0.6,0.6,-1,-1,0.305,0.304845,0.117725
1,2,-1,0.8,0.5,0.5,0.5,-1,-1,0.310,0.307855,0.117094
1,2,-1,0.8,0.3,0.6,0.6,-1,-1,0.315,0.310381,0.10974
1,2,-1,0.8,0.3,0.6,0.6,-1,-1,0.320,0.310381,0.10974
1,2,-1,0.8,0.3,0.6,0.6,-1,-1,0.325,0.310381,0.10974
1,2,-1,0.8,0.35,0.6,0.6,-1,-1,0.330,0.32699,0.099577
1,2,-1,0.8,0.35,0.6,0.6,-1,-1,0.335,0.32699,0.099577
1,2,-1,0.8,0.35,0.6,0.6,-1,-1,0.340,0.32699,0.099577
1,2,-1,0.8,0.4,0.6,0.6,-1,-1,0.345,0.344983,0.09377
1,2,-1,0.8,0.3,0.65,0.65,-1,-1,0.350,0.345883,0.091371
1,2,-1,0.8,0.3,0.65,0.65,-1,-1,0.355,0.345883,0.091371
1,2,-1,0.8,0.35,0.65,0.65,-1,-1,0.360,0.36,0.08386
1,2,-1,0.8,0.35,0.65,0.65,-1,-1,0.365,0.36,0.08386
1,2,-1,0.8,0.35,0.65,0.65,-1,-1,0.370,0.36,0.08386
1,2,-1,0.8,0.2,0.7,0.7,-1,-1,0.375,0.373876,0.082029
1,2,-1,0.8,0.4,0.65,0.65,-1,-1,0.380,0.375294,0.079567
1,2,-1,0.8,0.3,0.7,0.7,-1,-1,0.385,0.384343,0.073002
1,2,-1,0.8,0.3,0.7,0.7,-1,-1,0.390,0.384343,0.073002
1,2,-1,0.85,0.6,0.5,0.5,-1,-1,0.395,0.394793,0.071077
1,2,-1,0.8,0.35,0.7,0.7,-1,-1,0.400,0.395762,0.068142
1,2,-1,0.8,0.35,0.7,0.7,-1,-1,0.405,0.395762,0.068142
1,2,-1,0.8,0.4,0.7,0.7,-1,-1,0.410,0.408132,0.065364
1,2,-1,0.85,0.5,0.6,0.6,-1,-1,0.415,0.411246,0.065301
1,2,-1,0.85,0.65,0.45,0.45,-1,-1,0.420,0.41519,0.061671
1,2,-1,0.85,0.7,0.35,0.35,-1,-1,0.425,0.423754,0.06082
1,2,-1,0.9,0.65,0.4,0.4,-1,-1,0.430,0.429766,0.058137
1,2,-1,0.9,0.7,0.3,0.3,-1,-1,0.435,0.431228,0.055612
1,2,-1,0.85,0.7,0.4,0.4,-1,-1,0.440,0.437249,0.052771
1,2,-1,0.9,0.7,0.35,0.35,-1,-1,0.445,0.443477,0.051635
1,2,-1,0.85,0.7,0.45,0.45,-1,-1,0.450,0.44737,0.048037
1,2,-1,0.85,0.7,0.45,0.45,-1,-1,0.455,0.44737,0.048037
1,2,-1,0.85,0.6,0.6,0.6,-1,-1,0.460,0.456921,0.047879
1,2,-1,0.9,0.7,0.4,0.4,-1,-1,0.465,0.463893,0.041977
1,2,-1,0.9,0.7,0.4,0.4,-1,-1,0.470,0.463893,0.041977
1,2,-1,0.9,0.7,0.4,0.4,-1,-1,0.475,0.463893,0.041977
1,2,-1,0.9,0.7,0.45,0.45,-1,-1,0.480,0.479204,0.036296
1,2,-1,0.9,0.7,0.45,0.45,-1,-1,0.485,0.479204,0.036296
1,2,-1,0.9,0.7,0.45,0.45,-1,-1,0.490,0.479204,0.036296
1,2,-1,0.9,0.7,0.45,0.45,-1,-1,0.495,0.479204,0.036296
1,2,-1,0.9,0.7,0.45,0.45,-1,-1,0.500,0.479204,0.036296
