sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR Limit,FAR,FRR
1,2,-1,0.35,0.05,0.05,0.05,-1,-1,0.120,0.119931,0.584849
1,2,-1,0.25,0.05,0.1,0.1,-1,-1,0.125,0.124096,0.558954
1,2,-1,0.25,0.05,0.15,0.15,-1,-1,0.130,0.129014,0.530583
1,2,-1,0.4,0.05,0.15,0.15,-1,-1,0.135,0.13481,0.506072
1,2,-1,0.3,0.05,0.2,0.2,-1,-1,0.140,0.138477,0.490177
1,2,-1,0.4,0.05,0.2,0.2,-1,-1,0.145,0.143916,0.470455
1,2,-1,0.25,0.05,0.3,0.3,-1,-1,0.150,0.149037,0.448973
1,2,-1,0.3,0.05,0.3,0.3,-1,-1,0.155,0.154384,0.433606
1,2,-1,0.35,0.05,0.3,0.3,-1,-1,0.160,0.158786,0.417738
1,2,-1,0.4,0.05,0.3,0.3,-1,-1,0.165,0.163644,0.406547
1,2,-1,0.35,0.05,0.35,0.35,-1,-1,0.170,0.169125,0.389628
1,2,-1,0.5,0.05,0.3,0.3,-1,-1,0.175,0.1721,0.389509
1,2,-1,0.25,0.05,0.45,0.45,-1,-1,0.180,0.179423,0.369868
1,2,-1,0.35,0.05,0.4,0.4,-1,-1,0.185,0.181849,0.357253
1,2,-1,0.4,0.05,0.4,0.4,-1,-1,0.190,0.189315,0.343046
1,2,-1,0.4,0.05,0.4,0.4,-1,-1,0.195,0.189315,0.343046
1,2,-1,0.35,0.05,0.45,0.45,-1,-1,0.200,0.198096,0.325847
1,2,-1,0.5,0.05,0.4,0.4,-1,-1,0.205,0.202312,0.321418
1,2,-1,0.4,0.05,0.45,0.45,-1,-1,0.210,0.207399,0.310075
1,2,-1,0.45,0.05,0.45,0.45,-1,-1,0.215,0.214962,0.295244
1,2,-1,0.45,0.05,0.45,0.45,-1,-1,0.220,0.214962,0.295244
1,2,-1,0.5,0.05,0.45,0.45,-1,-1,0.225,0.223596,0.286063
1,2,-1,0.4,0.05,0.5,0.5,-1,-1,0.230,0.228265,0.279749
1,2,-1,0.35,0.05,0.55,0.55,-1,-1,0.235,0.233543,0.276218
1,2,-1,0.45,0.05,0.5,0.5,-1,-1,0.240,0.237552,0.263564
1,2,-1,0.45,0.05,0.5,0.5,-1,-1,0.245,0.237552,0.263564
1,2,-1,0.5,0.05,0.5,0.5,-1,-1,0.250,0.248153,0.253545
1,2,-1,0.5,0.05,0.5,0.5,-1,-1,0.255,0.248153,0.253545
1,2,-1,0.45,0.05,0.55,0.55,-1,-1,0.260,0.257677,0.240814
1,2,-1,0.4,0.05,0.6,0.6,-1,-1,0.265,0.264939,0.237008
1,2,-1,0.6,0.05,0.5,0.5,-1,-1,0.270,0.266315,0.235562
1,2,-1,0.5,0.05,0.55,0.55,-1,-1,0.275,0.270031,0.230193
1,2,-1,0.45,0.05,0.6,0.6,-1,-1,0.280,0.277255,0.218914
1,2,-1,0.4,0.05,0.65,0.65,-1,-1,0.285,0.282012,0.217062
1,2,-1,0.4,0.05,0.65,0.65,-1,-1,0.290,0.282012,0.217062
1,2,-1,0.5,0.05,0.6,0.6,-1,-1,0.295,0.291315,0.207714
1,2,-1,0.45,0.05,0.65,0.65,-1,-1,0.300,0.295738,0.198078
1,2,-1,0.55,0.05,0.6,0.6,-1,-1,0.305,0.303195,0.196227
1,2,-1,0.55,0.05,0.6,0.6,-1,-1,0.310,0.303195,0.196227
1,2,-1,0.5,0.05,0.65,0.65,-1,-1,0.315,0.311407,0.186326
1,2,-1,0.45,0.05,0.7,0.7,-1,-1,0.320,0.318464,0.178305
1,2,-1,0.55,0.05,0.65,0.65,-1,-1,0.325,0.324647,0.174274
1,2,-1,0.55,0.05,0.65,0.65,-1,-1,0.330,0.324647,0.174274
1,2,-1,0.55,0.05,0.65,0.65,-1,-1,0.335,0.324647,0.174274
1,2,-1,0.45,0.05,0.75,0.75,-1,-1,0.340,0.339411,0.161296
1,2,-1,0.45,0.05,0.75,0.75,-1,-1,0.345,0.339411,0.161296
1,2,-1,0.45,0.05,0.75,0.75,-1,-1,0.350,0.339411,0.161296
1,2,-1,0.55,0.05,0.7,0.7,-1,-1,0.355,0.351026,0.153441
1,2,-1,0.5,0.05,0.75,0.75,-1,-1,0.360,0.358884,0.148571
1,2,-1,0.45,0.05,0.8,0.8,-1,-1,0.365,0.362001,0.144499
1,2,-1,0.6,0.05,0.7,0.7,-1,-1,0.370,0.366349,0.143999
1,2,-1,0.6,0.05,0.7,0.7,-1,-1,0.375,0.366349,0.143999
1,2,-1,0.55,0.05,0.75,0.75,-1,-1,0.380,0.375339,0.13552
1,2,-1,0.45,0.05,0.85,0.85,-1,-1,0.385,0.384454,0.129615
1,2,-1,0.45,0.05,0.85,0.85,-1,-1,0.390,0.384454,0.129615
1,2,-1,0.6,0.05,0.75,0.75,-1,-1,0.395,0.392246,0.125732
1,2,-1,0.6,0.05,0.75,0.75,-1,-1,0.400,0.392246,0.125732
1,2,-1,0.55,0.05,0.8,0.8,-1,-1,0.405,0.401559,0.117823
1,2,-1,0.5,0.05,0.85,0.85,-1,-1,0.410,0.40785,0.116052
1,2,-1,0.5,0.05,0.85,0.85,-1,-1,0.415,0.40785,0.116052
1,2,-1,0.6,0.1,0.7,0.7,-1,-1,0.420,0.418692,0.111342
1,2,-1,0.6,0.05,0.8,0.8,-1,-1,0.425,0.420175,0.107693
1,2,-1,0.55,0.05,0.85,0.85,-1,-1,0.430,0.42762,0.102142
1,2,-1,0.55,0.05,0.85,0.85,-1,-1,0.435,0.42762,0.102142
1,2,-1,0.65,0.05,0.8,0.8,-1,-1,0.440,0.438625,0.100601
1,2,-1,0.55,0.1,0.8,0.8,-1,-1,0.445,0.4447,0.096679
1,2,-1,0.6,0.05,0.85,0.85,-1,-1,0.450,0.447934,0.091709
1,2,-1,0.55,0.05,0.9,0.9,-1,-1,0.455,0.452728,0.088926
1,2,-1,0.55,0.05,0.9,0.9,-1,-1,0.460,0.452728,0.088926
1,2,-1,0.6,0.1,0.8,0.8,-1,-1,0.465,0.463316,0.086549
1,2,-1,0.7,0.1,0.75,0.75,-1,-1,0.470,0.4699,0.084184
1,2,-1,0.6,0.05,0.9,0.9,-1,-1,0.475,0.474677,0.078237
1,2,-1,0.6,0.05,0.9,0.9,-1,-1,0.480,0.474677,0.078237
1,2,-1,0.7,0.05,0.85,0.85,-1,-1,0.485,0.483664,0.076059
1,2,-1,0.6,0.1,0.85,0.85,-1,-1,0.490,0.48633,0.075634
