sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR Limit,FAR,FRR
1,2,-1,0.05,0.05,0.05,0.05,-1,-1,0.150,0.148598,0.623758
1,2,-1,0.35,0.05,0.05,0.05,-1,-1,0.155,0.154943,0.566389
1,2,-1,0.2,0.05,0.1,0.1,-1,-1,0.160,0.15875,0.550485
1,2,-1,0.35,0.05,0.1,0.1,-1,-1,0.165,0.164832,0.526947
1,2,-1,0.25,0.05,0.15,0.15,-1,-1,0.170,0.169056,0.512294
1,2,-1,0.35,0.05,0.15,0.15,-1,-1,0.175,0.174722,0.496022
1,2,-1,0.2,0.05,0.25,0.25,-1,-1,0.180,0.179755,0.479077
1,2,-1,0.15,0.05,0.35,0.35,-1,-1,0.185,0.184699,0.471199
1,2,-1,0.2,0.05,0.3,0.3,-1,-1,0.190,0.18699,0.45601
1,2,-1,0.3,0.05,0.25,0.25,-1,-1,0.195,0.19393,0.444697
1,2,-1,0.25,0.05,0.3,0.3,-1,-1,0.200,0.196674,0.430358
1,2,-1,0.3,0.05,0.3,0.3,-1,-1,0.205,0.204456,0.416149
1,2,-1,0.35,0.05,0.3,0.3,-1,-1,0.210,0.20999,0.402124
1,2,-1,0.35,0.05,0.3,0.3,-1,-1,0.215,0.20999,0.402124
1,2,-1,0.3,0.05,0.35,0.35,-1,-1,0.220,0.217869,0.38865
1,2,-1,0.35,0.05,0.35,0.35,-1,-1,0.225,0.224732,0.372767
1,2,-1,0.35,0.05,0.35,0.35,-1,-1,0.230,0.224732,0.372767
1,2,-1,0.3,0.05,0.4,0.4,-1,-1,0.235,0.233149,0.35989
1,2,-1,0.45,0.05,0.35,0.35,-1,-1,0.240,0.238386,0.351241
1,2,-1,0.35,0.05,0.4,0.4,-1,-1,0.245,0.241526,0.342065
1,2,-1,0.35,0.05,0.4,0.4,-1,-1,0.250,0.241526,0.342065
1,2,-1,0.4,0.05,0.4,0.4,-1,-1,0.255,0.251124,0.329165
1,2,-1,0.45,0.05,0.4,0.4,-1,-1,0.260,0.258192,0.317906
1,2,-1,0.45,0.05,0.4,0.4,-1,-1,0.265,0.258192,0.317906
1,2,-1,0.35,0.05,0.45,0.45,-1,-1,0.270,0.265411,0.30957
1,2,-1,0.55,0.05,0.4,0.4,-1,-1,0.275,0.272502,0.304068
1,2,-1,0.4,0.05,0.45,0.45,-1,-1,0.280,0.277476,0.295182
1,2,-1,0.4,0.05,0.45,0.45,-1,-1,0.285,0.277476,0.295182
1,2,-1,0.45,0.05,0.45,0.45,-1,-1,0.290,0.286361,0.282625
1,2,-1,0.35,0.05,0.5,0.5,-1,-1,0.295,0.291349,0.280438
1,2,-1,0.5,0.05,0.45,0.45,-1,-1,0.300,0.296671,0.274515
1,2,-1,0.55,0.05,0.45,0.45,-1,-1,0.305,0.304349,0.26719
