sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR Limit,FAR,FRR
1,2,3,0.05,0.05,0.05,0.05,0.05,0.05,0.000,0.0,0.97191
1,2,3,0.85,0.1,0.95,0.05,0.25,0.25,0.005,0.00474,0.739295
1,2,3,0.6,0.1,0.95,0.15,0.25,0.25,0.010,0.009446,0.657588
1,2,3,0.65,0.2,0.15,0.05,0.55,0.55,0.015,0.014828,0.593874
1,2,3,0.65,0.2,0.95,0.15,0.25,0.25,0.020,0.019516,0.528053
1,2,3,0.7,0.2,0.8,0.15,0.3,0.3,0.025,0.0249,0.481954
1,2,3,0.7,0.2,0.5,0.15,0.4,0.4,0.030,0.029359,0.451014
1,2,3,0.7,0.2,0.5,0.15,0.45,0.45,0.035,0.033233,0.422909
1,2,3,0.7,0.2,0.45,0.15,0.5,0.5,0.040,0.037925,0.403699
1,2,3,0.7,0.2,0.65,0.15,0.45,0.45,0.045,0.043353,0.380397
1,2,3,0.7,0.2,0.45,0.15,0.55,0.55,0.050,0.049053,0.357093
1,2,3,0.7,0.2,0.45,0.05,0.6,0.6,0.055,0.054617,0.346937
1,2,3,0.7,0.2,0.5,0.15,0.55,0.55,0.060,0.057535,0.330326
1,2,3,0.7,0.2,0.5,0.2,0.55,0.55,0.065,0.064369,0.320406
1,2,3,0.7,0.2,0.55,0.15,0.55,0.55,0.070,0.069071,0.306236
1,2,3,0.7,0.2,0.7,0.2,0.5,0.5,0.075,0.074489,0.298205
1,2,3,0.7,0.2,0.6,0.15,0.55,0.55,0.080,0.07891,0.274115
1,2,3,0.7,0.2,0.65,0.1,0.55,0.55,0.085,0.084775,0.272934
1,2,3,0.7,0.2,0.65,0.15,0.55,0.55,0.090,0.087052,0.258055
1,2,3,0.7,0.2,0.65,0.2,0.55,0.55,0.095,0.093887,0.248135
1,2,3,0.7,0.2,0.6,0.15,0.6,0.6,0.100,0.099473,0.236916
1,2,3,0.7,0.2,0.7,0.2,0.55,0.55,0.105,0.102708,0.232075
1,2,3,0.8,0.2,0.6,0.15,0.55,0.55,0.110,0.107988,0.224793
1,2,3,0.7,0.2,0.65,0.15,0.6,0.6,0.115,0.110485,0.218731
1,2,3,0.8,0.2,0.65,0.15,0.55,0.55,0.120,0.119657,0.206997
1,2,3,0.7,0.2,0.7,0.15,0.6,0.6,0.125,0.122415,0.200545
1,2,3,0.7,0.2,0.7,0.2,0.6,0.6,0.130,0.128173,0.194877
1,2,3,0.8,0.3,0.6,0.15,0.55,0.55,0.135,0.134526,0.185589
1,2,3,0.8,0.2,0.6,0.15,0.6,0.6,0.140,0.137457,0.183573
1,2,3,0.8,0.3,0.6,0.2,0.55,0.55,0.145,0.143727,0.17692
1,2,3,0.8,0.25,0.7,0.15,0.55,0.55,0.150,0.148251,0.170923
1,2,3,0.8,0.3,0.65,0.2,0.55,0.55,0.155,0.154691,0.162886
1,2,3,0.8,0.3,0.7,0.15,0.55,0.55,0.160,0.157367,0.15752
1,2,3,0.8,0.3,0.6,0.15,0.6,0.6,0.165,0.162213,0.153082
1,2,3,0.8,0.3,0.6,0.2,0.6,0.6,0.170,0.169966,0.148129
1,2,3,0.8,0.2,0.7,0.15,0.6,0.6,0.175,0.170334,0.14327
1,2,3,0.8,0.2,0.7,0.2,0.6,0.6,0.180,0.178586,0.136989
1,2,3,0.8,0.25,0.7,0.15,0.6,0.6,0.185,0.184823,0.130594
1,2,3,0.8,0.25,0.7,0.15,0.6,0.6,0.190,0.184823,0.130594
1,2,3,0.8,0.3,0.7,0.15,0.6,0.6,0.195,0.193103,0.121298
1,2,3,0.8,0.3,0.7,0.15,0.6,0.6,0.200,0.193103,0.121298
