sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR Limit,FAR,FRR
1,2,3,0.2,0.05,0.4,0.05,0.25,0.25,0.120,0.119985,0.557793
1,2,3,0.35,0.05,0.55,0.05,0.25,0.25,0.125,0.124836,0.508307
1,2,3,0.4,0.05,0.45,0.05,0.35,0.35,0.130,0.129758,0.470765
1,2,3,0.5,0.05,0.5,0.05,0.35,0.35,0.135,0.134863,0.445069
1,2,3,0.45,0.05,0.65,0.05,0.35,0.35,0.140,0.139602,0.423365
1,2,3,0.45,0.05,0.6,0.05,0.4,0.4,0.145,0.144607,0.404376
1,2,3,0.55,0.05,0.5,0.05,0.45,0.45,0.150,0.149916,0.385782
1,2,3,0.4,0.05,0.45,0.05,0.55,0.55,0.155,0.154836,0.369869
1,2,3,0.45,0.05,0.6,0.1,0.45,0.45,0.160,0.159783,0.354816
1,2,3,0.55,0.05,0.45,0.05,0.55,0.55,0.165,0.164842,0.342459
1,2,3,0.45,0.05,0.65,0.15,0.45,0.45,0.170,0.169713,0.327421
1,2,3,0.45,0.05,0.55,0.05,0.55,0.55,0.175,0.174967,0.315247
1,2,3,0.45,0.05,0.5,0.1,0.6,0.6,0.180,0.179838,0.305283
1,2,3,0.45,0.05,0.8,0.15,0.45,0.45,0.185,0.183574,0.296796
1,2,3,0.45,0.05,0.55,0.1,0.6,0.6,0.190,0.189292,0.286015
1,2,3,0.45,0.05,0.65,0.1,0.55,0.55,0.195,0.194831,0.272418
1,2,3,0.45,0.05,0.65,0.15,0.55,0.55,0.200,0.199463,0.264469
1,2,3,0.45,0.05,0.65,0.05,0.6,0.6,0.205,0.202961,0.256426
1,2,3,0.45,0.05,0.7,0.15,0.55,0.55,0.210,0.208459,0.249045
1,2,3,0.45,0.05,0.7,0.05,0.6,0.6,0.215,0.213636,0.23968
1,2,3,0.45,0.05,0.7,0.1,0.6,0.6,0.220,0.217847,0.233074
1,2,3,0.45,0.05,0.75,0.05,0.6,0.6,0.225,0.223476,0.225274
1,2,3,0.55,0.05,0.7,0.05,0.6,0.6,0.230,0.229352,0.218105
1,2,3,0.45,0.05,0.8,0.05,0.6,0.6,0.235,0.234088,0.211048
1,2,3,0.45,0.05,0.8,0.1,0.6,0.6,0.240,0.238298,0.204442
1,2,3,0.45,0.05,0.85,0.05,0.6,0.6,0.245,0.244635,0.198443
1,2,3,0.45,0.05,0.85,0.1,0.6,0.6,0.250,0.248845,0.191837
1,2,3,0.45,0.05,0.85,0.15,0.6,0.6,0.255,0.252911,0.186304
1,2,3,0.45,0.05,0.85,0.2,0.6,0.6,0.260,0.258138,0.180609
1,2,3,0.5,0.05,0.85,0.15,0.6,0.6,0.265,0.26485,0.174241
1,2,3,0.55,0.05,0.8,0.2,0.6,0.6,0.270,0.268763,0.16915
1,2,3,0.55,0.05,0.85,0.15,0.6,0.6,0.275,0.274938,0.161869
1,2,3,0.45,0.05,0.9,0.3,0.6,0.6,0.280,0.279624,0.159767
1,2,3,0.55,0.05,0.85,0.2,0.6,0.6,0.285,0.281005,0.155869
1,2,3,0.55,0.05,0.85,0.25,0.6,0.6,0.290,0.287746,0.150315
1,2,3,0.55,0.05,0.9,0.2,0.6,0.6,0.295,0.292799,0.144676
1,2,3,0.55,0.05,0.9,0.25,0.6,0.6,0.300,0.29954,0.139121
1,2,3,0.6,0.05,0.9,0.2,0.6,0.6,0.305,0.304329,0.135064
1,2,3,0.55,0.05,0.9,0.15,0.65,0.65,0.310,0.309576,0.131676
1,2,3,0.55,0.05,0.9,0.2,0.65,0.65,0.315,0.314807,0.127522
1,2,3,0.6,0.05,0.9,0.3,0.6,0.6,0.320,0.31833,0.12409
1,2,3,0.7,0.05,0.9,0.2,0.6,0.6,0.325,0.324608,0.120647
1,2,3,0.6,0.05,0.9,0.2,0.65,0.65,0.330,0.327771,0.117579
1,2,3,0.6,0.05,0.9,0.25,0.65,0.65,0.335,0.333963,0.113659
1,2,3,0.6,0.05,0.9,0.3,0.65,0.65,0.340,0.339846,0.109982
1,2,3,0.7,0.05,0.9,0.15,0.65,0.65,0.345,0.3444,0.107019
1,2,3,0.7,0.05,0.9,0.35,0.6,0.6,0.350,0.349162,0.104149
1,2,3,0.6,0.05,0.95,0.25,0.65,0.65,0.355,0.353529,0.101819
1,2,3,0.7,0.05,0.95,0.3,0.6,0.6,0.360,0.358874,0.097825
1,2,3,0.7,0.05,0.9,0.3,0.65,0.65,0.365,0.363946,0.094851
1,2,3,0.7,0.05,0.95,0.35,0.6,0.6,0.370,0.36792,0.092613
1,2,3,0.8,0.05,0.9,0.2,0.65,0.65,0.375,0.37349,0.089739
1,2,3,0.7,0.05,0.95,0.25,0.65,0.65,0.380,0.379102,0.086456
1,2,3,0.8,0.05,0.95,0.3,0.6,0.6,0.385,0.382602,0.084783
1,2,3,0.8,0.05,0.9,0.3,0.65,0.65,0.390,0.38817,0.081738
1,2,3,0.7,0.05,0.95,0.35,0.65,0.65,0.395,0.393419,0.079066
1,2,3,0.8,0.05,0.95,0.2,0.65,0.65,0.400,0.397278,0.07727
1,2,3,0.8,0.05,0.95,0.25,0.65,0.65,0.405,0.404806,0.073142
1,2,3,0.7,0.05,0.9,0.1,0.8,0.8,0.410,0.409004,0.071345
1,2,3,0.8,0.05,0.95,0.3,0.65,0.65,0.415,0.411957,0.069269
1,2,3,0.8,0.05,0.9,0.15,0.75,0.75,0.420,0.417865,0.067717
1,2,3,0.8,0.05,0.95,0.35,0.65,0.65,0.425,0.42052,0.065575
1,2,3,0.8,0.05,0.95,0.2,0.7,0.7,0.430,0.428051,0.062813
1,2,3,0.8,0.05,0.9,0.05,0.8,0.8,0.435,0.43435,0.058633
1,2,3,0.8,0.05,0.9,0.1,0.8,0.8,0.440,0.437627,0.057669
1,2,3,0.8,0.05,0.9,0.2,0.8,0.8,0.445,0.444858,0.056031
1,2,3,0.8,0.05,0.95,0.15,0.75,0.75,0.450,0.447183,0.054396
1,2,3,0.8,0.05,0.95,0.2,0.75,0.75,0.455,0.452089,0.05251
1,2,3,0.8,0.05,0.95,0.25,0.75,0.75,0.460,0.45754,0.050764
1,2,3,0.8,0.05,0.95,0.3,0.75,0.75,0.465,0.462718,0.049126
1,2,3,0.8,0.05,0.95,0.1,0.8,0.8,0.470,0.469423,0.043998
1,2,3,0.8,0.05,0.95,0.15,0.8,0.8,0.475,0.472587,0.04319
1,2,3,0.8,0.05,0.95,0.2,0.8,0.8,0.480,0.476655,0.042359
1,2,3,0.85,0.05,0.95,0.05,0.8,0.8,0.485,0.482513,0.04102
1,2,3,0.85,0.05,0.95,0.15,0.8,0.8,0.490,0.489255,0.039237
1,2,3,0.85,0.05,0.95,0.2,0.8,0.8,0.495,0.493513,0.038401
1,2,3,0.85,0.05,0.95,0.25,0.8,0.8,0.500,0.498243,0.037626
1,2,3,0.85,0.05,0.95,0.05,0.85,0.85,0.505,0.503874,0.035891
1,2,3,0.85,0.05,0.95,0.15,0.85,0.85,0.510,0.509556,0.034965
1,2,3,0.8,0.1,0.95,0.1,0.8,0.8,0.515,0.514871,0.033493
1,2,3,0.8,0.1,0.95,0.15,0.8,0.8,0.520,0.51759,0.032929
1,2,3,0.8,0.1,0.95,0.25,0.8,0.8,0.525,0.52497,0.031811
1,2,3,0.85,0.1,0.95,0.05,0.8,0.8,0.530,0.528422,0.030225
1,2,3,0.85,0.1,0.95,0.15,0.8,0.8,0.535,0.534258,0.028976
1,2,3,0.85,0.1,0.95,0.2,0.8,0.8,0.540,0.537944,0.02839
1,2,3,0.85,0.1,0.95,0.25,0.8,0.8,0.545,0.542039,0.027847
1,2,3,0.85,0.1,0.95,0.1,0.85,0.85,0.550,0.549415,0.026277
1,2,3,0.85,0.1,0.95,0.2,0.85,0.85,0.555,0.554938,0.025677
1,2,3,0.85,0.1,0.95,0.25,0.85,0.85,0.560,0.558389,0.025395
1,2,3,0.85,0.15,0.95,0.05,0.8,0.8,0.565,0.564504,0.024075
1,2,3,0.85,0.15,0.95,0.15,0.8,0.8,0.570,0.569628,0.02313
1,2,3,0.85,0.15,0.95,0.2,0.8,0.8,0.575,0.572864,0.022686
1,2,3,0.85,0.15,0.95,0.3,0.8,0.8,0.580,0.579876,0.02189
1,2,3,0.85,0.15,0.95,0.1,0.85,0.85,0.585,0.582937,0.021087
1,2,3,0.9,0.15,0.95,0.15,0.8,0.8,0.590,0.588699,0.020615
1,2,3,0.85,0.2,0.95,0.05,0.8,0.8,0.595,0.592959,0.019581
1,2,3,0.85,0.2,0.95,0.15,0.8,0.8,0.600,0.597521,0.018857
1,2,3,0.85,0.2,0.95,0.25,0.8,0.8,0.605,0.603605,0.018204
1,2,3,0.85,0.2,0.95,0.1,0.85,0.85,0.610,0.609373,0.017295
1,2,3,0.9,0.2,0.95,0.1,0.8,0.8,0.615,0.614182,0.016676
1,2,3,0.9,0.2,0.95,0.2,0.8,0.8,0.620,0.619692,0.016
