sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR Limit,FAR,FRR
1,2,3,0.05,0.05,0.05,0.05,0.05,0.05,0.150,0.148598,0.623758
1,2,3,0.2,0.05,0.65,0.05,0.15,0.15,0.155,0.15479,0.548168
1,2,3,0.25,0.05,0.4,0.05,0.3,0.3,0.160,0.159981,0.508166
1,2,3,0.4,0.05,0.4,0.05,0.3,0.3,0.165,0.164635,0.485225
1,2,3,0.4,0.05,0.5,0.05,0.3,0.3,0.170,0.169835,0.463649
1,2,3,0.45,0.05,0.45,0.05,0.35,0.35,0.175,0.174458,0.446438
1,2,3,0.35,0.05,0.6,0.05,0.35,0.35,0.180,0.179975,0.431601
1,2,3,0.5,0.05,0.55,0.05,0.35,0.35,0.185,0.184702,0.419409
1,2,3,0.45,0.05,0.65,0.05,0.35,0.35,0.190,0.188955,0.406288
1,2,3,0.35,0.05,0.7,0.1,0.35,0.35,0.195,0.194919,0.392437
1,2,3,0.45,0.05,0.65,0.1,0.35,0.35,0.200,0.198974,0.38113
1,2,3,0.45,0.05,0.75,0.15,0.3,0.3,0.205,0.204535,0.371842
1,2,3,0.45,0.05,0.65,0.15,0.35,0.35,0.210,0.208992,0.361404
1,2,3,0.35,0.05,0.7,0.15,0.4,0.4,0.215,0.214823,0.352595
1,2,3,0.55,0.05,0.65,0.1,0.4,0.4,0.220,0.219591,0.344565
1,2,3,0.35,0.05,0.9,0.25,0.3,0.3,0.225,0.224652,0.334922
1,2,3,0.45,0.05,0.75,0.2,0.35,0.35,0.230,0.228786,0.324389
1,2,3,0.4,0.05,0.75,0.25,0.35,0.35,0.235,0.234931,0.316822
1,2,3,0.4,0.05,0.8,0.25,0.35,0.35,0.240,0.239084,0.309667
1,2,3,0.35,0.05,0.85,0.3,0.35,0.35,0.245,0.24392,0.299323
1,2,3,0.45,0.05,0.85,0.25,0.35,0.35,0.250,0.249296,0.290938
1,2,3,0.45,0.05,0.95,0.3,0.3,0.3,0.255,0.25406,0.283576
1,2,3,0.45,0.05,0.8,0.3,0.35,0.35,0.260,0.257042,0.278223
1,2,3,0.45,0.05,0.85,0.35,0.3,0.3,0.265,0.263576,0.271332
