sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR Limit,FAR,FRR
1,2,3,0.85,0.05,0.9,0.05,0.65,0.65,0.050,0.049999,0.044443
1,2,3,0.85,0.05,0.9,0.25,0.75,0.75,0.055,0.05452,0.014347
1,2,3,0.85,0.05,0.95,0.35,0.75,0.75,0.060,0.058651,0.009493
1,2,3,0.85,0.05,0.95,0.55,0.75,0.75,0.065,0.06492,0.005717
1,2,3,0.85,0.05,0.95,0.45,0.85,0.85,0.070,0.069685,0.004666
1,2,3,0.85,0.05,0.95,0.55,0.85,0.85,0.075,0.073417,0.004261
1,2,3,0.85,0.05,0.95,0.65,0.85,0.85,0.080,0.079948,0.004126
1,2,3,0.85,0.05,0.95,0.05,0.95,0.95,0.085,0.084545,0.003776
1,2,3,0.85,0.05,0.95,0.05,0.95,0.95,0.090,0.084545,0.003776
1,2,3,0.85,0.05,0.95,0.05,0.95,0.95,0.095,0.084545,0.003776
1,2,3,0.85,0.05,1.0,0.75,0.65,0.65,0.100,0.099903,0.002913
1,2,3,0.85,0.05,1.0,0.75,0.65,0.65,0.105,0.099903,0.002913
1,2,3,0.85,0.05,1.0,0.55,0.75,0.75,0.110,0.109244,0.00205
1,2,3,0.85,0.05,1.0,0.6,0.75,0.75,0.115,0.113424,0.001942
1,2,3,0.85,0.05,1.0,0.9,0.55,0.55,0.120,0.119132,0.001241
1,2,3,0.85,0.05,1.0,0.9,0.6,0.6,0.125,0.123254,0.000863
1,2,3,0.85,0.05,1.0,0.9,0.6,0.6,0.130,0.123254,0.000863
1,2,3,0.85,0.05,1.0,0.9,0.65,0.65,0.135,0.130469,0.000647
1,2,3,0.85,0.05,1.0,0.9,0.7,0.7,0.140,0.139745,0.000539
1,2,3,0.85,0.05,1.0,0.9,0.7,0.7,0.145,0.139745,0.000539
1,2,3,0.85,0.05,1.0,0.9,0.7,0.7,0.150,0.139745,0.000539
1,2,3,0.85,0.05,1.0,0.9,0.75,0.75,0.155,0.154174,0.000216
1,2,3,0.85,0.05,1.0,0.9,0.75,0.75,0.160,0.154174,0.000216
1,2,3,0.85,0.05,1.0,0.9,0.75,0.75,0.165,0.154174,0.000216
1,2,3,0.85,0.05,1.0,0.9,0.75,0.75,0.170,0.154174,0.000216
1,2,3,0.85,0.05,1.0,0.9,0.75,0.75,0.175,0.154174,0.000216
1,2,3,0.85,0.05,1.0,0.9,0.75,0.75,0.180,0.154174,0.000216
1,2,3,0.85,0.05,1.0,0.9,0.8,0.8,0.185,0.184063,0.000162
1,2,3,0.85,0.05,1.0,0.95,0.75,0.75,0.190,0.188655,0.000108
1,2,3,0.85,0.05,1.0,0.95,0.75,0.75,0.195,0.188655,0.000108
1,2,3,0.85,0.05,1.0,0.95,0.75,0.75,0.200,0.188655,0.000108
1,2,3,0.85,0.05,1.0,0.95,0.75,0.75,0.205,0.188655,0.000108
1,2,3,0.85,0.05,1.0,0.95,0.75,0.75,0.210,0.188655,0.000108
1,2,3,0.85,0.05,1.0,0.9,0.85,0.85,0.215,0.21086,5.4e-05
1,2,3,0.85,0.05,1.0,0.9,0.85,0.85,0.220,0.21086,5.4e-05
1,2,3,0.85,0.05,1.0,0.9,0.85,0.85,0.225,0.21086,5.4e-05
1,2,3,0.85,0.05,1.0,0.9,0.85,0.85,0.230,0.21086,5.4e-05
1,2,3,0.85,0.05,1.0,0.9,0.85,0.85,0.235,0.21086,5.4e-05
1,2,3,0.85,0.05,1.0,0.9,0.85,0.85,0.240,0.21086,5.4e-05
1,2,3,0.85,0.05,1.0,0.95,0.85,0.85,0.245,0.241651,2.7e-05
1,2,3,0.85,0.05,1.0,0.95,0.85,0.85,0.250,0.241651,2.7e-05
1,2,3,0.85,0.05,1.0,0.95,0.85,0.85,0.255,0.241651,2.7e-05
1,2,3,0.85,0.05,1.0,0.95,0.85,0.85,0.260,0.241651,2.7e-05
1,2,3,0.85,0.05,1.0,0.95,0.85,0.85,0.265,0.241651,2.7e-05
1,2,3,0.85,0.05,1.0,0.95,0.85,0.85,0.270,0.241651,2.7e-05
1,2,3,0.85,0.05,1.0,0.95,0.85,0.85,0.275,0.241651,2.7e-05
1,2,3,0.85,0.1,1.0,0.95,0.85,0.85,0.280,0.278817,2e-05
1,2,3,0.85,0.1,1.0,0.95,0.85,0.85,0.285,0.278817,2e-05
1,2,3,0.85,0.1,1.0,0.95,0.85,0.85,0.290,0.278817,2e-05
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.295,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.300,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.305,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.310,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.315,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.320,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.325,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.330,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.335,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.340,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.345,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.350,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.355,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.360,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.365,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.370,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.375,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.380,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.385,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.390,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.395,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.400,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.405,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.410,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.415,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.420,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.425,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.430,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.435,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.440,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.445,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.450,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.455,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.460,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.465,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.470,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.475,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.480,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.485,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.490,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.495,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.500,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.505,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.510,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.515,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.520,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.525,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.530,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.535,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.540,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.545,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.550,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.555,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.560,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.565,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.570,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.575,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.580,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.585,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.590,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.595,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.600,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.605,0.290749,0.0
1,2,3,0.85,0.05,1.0,0.05,0.95,0.95,0.610,0.290749,0.0
