sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR Limit,FAR,FRR
1,-1,2,0.95,0.05,-1,-1,0.25,0.25,0.000,0.0,0.879087
1,-1,2,0.2,0.05,-1,-1,0.6,0.6,0.005,0.004914,0.762909
1,-1,2,0.25,0.05,-1,-1,0.55,0.55,0.010,0.009991,0.722951
1,-1,2,0.95,0.2,-1,-1,0.25,0.25,0.015,0.011765,0.660585
1,-1,2,0.8,0.2,-1,-1,0.3,0.3,0.020,0.019637,0.613875
1,-1,2,0.7,0.2,-1,-1,0.35,0.35,0.025,0.024948,0.579693
1,-1,2,0.5,0.2,-1,-1,0.45,0.45,0.030,0.029827,0.561167
1,-1,2,0.6,0.2,-1,-1,0.4,0.4,0.035,0.031445,0.549394
1,-1,2,0.7,0.2,-1,-1,0.4,0.4,0.040,0.03923,0.509626
1,-1,2,0.6,0.2,-1,-1,0.45,0.45,0.045,0.040104,0.500568
1,-1,2,0.65,0.2,-1,-1,0.45,0.45,0.050,0.046644,0.470269
1,-1,2,0.7,0.2,-1,-1,0.45,0.45,0.055,0.051315,0.45007
1,-1,2,0.75,0.2,-1,-1,0.45,0.45,0.060,0.059723,0.43997
1,-1,2,0.6,0.2,-1,-1,0.5,0.5,0.065,0.062146,0.431637
1,-1,2,0.7,0.25,-1,-1,0.45,0.45,0.070,0.069723,0.403674
1,-1,2,0.65,0.2,-1,-1,0.5,0.5,0.075,0.073772,0.392248
1,-1,2,0.65,0.3,-1,-1,0.45,0.45,0.080,0.075571,0.38985
1,-1,2,0.7,0.2,-1,-1,0.5,0.5,0.085,0.082076,0.365989
1,-1,2,0.75,0.3,-1,-1,0.45,0.45,0.090,0.088651,0.359551
1,-1,2,0.6,0.2,-1,-1,0.55,0.55,0.095,0.094421,0.33973
1,-1,2,0.7,0.25,-1,-1,0.5,0.5,0.100,0.098789,0.330956
1,-1,2,0.7,0.25,-1,-1,0.5,0.5,0.105,0.098789,0.330956
1,-1,2,0.7,0.3,-1,-1,0.5,0.5,0.110,0.108339,0.305265
1,-1,2,0.65,0.2,-1,-1,0.55,0.55,0.115,0.113495,0.288221
1,-1,2,0.65,0.2,-1,-1,0.55,0.55,0.120,0.113495,0.288221
1,-1,2,0.6,0.2,-1,-1,0.6,0.6,0.125,0.123547,0.288031
1,-1,2,0.7,0.2,-1,-1,0.55,0.55,0.130,0.12712,0.253882
1,-1,2,0.7,0.2,-1,-1,0.55,0.55,0.135,0.12712,0.253882
1,-1,2,0.65,0.3,-1,-1,0.55,0.55,0.140,0.135857,0.253756
1,-1,2,0.7,0.25,-1,-1,0.55,0.55,0.145,0.14135,0.233998
1,-1,2,0.7,0.3,-1,-1,0.55,0.55,0.150,0.149481,0.219417
1,-1,2,0.7,0.3,-1,-1,0.55,0.55,0.155,0.149481,0.219417
1,-1,2,0.7,0.3,-1,-1,0.55,0.55,0.160,0.149481,0.219417
1,-1,2,0.7,0.1,-1,-1,0.6,0.6,0.165,0.16263,0.212789
1,-1,2,0.7,0.2,-1,-1,0.6,0.6,0.170,0.167768,0.190822
1,-1,2,0.7,0.2,-1,-1,0.6,0.6,0.175,0.167768,0.190822
1,-1,2,0.7,0.25,-1,-1,0.6,0.6,0.180,0.179758,0.17946
1,-1,2,0.7,0.25,-1,-1,0.6,0.6,0.185,0.179758,0.17946
1,-1,2,0.7,0.3,-1,-1,0.6,0.6,0.190,0.186609,0.171128
1,-1,2,0.7,0.3,-1,-1,0.6,0.6,0.195,0.186609,0.171128
1,-1,2,0.8,0.3,-1,-1,0.55,0.55,0.200,0.199438,0.167908
1,-1,2,0.8,0.3,-1,-1,0.55,0.55,0.205,0.199438,0.167908
1,-1,2,0.7,0.35,-1,-1,0.6,0.6,0.210,0.207163,0.160523
1,-1,2,0.75,0.25,-1,-1,0.6,0.6,0.215,0.212924,0.160018
1,-1,2,0.75,0.3,-1,-1,0.6,0.6,0.220,0.219775,0.151685
1,-1,2,0.8,0.35,-1,-1,0.55,0.55,0.225,0.223833,0.14935
1,-1,2,0.7,0.25,-1,-1,0.65,0.65,0.230,0.229585,0.146131
1,-1,2,0.7,0.3,-1,-1,0.65,0.65,0.235,0.234775,0.141618
1,-1,2,0.8,0.2,-1,-1,0.6,0.6,0.240,0.235329,0.132496
1,-1,2,0.8,0.2,-1,-1,0.6,0.6,0.245,0.235329,0.132496
1,-1,2,0.8,0.25,-1,-1,0.6,0.6,0.250,0.247318,0.121133
1,-1,2,0.8,0.3,-1,-1,0.6,0.6,0.255,0.25417,0.112801
1,-1,2,0.8,0.3,-1,-1,0.6,0.6,0.260,0.25417,0.112801
1,-1,2,0.8,0.3,-1,-1,0.6,0.6,0.265,0.25417,0.112801
1,-1,2,0.8,0.3,-1,-1,0.6,0.6,0.270,0.25417,0.112801
1,-1,2,0.8,0.35,-1,-1,0.6,0.6,0.275,0.274723,0.102197
1,-1,2,0.8,0.35,-1,-1,0.6,0.6,0.280,0.274723,0.102197
1,-1,2,0.85,0.3,-1,-1,0.6,0.6,0.285,0.282422,0.09822
1,-1,2,0.85,0.3,-1,-1,0.6,0.6,0.290,0.282422,0.09822
1,-1,2,0.85,0.3,-1,-1,0.6,0.6,0.295,0.282422,0.09822
1,-1,2,0.8,0.4,-1,-1,0.6,0.6,0.300,0.29699,0.096137
1,-1,2,0.85,0.35,-1,-1,0.6,0.6,0.305,0.302976,0.087615
1,-1,2,0.85,0.35,-1,-1,0.6,0.6,0.310,0.302976,0.087615
1,-1,2,0.85,0.35,-1,-1,0.6,0.6,0.315,0.302976,0.087615
1,-1,2,0.8,0.25,-1,-1,0.65,0.65,0.320,0.319983,0.083639
1,-1,2,0.8,0.25,-1,-1,0.65,0.65,0.325,0.319983,0.083639
1,-1,2,0.8,0.3,-1,-1,0.65,0.65,0.330,0.325174,0.079125
1,-1,2,0.8,0.3,-1,-1,0.65,0.65,0.335,0.325174,0.079125
1,-1,2,0.8,0.3,-1,-1,0.65,0.65,0.340,0.325174,0.079125
1,-1,2,0.8,0.35,-1,-1,0.65,0.65,0.345,0.340744,0.073381
1,-1,2,0.85,0.45,-1,-1,0.6,0.6,0.350,0.347508,0.072465
1,-1,2,0.85,0.45,-1,-1,0.6,0.6,0.355,0.347508,0.072465
1,-1,2,0.85,0.25,-1,-1,0.65,0.65,0.360,0.357786,0.068016
1,-1,2,0.85,0.3,-1,-1,0.65,0.65,0.365,0.362976,0.063502
1,-1,2,0.85,0.3,-1,-1,0.65,0.65,0.370,0.362976,0.063502
1,-1,2,0.85,0.3,-1,-1,0.65,0.65,0.375,0.362976,0.063502
1,-1,2,0.85,0.35,-1,-1,0.65,0.65,0.380,0.378547,0.057758
1,-1,2,0.85,0.35,-1,-1,0.65,0.65,0.385,0.378547,0.057758
1,-1,2,0.85,0.35,-1,-1,0.65,0.65,0.390,0.378547,0.057758
1,-1,2,0.8,0.3,-1,-1,0.7,0.7,0.395,0.391739,0.057695
1,-1,2,0.85,0.4,-1,-1,0.65,0.65,0.400,0.395415,0.054476
1,-1,2,0.85,0.4,-1,-1,0.65,0.65,0.405,0.395415,0.054476
1,-1,2,0.85,0.4,-1,-1,0.65,0.65,0.410,0.395415,0.054476
1,-1,2,0.85,0.45,-1,-1,0.65,0.65,0.415,0.412284,0.049552
1,-1,2,0.85,0.6,-1,-1,0.6,0.6,0.420,0.419447,0.048984
1,-1,2,0.85,0.5,-1,-1,0.65,0.65,0.425,0.423962,0.04668
1,-1,2,0.85,0.2,-1,-1,0.7,0.7,0.430,0.428503,0.046333
1,-1,2,0.85,0.25,-1,-1,0.7,0.7,0.435,0.434861,0.043492
1,-1,2,0.85,0.3,-1,-1,0.7,0.7,0.440,0.438495,0.041409
1,-1,2,0.85,0.3,-1,-1,0.7,0.7,0.445,0.438495,0.041409
1,-1,2,0.85,0.35,-1,-1,0.7,0.7,0.450,0.449394,0.038758
1,-1,2,0.85,0.35,-1,-1,0.7,0.7,0.455,0.449394,0.038758
1,-1,2,0.85,0.35,-1,-1,0.7,0.7,0.460,0.449394,0.038758
1,-1,2,0.85,0.4,-1,-1,0.7,0.7,0.465,0.461202,0.037243
