sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR Limit,FAR,FRR
1,-1,2,0.25,0.05,-1,-1,0.15,0.15,0.120,0.119617,0.589996
1,-1,2,0.3,0.05,-1,-1,0.2,0.2,0.125,0.12461,0.557557
1,-1,2,0.25,0.05,-1,-1,0.25,0.25,0.130,0.128311,0.533253
1,-1,2,0.4,0.05,-1,-1,0.25,0.25,0.135,0.133798,0.509329
1,-1,2,0.3,0.05,-1,-1,0.3,0.3,0.140,0.139802,0.485493
1,-1,2,0.35,0.05,-1,-1,0.3,0.3,0.145,0.14254,0.473571
1,-1,2,0.45,0.05,-1,-1,0.3,0.3,0.150,0.148014,0.457257
1,-1,2,0.55,0.05,-1,-1,0.3,0.3,0.155,0.153184,0.447343
1,-1,2,0.25,0.05,-1,-1,0.4,0.4,0.160,0.159839,0.428947
1,-1,2,0.45,0.05,-1,-1,0.35,0.35,0.165,0.164306,0.413246
1,-1,2,0.5,0.05,-1,-1,0.35,0.35,0.170,0.168527,0.407187
1,-1,2,0.35,0.05,-1,-1,0.4,0.4,0.175,0.172761,0.394475
1,-1,2,0.4,0.05,-1,-1,0.4,0.4,0.180,0.179198,0.382124
1,-1,2,0.45,0.05,-1,-1,0.4,0.4,0.185,0.184432,0.37051
1,-1,2,0.45,0.05,-1,-1,0.4,0.4,0.190,0.184432,0.37051
1,-1,2,0.35,0.05,-1,-1,0.45,0.45,0.195,0.194006,0.350468
1,-1,2,0.35,0.05,-1,-1,0.45,0.45,0.200,0.194006,0.350468
1,-1,2,0.4,0.05,-1,-1,0.45,0.45,0.205,0.202846,0.335923
1,-1,2,0.4,0.05,-1,-1,0.45,0.45,0.210,0.202846,0.335923
1,-1,2,0.45,0.05,-1,-1,0.45,0.45,0.215,0.210033,0.322246
1,-1,2,0.5,0.05,-1,-1,0.45,0.45,0.220,0.218238,0.31378
1,-1,2,0.3,0.05,-1,-1,0.5,0.5,0.225,0.223719,0.312899
1,-1,2,0.55,0.05,-1,-1,0.45,0.45,0.230,0.22517,0.305097
1,-1,2,0.6,0.05,-1,-1,0.45,0.45,0.235,0.232293,0.298584
1,-1,2,0.35,0.05,-1,-1,0.5,0.5,0.240,0.236042,0.28785
1,-1,2,0.35,0.05,-1,-1,0.5,0.5,0.245,0.236042,0.28785
1,-1,2,0.4,0.05,-1,-1,0.5,0.5,0.250,0.249637,0.270183
1,-1,2,0.25,0.05,-1,-1,0.6,0.6,0.255,0.251523,0.270067
1,-1,2,0.25,0.05,-1,-1,0.6,0.6,0.260,0.251523,0.270067
1,-1,2,0.35,0.05,-1,-1,0.55,0.55,0.265,0.263763,0.244036
1,-1,2,0.35,0.05,-1,-1,0.55,0.55,0.270,0.263763,0.244036
1,-1,2,0.3,0.05,-1,-1,0.6,0.6,0.275,0.273376,0.240474
1,-1,2,0.3,0.05,-1,-1,0.6,0.6,0.280,0.273376,0.240474
1,-1,2,0.4,0.05,-1,-1,0.55,0.55,0.285,0.280494,0.224186
1,-1,2,0.4,0.05,-1,-1,0.55,0.55,0.290,0.280494,0.224186
1,-1,2,0.45,0.05,-1,-1,0.55,0.55,0.295,0.294095,0.20552
1,-1,2,0.45,0.05,-1,-1,0.55,0.55,0.300,0.294095,0.20552
1,-1,2,0.45,0.05,-1,-1,0.55,0.55,0.305,0.294095,0.20552
1,-1,2,0.5,0.05,-1,-1,0.55,0.55,0.310,0.309621,0.193965
1,-1,2,0.4,0.05,-1,-1,0.6,0.6,0.315,0.311224,0.188365
1,-1,2,0.35,0.05,-1,-1,0.65,0.65,0.320,0.318638,0.185877
1,-1,2,0.55,0.05,-1,-1,0.55,0.55,0.325,0.32274,0.182114
1,-1,2,0.45,0.05,-1,-1,0.6,0.6,0.330,0.327363,0.168099
1,-1,2,0.45,0.05,-1,-1,0.6,0.6,0.335,0.327363,0.168099
1,-1,2,0.45,0.05,-1,-1,0.6,0.6,0.340,0.327363,0.168099
1,-1,2,0.4,0.05,-1,-1,0.65,0.65,0.345,0.341575,0.163128
1,-1,2,0.5,0.05,-1,-1,0.6,0.6,0.350,0.345787,0.155554
1,-1,2,0.5,0.05,-1,-1,0.6,0.6,0.355,0.345787,0.155554
1,-1,2,0.5,0.05,-1,-1,0.6,0.6,0.360,0.345787,0.155554
1,-1,2,0.45,0.05,-1,-1,0.65,0.65,0.365,0.360221,0.141735
1,-1,2,0.45,0.05,-1,-1,0.65,0.65,0.370,0.360221,0.141735
1,-1,2,0.45,0.05,-1,-1,0.65,0.65,0.375,0.360221,0.141735
1,-1,2,0.6,0.05,-1,-1,0.6,0.6,0.380,0.377352,0.133038
1,-1,2,0.5,0.05,-1,-1,0.65,0.65,0.385,0.381507,0.128493
1,-1,2,0.5,0.05,-1,-1,0.65,0.65,0.390,0.381507,0.128493
1,-1,2,0.45,0.05,-1,-1,0.7,0.7,0.395,0.39212,0.121749
1,-1,2,0.55,0.05,-1,-1,0.65,0.65,0.400,0.399493,0.114911
1,-1,2,0.55,0.05,-1,-1,0.65,0.65,0.405,0.399493,0.114911
1,-1,2,0.55,0.05,-1,-1,0.65,0.65,0.410,0.399493,0.114911
1,-1,2,0.55,0.1,-1,-1,0.6,0.6,0.415,0.411817,0.113507
1,-1,2,0.6,0.05,-1,-1,0.65,0.65,0.420,0.417974,0.104725
1,-1,2,0.6,0.05,-1,-1,0.65,0.65,0.425,0.417974,0.104725
1,-1,2,0.6,0.1,-1,-1,0.6,0.6,0.430,0.427813,0.103857
1,-1,2,0.6,0.1,-1,-1,0.6,0.6,0.435,0.427813,0.103857
1,-1,2,0.55,0.05,-1,-1,0.7,0.7,0.440,0.436519,0.093854
1,-1,2,0.5,0.05,-1,-1,0.75,0.75,0.445,0.443272,0.093356
1,-1,2,0.5,0.05,-1,-1,0.75,0.75,0.450,0.443272,0.093356
1,-1,2,0.7,0.05,-1,-1,0.65,0.65,0.455,0.450481,0.089445
1,-1,2,0.6,0.05,-1,-1,0.7,0.7,0.460,0.457412,0.083261
1,-1,2,0.6,0.05,-1,-1,0.7,0.7,0.465,0.457412,0.083261
1,-1,2,0.55,0.05,-1,-1,0.75,0.75,0.470,0.46544,0.078845
1,-1,2,0.55,0.05,-1,-1,0.75,0.75,0.475,0.46544,0.078845
1,-1,2,0.65,0.05,-1,-1,0.7,0.7,0.480,0.478119,0.075845
1,-1,2,0.65,0.05,-1,-1,0.7,0.7,0.485,0.478119,0.075845
1,-1,2,0.6,0.05,-1,-1,0.75,0.75,0.490,0.488218,0.067962
1,-1,2,0.55,0.05,-1,-1,0.8,0.8,0.495,0.494997,0.06406
1,-1,2,0.55,0.05,-1,-1,0.8,0.8,0.500,0.494997,0.06406
1,-1,2,0.55,0.05,-1,-1,0.8,0.8,0.505,0.494997,0.06406
1,-1,2,0.55,0.05,-1,-1,0.8,0.8,0.510,0.494997,0.06406
1,-1,2,0.65,0.05,-1,-1,0.75,0.75,0.515,0.510793,0.060344
1,-1,2,0.6,0.05,-1,-1,0.8,0.8,0.520,0.519701,0.052891
1,-1,2,0.6,0.05,-1,-1,0.8,0.8,0.525,0.519701,0.052891
1,-1,2,0.7,0.05,-1,-1,0.75,0.75,0.530,0.528282,0.051637
1,-1,2,0.7,0.05,-1,-1,0.75,0.75,0.535,0.528282,0.051637
1,-1,2,0.7,0.05,-1,-1,0.75,0.75,0.540,0.528282,0.051637
1,-1,2,0.65,0.05,-1,-1,0.8,0.8,0.545,0.544184,0.045073
1,-1,2,0.65,0.05,-1,-1,0.8,0.8,0.550,0.544184,0.045073
1,-1,2,0.65,0.05,-1,-1,0.8,0.8,0.555,0.544184,0.045073
1,-1,2,0.7,0.1,-1,-1,0.75,0.75,0.560,0.559792,0.043093
1,-1,2,0.7,0.05,-1,-1,0.8,0.8,0.565,0.563152,0.036138
1,-1,2,0.7,0.05,-1,-1,0.8,0.8,0.570,0.563152,0.036138
1,-1,2,0.7,0.05,-1,-1,0.8,0.8,0.575,0.563152,0.036138
1,-1,2,0.7,0.05,-1,-1,0.8,0.8,0.580,0.563152,0.036138
1,-1,2,0.7,0.05,-1,-1,0.8,0.8,0.585,0.563152,0.036138
1,-1,2,0.7,0.05,-1,-1,0.85,0.85,0.590,0.589774,0.030267
1,-1,2,0.7,0.05,-1,-1,0.85,0.85,0.595,0.589774,0.030267
1,-1,2,0.7,0.05,-1,-1,0.85,0.85,0.600,0.589774,0.030267
1,-1,2,0.8,0.1,-1,-1,0.75,0.75,0.605,0.60006,0.028944
1,-1,2,0.8,0.05,-1,-1,0.8,0.8,0.610,0.606825,0.021618
1,-1,2,0.8,0.05,-1,-1,0.8,0.8,0.615,0.606825,0.021618
1,-1,2,0.8,0.05,-1,-1,0.8,0.8,0.620,0.606825,0.021618
1,-1,2,0.8,0.05,-1,-1,0.8,0.8,0.625,0.606825,0.021618
1,-1,2,0.85,0.05,-1,-1,0.8,0.8,0.630,0.629764,0.017523
1,-1,2,0.85,0.05,-1,-1,0.8,0.8,0.635,0.629764,0.017523
1,-1,2,0.8,0.05,-1,-1,0.85,0.85,0.640,0.636046,0.015607
1,-1,2,0.8,0.05,-1,-1,0.85,0.85,0.645,0.636046,0.015607
1,-1,2,0.8,0.05,-1,-1,0.85,0.85,0.650,0.636046,0.015607
1,-1,2,0.8,0.05,-1,-1,0.85,0.85,0.655,0.636046,0.015607
1,-1,2,0.8,0.1,-1,-1,0.85,0.85,0.660,0.658065,0.013652
1,-1,2,0.85,0.05,-1,-1,0.85,0.85,0.665,0.66035,0.011472
1,-1,2,0.85,0.05,-1,-1,0.85,0.85,0.670,0.66035,0.011472
1,-1,2,0.85,0.05,-1,-1,0.85,0.85,0.675,0.66035,0.011472
1,-1,2,0.85,0.05,-1,-1,0.85,0.85,0.680,0.66035,0.011472
1,-1,2,0.85,0.1,-1,-1,0.85,0.85,0.685,0.682369,0.009517
1,-1,2,0.9,0.05,-1,-1,0.85,0.85,0.690,0.68816,0.008841
1,-1,2,0.85,0.05,-1,-1,0.9,0.9,0.695,0.69352,0.008083
1,-1,2,0.85,0.05,-1,-1,0.9,0.9,0.700,0.69352,0.008083
1,-1,2,0.85,0.05,-1,-1,0.9,0.9,0.705,0.69352,0.008083
1,-1,2,0.85,0.05,-1,-1,0.9,0.9,0.710,0.69352,0.008083
1,-1,2,0.9,0.1,-1,-1,0.85,0.85,0.715,0.710179,0.006886
1,-1,2,0.9,0.1,-1,-1,0.85,0.85,0.720,0.710179,0.006886
1,-1,2,0.9,0.05,-1,-1,0.9,0.9,0.725,0.723024,0.005438
1,-1,2,0.9,0.05,-1,-1,0.9,0.9,0.730,0.723024,0.005438
1,-1,2,0.9,0.05,-1,-1,0.9,0.9,0.735,0.723024,0.005438
1,-1,2,0.9,0.05,-1,-1,0.9,0.9,0.740,0.723024,0.005438
1,-1,2,0.9,0.1,-1,-1,0.9,0.9,0.745,0.740587,0.004497
1,-1,2,0.9,0.1,-1,-1,0.9,0.9,0.750,0.740587,0.004497
1,-1,2,0.9,0.15,-1,-1,0.9,0.9,0.755,0.754391,0.003961
1,-1,2,0.95,0.05,-1,-1,0.9,0.9,0.760,0.75823,0.003549
1,-1,2,0.9,0.05,-1,-1,0.95,0.95,0.765,0.761737,0.003008
1,-1,2,0.9,0.05,-1,-1,0.95,0.95,0.770,0.761737,0.003008
1,-1,2,0.9,0.1,-1,-1,0.95,0.95,0.775,0.774353,0.002791
1,-1,2,0.95,0.1,-1,-1,0.9,0.9,0.780,0.775793,0.002608
1,-1,2,0.95,0.1,-1,-1,0.9,0.9,0.785,0.775793,0.002608
1,-1,2,0.95,0.15,-1,-1,0.9,0.9,0.790,0.789597,0.002071
1,-1,2,0.95,0.15,-1,-1,0.9,0.9,0.795,0.789597,0.002071
1,-1,2,0.95,0.05,-1,-1,0.95,0.95,0.800,0.799188,0.001111
1,-1,2,0.95,0.05,-1,-1,0.95,0.95,0.805,0.799188,0.001111
1,-1,2,0.95,0.05,-1,-1,0.95,0.95,0.810,0.799188,0.001111
1,-1,2,0.95,0.1,-1,-1,0.95,0.95,0.815,0.811803,0.000894
1,-1,2,0.95,0.1,-1,-1,0.95,0.95,0.820,0.811803,0.000894
1,-1,2,0.95,0.15,-1,-1,0.95,0.95,0.825,0.821718,0.00077
1,-1,2,0.95,0.2,-1,-1,0.95,0.95,0.830,0.829538,0.00068
1,-1,2,0.95,0.2,-1,-1,0.95,0.95,0.835,0.829538,0.00068
1,-1,2,0.95,0.25,-1,-1,0.95,0.95,0.840,0.837478,0.000611
1,-1,2,0.95,0.3,-1,-1,0.95,0.95,0.845,0.843644,0.000571
1,-1,2,0.95,0.35,-1,-1,0.95,0.95,0.850,0.848723,0.00053
1,-1,2,0.95,0.4,-1,-1,0.95,0.95,0.855,0.854325,0.000501
1,-1,2,0.95,0.45,-1,-1,0.95,0.95,0.860,0.85888,0.000473
1,-1,2,0.95,0.5,-1,-1,0.95,0.95,0.865,0.864079,0.000457
1,-1,2,0.95,0.55,-1,-1,0.95,0.95,0.870,0.868472,0.000439
1,-1,2,0.95,0.6,-1,-1,0.95,0.95,0.875,0.872986,0.000426
1,-1,2,0.95,0.65,-1,-1,0.95,0.95,0.880,0.87746,0.000417
1,-1,2,0.95,0.7,-1,-1,0.95,0.95,0.885,0.880926,0.000407
1,-1,2,0.95,0.8,-1,-1,0.95,0.95,0.890,0.888907,0.00039
1,-1,2,0.95,0.85,-1,-1,0.95,0.95,0.895,0.893098,0.000385
1,-1,2,0.95,0.9,-1,-1,0.95,0.95,0.900,0.897895,0.000382
1,-1,2,1.0,0.95,-1,-1,0.15,0.15,0.905,0.904878,0.000335
1,-1,2,1.0,0.95,-1,-1,0.25,0.25,0.910,0.907779,0.000286
