sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR Limit,FAR,FRR
1,-1,2,0.15,0.05,-1,-1,0.1,0.1,0.150,0.149748,0.602917
1,-1,2,0.25,0.05,-1,-1,0.15,0.15,0.155,0.154881,0.568222
1,-1,2,0.6,0.05,-1,-1,0.15,0.15,0.160,0.159846,0.550681
1,-1,2,0.2,0.05,-1,-1,0.25,0.25,0.165,0.164935,0.525043
1,-1,2,0.25,0.05,-1,-1,0.25,0.25,0.170,0.169056,0.509947
1,-1,2,0.2,0.05,-1,-1,0.3,0.3,0.175,0.17497,0.492307
1,-1,2,0.45,0.05,-1,-1,0.25,0.25,0.180,0.179408,0.482146
1,-1,2,0.25,0.05,-1,-1,0.3,0.3,0.185,0.181623,0.472206
1,-1,2,0.3,0.05,-1,-1,0.3,0.3,0.190,0.186969,0.461071
1,-1,2,0.35,0.05,-1,-1,0.3,0.3,0.195,0.19077,0.450081
1,-1,2,0.45,0.05,-1,-1,0.3,0.3,0.200,0.198333,0.435186
1,-1,2,0.55,0.05,-1,-1,0.3,0.3,0.205,0.204827,0.426654
1,-1,2,0.3,0.05,-1,-1,0.35,0.35,0.210,0.205814,0.423286
1,-1,2,0.35,0.05,-1,-1,0.35,0.35,0.215,0.211483,0.409743
1,-1,2,0.4,0.05,-1,-1,0.35,0.35,0.220,0.217978,0.399942
1,-1,2,0.45,0.05,-1,-1,0.35,0.35,0.225,0.222761,0.391389
1,-1,2,0.5,0.05,-1,-1,0.35,0.35,0.230,0.228311,0.385864
1,-1,2,0.55,0.05,-1,-1,0.35,0.35,0.235,0.232445,0.380875
1,-1,2,0.35,0.05,-1,-1,0.4,0.4,0.240,0.236488,0.371646
1,-1,2,0.25,0.05,-1,-1,0.45,0.45,0.245,0.243143,0.36524
1,-1,2,0.4,0.05,-1,-1,0.4,0.4,0.250,0.245566,0.360101
1,-1,2,0.45,0.05,-1,-1,0.4,0.4,0.255,0.25225,0.350024
1,-1,2,0.3,0.05,-1,-1,0.45,0.45,0.260,0.258447,0.346246
1,-1,2,0.5,0.05,-1,-1,0.4,0.4,0.265,0.260008,0.343517
1,-1,2,0.35,0.05,-1,-1,0.45,0.45,0.270,0.26933,0.327499
1,-1,2,0.35,0.05,-1,-1,0.45,0.45,0.275,0.26933,0.327499
1,-1,2,0.35,0.05,-1,-1,0.45,0.45,0.280,0.26933,0.327499
1,-1,2,0.4,0.05,-1,-1,0.45,0.45,0.285,0.2818,0.313932
1,-1,2,0.4,0.05,-1,-1,0.45,0.45,0.290,0.2818,0.313932
1,-1,2,0.45,0.05,-1,-1,0.45,0.45,0.295,0.290982,0.302091
1,-1,2,0.45,0.05,-1,-1,0.45,0.45,0.300,0.290982,0.302091
1,-1,2,0.5,0.05,-1,-1,0.45,0.45,0.305,0.301638,0.294444
1,-1,2,0.55,0.05,-1,-1,0.45,0.45,0.310,0.309574,0.287537
1,-1,2,0.55,0.05,-1,-1,0.45,0.45,0.315,0.309574,0.287537
1,-1,2,0.4,0.1,-1,-1,0.35,0.35,0.320,0.319368,0.281179
1,-1,2,0.25,0.05,-1,-1,0.55,0.55,0.325,0.32176,0.271571
1,-1,2,0.5,0.1,-1,-1,0.35,0.35,0.330,0.329701,0.267101
1,-1,2,0.35,0.05,-1,-1,0.5,0.5,0.335,0.332401,0.261389
1,-1,2,0.6,0.1,-1,-1,0.35,0.35,0.340,0.338145,0.25926
1,-1,2,0.4,0.1,-1,-1,0.4,0.4,0.345,0.340334,0.256183
1,-1,2,0.3,0.05,-1,-1,0.55,0.55,0.350,0.349789,0.245695
1,-1,2,0.5,0.1,-1,-1,0.4,0.4,0.355,0.354776,0.239599
1,-1,2,0.5,0.1,-1,-1,0.4,0.4,0.360,0.354776,0.239599
1,-1,2,0.55,0.1,-1,-1,0.4,0.4,0.365,0.360553,0.233721
1,-1,2,0.35,0.05,-1,-1,0.55,0.55,0.370,0.369722,0.220155
1,-1,2,0.35,0.05,-1,-1,0.55,0.55,0.375,0.369722,0.220155
1,-1,2,0.45,0.1,-1,-1,0.45,0.45,0.380,0.377055,0.215376
1,-1,2,0.3,0.05,-1,-1,0.6,0.6,0.385,0.384086,0.213997
1,-1,2,0.5,0.1,-1,-1,0.45,0.45,0.390,0.387711,0.207729
1,-1,2,0.4,0.05,-1,-1,0.55,0.55,0.395,0.39256,0.201672
1,-1,2,0.55,0.1,-1,-1,0.45,0.45,0.400,0.395646,0.200822
1,-1,2,0.6,0.1,-1,-1,0.45,0.45,0.405,0.403922,0.196875
1,-1,2,0.45,0.05,-1,-1,0.55,0.55,0.410,0.409379,0.185541
1,-1,2,0.45,0.05,-1,-1,0.55,0.55,0.415,0.409379,0.185541
1,-1,2,0.45,0.05,-1,-1,0.55,0.55,0.420,0.409379,0.185541
1,-1,2,0.4,0.1,-1,-1,0.5,0.5,0.425,0.420757,0.183841
1,-1,2,0.5,0.05,-1,-1,0.55,0.55,0.430,0.428896,0.175123
