sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR Limit,FAR,FRR
1,3,2,0.5,0.05,0.3,0.3,0.3,0.05,0.120,0.119992,0.553103
1,3,2,0.4,0.05,0.35,0.35,0.4,0.05,0.125,0.124984,0.508783
1,3,2,0.4,0.05,0.35,0.35,0.45,0.1,0.130,0.129657,0.473685
1,3,2,0.3,0.05,0.3,0.3,0.55,0.15,0.135,0.134979,0.447894
1,3,2,0.4,0.05,0.3,0.3,0.55,0.15,0.140,0.139577,0.422688
1,3,2,0.35,0.05,0.3,0.3,0.6,0.2,0.145,0.144662,0.401056
1,3,2,0.4,0.05,0.4,0.4,0.55,0.15,0.150,0.149404,0.380699
1,3,2,0.35,0.05,0.4,0.4,0.6,0.2,0.155,0.154893,0.360625
1,3,2,0.45,0.05,0.45,0.45,0.55,0.15,0.160,0.159671,0.346247
1,3,2,0.35,0.05,0.4,0.4,0.65,0.25,0.165,0.164948,0.331534
1,3,2,0.45,0.05,0.4,0.4,0.6,0.25,0.170,0.169213,0.3162
1,3,2,0.45,0.05,0.45,0.45,0.65,0.15,0.175,0.174227,0.306712
1,3,2,0.45,0.05,0.45,0.45,0.65,0.2,0.180,0.178818,0.294021
1,3,2,0.45,0.05,0.45,0.45,0.65,0.25,0.185,0.184797,0.279229
1,3,2,0.45,0.05,0.4,0.4,0.8,0.25,0.190,0.189552,0.274535
1,3,2,0.45,0.05,0.45,0.45,0.65,0.3,0.195,0.194727,0.261689
1,3,2,0.5,0.05,0.45,0.45,0.7,0.25,0.200,0.198437,0.256909
1,3,2,0.45,0.05,0.5,0.5,0.7,0.25,0.205,0.204704,0.245244
1,3,2,0.55,0.05,0.5,0.5,0.65,0.25,0.210,0.208976,0.238211
1,3,2,0.45,0.05,0.5,0.5,0.7,0.3,0.215,0.213995,0.230314
1,3,2,0.55,0.05,0.5,0.5,0.65,0.3,0.220,0.21976,0.222481
