sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR Limit,FAR,FRR
1,3,2,0.5,0.05,0.05,0.05,0.35,0.05,0.150,0.149966,0.588367
1,3,2,0.25,0.05,0.3,0.3,0.3,0.1,0.155,0.154784,0.541876
1,3,2,0.25,0.05,0.3,0.3,0.4,0.1,0.160,0.159715,0.512636
1,3,2,0.5,0.05,0.35,0.35,0.35,0.1,0.165,0.164762,0.488991
1,3,2,0.25,0.05,0.4,0.4,0.45,0.1,0.170,0.16981,0.469714
1,3,2,0.4,0.05,0.3,0.3,0.45,0.15,0.175,0.174575,0.453272
1,3,2,0.25,0.05,0.35,0.35,0.55,0.1,0.180,0.179746,0.437925
1,3,2,0.35,0.05,0.25,0.25,0.6,0.15,0.185,0.184651,0.422382
1,3,2,0.4,0.05,0.3,0.3,0.55,0.15,0.190,0.189829,0.405313
1,3,2,0.35,0.05,0.35,0.35,0.6,0.1,0.195,0.194811,0.394424
1,3,2,0.35,0.05,0.35,0.35,0.6,0.15,0.200,0.199453,0.37927
1,3,2,0.4,0.05,0.35,0.35,0.6,0.15,0.205,0.204706,0.368074
1,3,2,0.35,0.05,0.4,0.4,0.6,0.15,0.210,0.208901,0.357149
1,3,2,0.35,0.05,0.35,0.35,0.6,0.25,0.215,0.214462,0.344797
1,3,2,0.45,0.05,0.4,0.4,0.6,0.15,0.220,0.219716,0.334283
1,3,2,0.35,0.05,0.4,0.4,0.6,0.25,0.225,0.223228,0.326628
1,3,2,0.45,0.05,0.4,0.4,0.6,0.2,0.230,0.227206,0.318604
1,3,2,0.45,0.05,0.35,0.35,0.65,0.25,0.235,0.233228,0.308042
1,3,2,0.45,0.05,0.35,0.35,0.7,0.25,0.240,0.239955,0.298036
1,3,2,0.45,0.05,0.35,0.35,0.75,0.25,0.245,0.244766,0.291208
1,3,2,0.45,0.05,0.35,0.35,0.65,0.3,0.250,0.248921,0.283801
1,3,2,0.45,0.05,0.4,0.4,0.7,0.25,0.255,0.253311,0.275515
1,3,2,0.45,0.05,0.4,0.4,0.75,0.25,0.260,0.259183,0.267852
1,3,2,0.45,0.05,0.45,0.45,0.65,0.25,0.265,0.261984,0.264204
1,3,2,0.45,0.05,0.4,0.4,0.7,0.3,0.270,0.268292,0.254053
1,3,2,0.45,0.05,0.4,0.4,0.75,0.3,0.275,0.274164,0.24639
1,3,2,0.45,0.05,0.45,0.45,0.75,0.25,0.280,0.279688,0.243132
