sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR Limit,FAR,FRR
1,3,2,0.85,0.05,0.8,0.8,0.75,0.2,0.050,0.049328,0.033979
1,3,2,0.85,0.05,0.9,0.9,0.8,0.2,0.055,0.05451,0.016774
1,3,2,0.85,0.05,0.9,0.9,0.85,0.25,0.060,0.059372,0.00836
1,3,2,0.85,0.05,0.9,0.9,0.85,0.45,0.065,0.062464,0.005717
1,3,2,0.85,0.05,0.95,0.95,0.85,0.45,0.070,0.068904,0.004746
1,3,2,0.85,0.05,0.9,0.9,0.95,0.45,0.075,0.074639,0.001996
1,3,2,0.85,0.05,0.9,0.9,0.95,0.5,0.080,0.078761,0.00178
1,3,2,0.85,0.05,0.9,0.9,0.95,0.55,0.085,0.081854,0.001241
1,3,2,0.85,0.05,0.9,0.9,0.95,0.6,0.090,0.085976,0.000863
1,3,2,0.85,0.05,0.9,0.9,0.95,0.65,0.095,0.09319,0.000647
1,3,2,0.85,0.05,0.95,0.95,0.95,0.6,0.100,0.099258,0.000431
1,3,2,0.85,0.05,0.95,0.95,0.95,0.6,0.105,0.099258,0.000431
1,3,2,0.85,0.05,0.95,0.95,0.95,0.65,0.110,0.106003,0.000324
1,3,2,0.85,0.05,0.95,0.95,0.95,0.7,0.115,0.114676,0.00027
1,3,2,0.85,0.05,0.9,0.9,0.95,0.75,0.120,0.116896,0.000216
1,3,2,0.85,0.05,0.9,0.9,0.95,0.75,0.125,0.116896,0.000216
1,3,2,0.85,0.05,0.95,0.95,0.95,0.75,0.130,0.128166,0.000108
1,3,2,0.85,0.05,0.95,0.95,0.95,0.75,0.135,0.128166,0.000108
1,3,2,0.85,0.05,0.95,0.95,0.95,0.75,0.140,0.128166,0.000108
1,3,2,0.85,0.05,0.95,0.95,0.95,0.75,0.145,0.128166,0.000108
1,3,2,0.85,0.05,0.95,0.95,0.95,0.75,0.150,0.128166,0.000108
1,3,2,0.85,0.05,0.95,0.95,0.95,0.75,0.155,0.128166,0.000108
1,3,2,0.85,0.05,0.95,0.95,0.95,0.8,0.160,0.156109,8.1e-05
