sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR Limit,FAR,FRR
-1,1,-1,-1,-1,0.05,0.05,-1,-1,0.015,0.014232,0.889417
-1,1,-1,-1,-1,0.05,0.05,-1,-1,0.020,0.014232,0.889417
-1,1,-1,-1,-1,0.05,0.05,-1,-1,0.025,0.014232,0.889417
-1,1,-1,-1,-1,0.05,0.05,-1,-1,0.030,0.014232,0.889417
-1,1,-1,-1,-1,0.05,0.05,-1,-1,0.035,0.014232,0.889417
-1,1,-1,-1,-1,0.1,0.1,-1,-1,0.040,0.036417,0.813391
-1,1,-1,-1,-1,0.1,0.1,-1,-1,0.045,0.036417,0.813391
-1,1,-1,-1,-1,0.1,0.1,-1,-1,0.050,0.036417,0.813391
-1,1,-1,-1,-1,0.1,0.1,-1,-1,0.055,0.036417,0.813391
-1,1,-1,-1,-1,0.15,0.15,-1,-1,0.060,0.058602,0.75378
-1,1,-1,-1,-1,0.15,0.15,-1,-1,0.065,0.058602,0.75378
-1,1,-1,-1,-1,0.15,0.15,-1,-1,0.070,0.058602,0.75378
-1,1,-1,-1,-1,0.15,0.15,-1,-1,0.075,0.058602,0.75378
-1,1,-1,-1,-1,0.15,0.15,-1,-1,0.080,0.058602,0.75378
-1,1,-1,-1,-1,0.2,0.2,-1,-1,0.085,0.084973,0.689849
-1,1,-1,-1,-1,0.2,0.2,-1,-1,0.090,0.084973,0.689849
-1,1,-1,-1,-1,0.2,0.2,-1,-1,0.095,0.084973,0.689849
-1,1,-1,-1,-1,0.2,0.2,-1,-1,0.100,0.084973,0.689849
-1,1,-1,-1,-1,0.2,0.2,-1,-1,0.105,0.084973,0.689849
-1,1,-1,-1,-1,0.2,0.2,-1,-1,0.110,0.084973,0.689849
-1,1,-1,-1,-1,0.25,0.25,-1,-1,0.115,0.111762,0.631533
-1,1,-1,-1,-1,0.25,0.25,-1,-1,0.120,0.111762,0.631533
-1,1,-1,-1,-1,0.25,0.25,-1,-1,0.125,0.111762,0.631533
