sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR Limit,FAR,FRR
2,1,-1,0.2,0.2,0.35,0.05,-1,-1,0.005,0.004879,0.7874
2,1,-1,0.2,0.2,0.65,0.05,-1,-1,0.010,0.009965,0.690443
2,1,-1,0.3,0.3,0.45,0.05,-1,-1,0.015,0.014749,0.657872
2,1,-1,0.25,0.25,0.6,0.05,-1,-1,0.020,0.019974,0.633726
2,1,-1,0.2,0.2,0.8,0.1,-1,-1,0.025,0.024118,0.605101
2,1,-1,0.2,0.2,0.6,0.15,-1,-1,0.030,0.029481,0.56003
2,1,-1,0.2,0.2,0.95,0.15,-1,-1,0.035,0.034671,0.525186
2,1,-1,0.25,0.25,0.6,0.15,-1,-1,0.040,0.039896,0.51032
2,1,-1,0.25,0.25,0.7,0.15,-1,-1,0.045,0.044654,0.48646
2,1,-1,0.3,0.3,0.65,0.15,-1,-1,0.050,0.048962,0.459854
2,1,-1,0.3,0.3,0.7,0.15,-1,-1,0.055,0.052335,0.44584
2,1,-1,0.3,0.3,0.8,0.15,-1,-1,0.060,0.058434,0.429491
2,1,-1,0.3,0.3,0.9,0.15,-1,-1,0.065,0.063235,0.422485
2,1,-1,0.35,0.35,0.65,0.15,-1,-1,0.070,0.069308,0.410807
2,1,-1,0.35,0.35,0.65,0.15,-1,-1,0.075,0.069308,0.410807
2,1,-1,0.35,0.35,0.7,0.15,-1,-1,0.080,0.07538,0.394142
2,1,-1,0.35,0.35,0.75,0.15,-1,-1,0.085,0.082621,0.383032
2,1,-1,0.35,0.35,0.8,0.15,-1,-1,0.090,0.086358,0.3747
2,1,-1,0.35,0.35,0.9,0.15,-1,-1,0.095,0.095,0.366368
2,1,-1,0.35,0.35,0.7,0.2,-1,-1,0.100,0.099749,0.360055
2,1,-1,0.35,0.35,0.7,0.2,-1,-1,0.105,0.099749,0.360055
2,1,-1,0.35,0.35,0.75,0.2,-1,-1,0.110,0.10699,0.348946
2,1,-1,0.35,0.35,0.8,0.2,-1,-1,0.115,0.110727,0.340613
2,1,-1,0.35,0.35,0.9,0.2,-1,-1,0.120,0.119369,0.332281
2,1,-1,0.35,0.35,0.95,0.2,-1,-1,0.125,0.123106,0.329504
2,1,-1,0.5,0.5,0.65,0.15,-1,-1,0.130,0.12865,0.316217
2,1,-1,0.5,0.5,0.65,0.15,-1,-1,0.135,0.12865,0.316217
2,1,-1,0.45,0.45,0.75,0.15,-1,-1,0.140,0.139524,0.306653
2,1,-1,0.5,0.5,0.7,0.15,-1,-1,0.145,0.142595,0.294439
2,1,-1,0.45,0.45,0.7,0.2,-1,-1,0.150,0.147656,0.293776
2,1,-1,0.5,0.5,0.65,0.2,-1,-1,0.155,0.150294,0.292356
2,1,-1,0.5,0.5,0.75,0.15,-1,-1,0.160,0.159221,0.279921
2,1,-1,0.6,0.6,0.6,0.15,-1,-1,0.165,0.164879,0.258458
2,1,-1,0.6,0.6,0.6,0.15,-1,-1,0.170,0.164879,0.258458
2,1,-1,0.6,0.6,0.6,0.15,-1,-1,0.175,0.164879,0.258458
2,1,-1,0.6,0.6,0.65,0.1,-1,-1,0.180,0.178244,0.254293
2,1,-1,0.6,0.6,0.65,0.15,-1,-1,0.185,0.184602,0.232136
2,1,-1,0.6,0.6,0.65,0.15,-1,-1,0.190,0.184602,0.232136
2,1,-1,0.6,0.6,0.65,0.15,-1,-1,0.195,0.184602,0.232136
2,1,-1,0.65,0.65,0.6,0.15,-1,-1,0.200,0.196124,0.21869
2,1,-1,0.6,0.6,0.65,0.2,-1,-1,0.205,0.203677,0.217365
2,1,-1,0.6,0.6,0.7,0.15,-1,-1,0.210,0.205969,0.205814
2,1,-1,0.7,0.7,0.6,0.1,-1,-1,0.215,0.213019,0.202973
2,1,-1,0.7,0.7,0.6,0.15,-1,-1,0.220,0.218443,0.192179
2,1,-1,0.65,0.65,0.65,0.15,-1,-1,0.225,0.220207,0.190096
2,1,-1,0.65,0.65,0.65,0.15,-1,-1,0.230,0.220207,0.190096
2,1,-1,0.7,0.7,0.65,0.05,-1,-1,0.235,0.232984,0.182459
2,1,-1,0.65,0.65,0.65,0.2,-1,-1,0.240,0.237647,0.17987
2,1,-1,0.7,0.7,0.65,0.1,-1,-1,0.245,0.240216,0.172864
2,1,-1,0.65,0.65,0.7,0.15,-1,-1,0.250,0.246297,0.161501
2,1,-1,0.65,0.65,0.7,0.15,-1,-1,0.255,0.246297,0.161501
2,1,-1,0.65,0.65,0.7,0.15,-1,-1,0.260,0.246297,0.161501
2,1,-1,0.65,0.65,0.7,0.2,-1,-1,0.265,0.263737,0.151275
2,1,-1,0.7,0.7,0.7,0.1,-1,-1,0.270,0.26968,0.142754
2,1,-1,0.7,0.7,0.7,0.1,-1,-1,0.275,0.26968,0.142754
2,1,-1,0.7,0.7,0.7,0.15,-1,-1,0.280,0.275104,0.13196
2,1,-1,0.7,0.7,0.7,0.15,-1,-1,0.285,0.275104,0.13196
2,1,-1,0.7,0.7,0.7,0.15,-1,-1,0.290,0.275104,0.13196
2,1,-1,0.7,0.7,0.7,0.2,-1,-1,0.295,0.291376,0.124764
2,1,-1,0.7,0.7,0.7,0.2,-1,-1,0.300,0.291376,0.124764
2,1,-1,0.7,0.7,0.75,0.1,-1,-1,0.305,0.30481,0.122681
2,1,-1,0.7,0.7,0.75,0.1,-1,-1,0.310,0.30481,0.122681
2,1,-1,0.7,0.7,0.75,0.15,-1,-1,0.315,0.310233,0.111887
2,1,-1,0.7,0.7,0.75,0.15,-1,-1,0.320,0.310233,0.111887
2,1,-1,0.7,0.7,0.8,0.1,-1,-1,0.325,0.322941,0.107626
2,1,-1,0.7,0.7,0.8,0.15,-1,-1,0.330,0.328365,0.096832
2,1,-1,0.7,0.7,0.8,0.15,-1,-1,0.335,0.328365,0.096832
2,1,-1,0.7,0.7,0.8,0.15,-1,-1,0.340,0.328365,0.096832
2,1,-1,0.7,0.7,0.8,0.2,-1,-1,0.345,0.344637,0.089635
2,1,-1,0.7,0.7,0.8,0.2,-1,-1,0.350,0.344637,0.089635
2,1,-1,0.7,0.7,0.8,0.2,-1,-1,0.355,0.344637,0.089635
2,1,-1,0.7,0.7,0.85,0.15,-1,-1,0.360,0.358962,0.086795
2,1,-1,0.7,0.7,0.85,0.15,-1,-1,0.365,0.358962,0.086795
2,1,-1,0.7,0.7,0.85,0.15,-1,-1,0.370,0.358962,0.086795
2,1,-1,0.7,0.7,0.8,0.25,-1,-1,0.375,0.371756,0.080041
2,1,-1,0.7,0.7,0.85,0.2,-1,-1,0.380,0.375234,0.079599
2,1,-1,0.7,0.7,0.85,0.2,-1,-1,0.385,0.375234,0.079599
2,1,-1,0.7,0.7,0.9,0.2,-1,-1,0.390,0.386565,0.07458
2,1,-1,0.7,0.7,0.9,0.2,-1,-1,0.395,0.386565,0.07458
2,1,-1,0.7,0.7,0.8,0.3,-1,-1,0.400,0.39526,0.072845
2,1,-1,0.7,0.7,0.95,0.2,-1,-1,0.405,0.404697,0.069562
2,1,-1,0.7,0.7,0.95,0.2,-1,-1,0.410,0.404697,0.069562
2,1,-1,0.7,0.7,0.9,0.25,-1,-1,0.415,0.413685,0.064986
2,1,-1,0.7,0.7,0.9,0.25,-1,-1,0.420,0.413685,0.064986
2,1,-1,0.7,0.7,0.9,0.25,-1,-1,0.425,0.413685,0.064986
2,1,-1,0.7,0.7,0.85,0.3,-1,-1,0.430,0.425856,0.062808
2,1,-1,0.7,0.7,0.95,0.25,-1,-1,0.435,0.431817,0.059967
2,1,-1,0.7,0.7,0.9,0.3,-1,-1,0.440,0.437188,0.05779
2,1,-1,0.7,0.7,0.9,0.3,-1,-1,0.445,0.437188,0.05779
2,1,-1,0.8,0.8,0.8,0.05,-1,-1,0.450,0.447024,0.057379
2,1,-1,0.8,0.8,0.8,0.1,-1,-1,0.455,0.452353,0.053844
2,1,-1,0.8,0.8,0.8,0.15,-1,-1,0.460,0.456349,0.049868
2,1,-1,0.8,0.8,0.8,0.15,-1,-1,0.465,0.456349,0.049868
2,1,-1,0.8,0.8,0.8,0.2,-1,-1,0.470,0.468339,0.047216
2,1,-1,0.8,0.8,0.8,0.2,-1,-1,0.475,0.468339,0.047216
2,1,-1,0.8,0.8,0.8,0.2,-1,-1,0.480,0.468339,0.047216
2,1,-1,0.8,0.8,0.8,0.2,-1,-1,0.485,0.468339,0.047216
2,1,-1,0.8,0.8,0.8,0.25,-1,-1,0.490,0.488322,0.043682
2,1,-1,0.8,0.8,0.8,0.25,-1,-1,0.495,0.488322,0.043682
2,1,-1,0.8,0.8,0.85,0.15,-1,-1,0.500,0.499793,0.039073
2,1,-1,0.8,0.8,0.85,0.15,-1,-1,0.505,0.499793,0.039073
2,1,-1,0.85,0.85,0.8,0.15,-1,-1,0.510,0.50987,0.038127
2,1,-1,0.8,0.8,0.85,0.2,-1,-1,0.515,0.511782,0.036422
2,1,-1,0.8,0.8,0.9,0.15,-1,-1,0.520,0.515882,0.033676
2,1,-1,0.8,0.8,0.9,0.15,-1,-1,0.525,0.515882,0.033676
2,1,-1,0.8,0.8,0.9,0.2,-1,-1,0.530,0.527872,0.031025
2,1,-1,0.8,0.8,0.9,0.2,-1,-1,0.535,0.527872,0.031025
2,1,-1,0.8,0.8,0.9,0.2,-1,-1,0.540,0.527872,0.031025
2,1,-1,0.8,0.8,0.95,0.15,-1,-1,0.545,0.541626,0.028279
2,1,-1,0.8,0.8,0.9,0.25,-1,-1,0.550,0.547855,0.02749
2,1,-1,0.8,0.8,0.95,0.2,-1,-1,0.555,0.553616,0.025628
2,1,-1,0.8,0.8,0.95,0.2,-1,-1,0.560,0.553616,0.025628
2,1,-1,0.8,0.8,0.95,0.2,-1,-1,0.565,0.553616,0.025628
2,1,-1,0.8,0.8,0.9,0.3,-1,-1,0.570,0.565173,0.024839
2,1,-1,0.8,0.8,0.95,0.25,-1,-1,0.575,0.573599,0.022093
2,1,-1,0.85,0.85,0.9,0.15,-1,-1,0.580,0.576764,0.021651
2,1,-1,0.85,0.85,0.9,0.15,-1,-1,0.585,0.576764,0.021651
2,1,-1,0.85,0.85,0.9,0.2,-1,-1,0.590,0.586964,0.020136
2,1,-1,0.8,0.8,0.95,0.3,-1,-1,0.595,0.590917,0.019442
2,1,-1,0.8,0.8,0.95,0.3,-1,-1,0.600,0.590917,0.019442
2,1,-1,0.85,0.85,0.9,0.25,-1,-1,0.605,0.603962,0.018116
2,1,-1,0.85,0.85,0.95,0.15,-1,-1,0.610,0.605692,0.01616
2,1,-1,0.85,0.85,0.95,0.15,-1,-1,0.615,0.605692,0.01616
2,1,-1,0.85,0.85,0.95,0.2,-1,-1,0.620,0.615891,0.014645
2,1,-1,0.85,0.85,0.95,0.2,-1,-1,0.625,0.615891,0.014645
2,1,-1,0.85,0.85,0.95,0.2,-1,-1,0.630,0.615891,0.014645
2,1,-1,0.85,0.85,0.95,0.25,-1,-1,0.635,0.632889,0.012625
2,1,-1,0.85,0.85,0.95,0.25,-1,-1,0.640,0.632889,0.012625
