sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR Limit,FAR,FRR
2,1,-1,0.05,0.05,0.15,0.05,-1,-1,0.015,0.014961,0.836898
2,1,-1,0.1,0.1,0.15,0.05,-1,-1,0.020,0.01826,0.809889
2,1,-1,0.05,0.05,0.3,0.05,-1,-1,0.025,0.022991,0.770454
2,1,-1,0.1,0.1,0.25,0.05,-1,-1,0.030,0.028011,0.739696
2,1,-1,0.1,0.1,0.3,0.05,-1,-1,0.035,0.032887,0.708036
2,1,-1,0.1,0.1,0.35,0.05,-1,-1,0.040,0.038725,0.677834
2,1,-1,0.15,0.15,0.3,0.05,-1,-1,0.045,0.040664,0.672475
2,1,-1,0.15,0.15,0.35,0.05,-1,-1,0.050,0.048572,0.636292
2,1,-1,0.25,0.25,0.3,0.05,-1,-1,0.055,0.053026,0.626594
2,1,-1,0.15,0.15,0.4,0.05,-1,-1,0.060,0.058304,0.594618
2,1,-1,0.25,0.25,0.35,0.05,-1,-1,0.065,0.064223,0.582692
2,1,-1,0.2,0.2,0.4,0.05,-1,-1,0.070,0.068078,0.559225
2,1,-1,0.15,0.15,0.45,0.05,-1,-1,0.075,0.07073,0.554192
2,1,-1,0.25,0.25,0.4,0.05,-1,-1,0.080,0.078003,0.53213
2,1,-1,0.2,0.2,0.45,0.05,-1,-1,0.085,0.083069,0.513916
2,1,-1,0.2,0.2,0.45,0.05,-1,-1,0.090,0.083069,0.513916
2,1,-1,0.2,0.2,0.45,0.1,-1,-1,0.095,0.094623,0.493594
2,1,-1,0.25,0.25,0.45,0.05,-1,-1,0.100,0.095598,0.483082
2,1,-1,0.2,0.2,0.5,0.05,-1,-1,0.105,0.100366,0.472242
2,1,-1,0.3,0.3,0.45,0.05,-1,-1,0.110,0.105329,0.465353
2,1,-1,0.35,0.35,0.45,0.05,-1,-1,0.115,0.113343,0.447046
2,1,-1,0.25,0.25,0.5,0.05,-1,-1,0.120,0.1159,0.437969
2,1,-1,0.4,0.4,0.45,0.05,-1,-1,0.125,0.122183,0.434134
2,1,-1,0.3,0.3,0.5,0.05,-1,-1,0.130,0.127965,0.418262
2,1,-1,0.25,0.25,0.55,0.05,-1,-1,0.135,0.133987,0.405573
2,1,-1,0.35,0.35,0.5,0.05,-1,-1,0.140,0.1379,0.397913
2,1,-1,0.2,0.2,0.65,0.05,-1,-1,0.145,0.144919,0.386098
2,1,-1,0.4,0.4,0.5,0.05,-1,-1,0.150,0.148861,0.383562
2,1,-1,0.25,0.25,0.6,0.05,-1,-1,0.155,0.151582,0.374388
2,1,-1,0.35,0.35,0.55,0.05,-1,-1,0.160,0.159778,0.362631
2,1,-1,0.25,0.25,0.6,0.1,-1,-1,0.165,0.16208,0.358751
2,1,-1,0.25,0.25,0.65,0.05,-1,-1,0.170,0.168192,0.344716
2,1,-1,0.2,0.2,0.7,0.1,-1,-1,0.175,0.173875,0.339765
2,1,-1,0.25,0.25,0.65,0.1,-1,-1,0.180,0.17869,0.32908
2,1,-1,0.35,0.35,0.6,0.05,-1,-1,0.185,0.181061,0.328668
2,1,-1,0.25,0.25,0.65,0.15,-1,-1,0.190,0.188827,0.315985
2,1,-1,0.25,0.25,0.65,0.15,-1,-1,0.195,0.188827,0.315985
2,1,-1,0.25,0.25,0.7,0.1,-1,-1,0.200,0.199115,0.300923
2,1,-1,0.35,0.35,0.65,0.05,-1,-1,0.205,0.201154,0.296353
2,1,-1,0.25,0.25,0.7,0.15,-1,-1,0.210,0.209251,0.287829
2,1,-1,0.35,0.35,0.65,0.1,-1,-1,0.215,0.210156,0.286192
2,1,-1,0.25,0.25,0.75,0.1,-1,-1,0.220,0.21794,0.276701
2,1,-1,0.25,0.25,0.7,0.2,-1,-1,0.225,0.222284,0.274349
2,1,-1,0.25,0.25,0.75,0.15,-1,-1,0.230,0.228076,0.263607
