sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR Limit,FAR,FRR
2,1,-1,0.05,0.05,0.05,0.05,-1,-1,0.015,0.014232,0.889417
2,1,-1,0.05,0.05,0.1,0.05,-1,-1,0.020,0.017529,0.860813
2,1,-1,0.05,0.05,0.2,0.05,-1,-1,0.025,0.024744,0.814331
2,1,-1,0.05,0.05,0.25,0.05,-1,-1,0.030,0.028725,0.79239
2,1,-1,0.05,0.05,0.3,0.05,-1,-1,0.035,0.032581,0.770287
2,1,-1,0.05,0.05,0.35,0.05,-1,-1,0.040,0.037495,0.748997
2,1,-1,0.05,0.05,0.4,0.05,-1,-1,0.045,0.043093,0.726731
2,1,-1,0.1,0.1,0.3,0.05,-1,-1,0.050,0.047157,0.706277
2,1,-1,0.05,0.05,0.45,0.05,-1,-1,0.055,0.051055,0.703165
2,1,-1,0.15,0.15,0.3,0.05,-1,-1,0.060,0.058684,0.670442
2,1,-1,0.15,0.15,0.3,0.05,-1,-1,0.065,0.058684,0.670442
2,1,-1,0.1,0.1,0.4,0.05,-1,-1,0.070,0.066019,0.639317
2,1,-1,0.15,0.15,0.35,0.05,-1,-1,0.075,0.070588,0.631308
2,1,-1,0.25,0.25,0.3,0.05,-1,-1,0.080,0.075689,0.626948
2,1,-1,0.15,0.15,0.4,0.05,-1,-1,0.085,0.084149,0.59038
2,1,-1,0.15,0.15,0.4,0.05,-1,-1,0.090,0.084149,0.59038
2,1,-1,0.25,0.25,0.35,0.05,-1,-1,0.095,0.092147,0.580041
2,1,-1,0.2,0.2,0.4,0.05,-1,-1,0.100,0.097238,0.556947
2,1,-1,0.15,0.15,0.45,0.05,-1,-1,0.105,0.103437,0.547064
2,1,-1,0.2,0.2,0.4,0.1,-1,-1,0.110,0.109942,0.539377
2,1,-1,0.25,0.25,0.4,0.05,-1,-1,0.115,0.110896,0.530984
2,1,-1,0.15,0.15,0.45,0.1,-1,-1,0.120,0.117635,0.523615
