sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR Limit,FAR,FRR
2,1,-1,0.35,0.35,0.5,0.05,-1,-1,0.005,0.004905,0.243571
2,1,-1,0.55,0.55,0.55,0.2,-1,-1,0.010,0.009796,0.147346
2,1,-1,0.45,0.45,0.7,0.2,-1,-1,0.015,0.014936,0.108571
2,1,-1,0.45,0.45,0.75,0.25,-1,-1,0.020,0.019247,0.084286
2,1,-1,0.15,0.15,0.9,0.5,-1,-1,0.025,0.023795,0.061225
2,1,-1,0.2,0.2,0.9,0.5,-1,-1,0.030,0.028489,0.048316
2,1,-1,0.3,0.3,0.9,0.5,-1,-1,0.035,0.033769,0.036582
2,1,-1,0.4,0.4,0.9,0.5,-1,-1,0.040,0.038756,0.026021
2,1,-1,0.45,0.45,0.9,0.5,-1,-1,0.045,0.041543,0.0225
2,1,-1,0.55,0.55,0.9,0.5,-1,-1,0.050,0.048291,0.01898
2,1,-1,0.55,0.55,0.9,0.55,-1,-1,0.055,0.051314,0.017755
2,1,-1,0.55,0.55,0.9,0.65,-1,-1,0.060,0.058367,0.016735
2,1,-1,0.75,0.75,0.9,0.55,-1,-1,0.065,0.063791,0.015153
2,1,-1,0.45,0.45,0.95,0.55,-1,-1,0.070,0.065842,0.013572
2,1,-1,0.45,0.45,0.95,0.65,-1,-1,0.075,0.073922,0.011786
2,1,-1,0.55,0.55,0.95,0.55,-1,-1,0.080,0.076989,0.010816
2,1,-1,0.55,0.55,0.95,0.65,-1,-1,0.085,0.084043,0.009796
2,1,-1,0.55,0.55,0.95,0.7,-1,-1,0.090,0.087066,0.009388
2,1,-1,0.55,0.55,0.95,0.75,-1,-1,0.095,0.092104,0.008776
2,1,-1,0.75,0.75,0.95,0.55,-1,-1,0.100,0.099043,0.008061
2,1,-1,0.75,0.75,0.95,0.65,-1,-1,0.105,0.104065,0.007806
2,1,-1,0.85,0.85,0.95,0.05,-1,-1,0.110,0.105596,0.007143
2,1,-1,0.85,0.85,0.95,0.05,-1,-1,0.115,0.105596,0.007143
2,1,-1,0.85,0.85,0.95,0.05,-1,-1,0.120,0.105596,0.007143
2,1,-1,0.85,0.85,0.95,0.05,-1,-1,0.125,0.105596,0.007143
2,1,-1,0.85,0.85,0.95,0.05,-1,-1,0.130,0.105596,0.007143
2,1,-1,0.85,0.85,0.95,0.05,-1,-1,0.135,0.105596,0.007143
2,1,-1,0.85,0.85,0.95,0.05,-1,-1,0.140,0.105596,0.007143
2,1,-1,0.85,0.85,0.95,0.05,-1,-1,0.145,0.105596,0.007143
2,1,-1,0.85,0.85,0.95,0.05,-1,-1,0.150,0.105596,0.007143
2,1,-1,0.85,0.85,0.95,0.05,-1,-1,0.155,0.105596,0.007143
2,1,-1,0.85,0.85,0.95,0.05,-1,-1,0.160,0.105596,0.007143
2,1,-1,0.85,0.85,0.95,0.05,-1,-1,0.165,0.105596,0.007143
2,1,-1,0.85,0.85,0.95,0.05,-1,-1,0.170,0.105596,0.007143
2,1,-1,0.85,0.85,0.95,0.05,-1,-1,0.175,0.105596,0.007143
2,1,-1,0.85,0.85,0.95,0.05,-1,-1,0.180,0.105596,0.007143
2,1,-1,0.85,0.85,0.95,0.05,-1,-1,0.185,0.105596,0.007143
2,1,-1,0.1,0.1,1.0,0.9,-1,-1,0.190,0.185179,0.00551
2,1,-1,0.05,0.05,1.0,0.95,-1,-1,0.195,0.19287,0.003776
2,1,-1,0.05,0.05,1.0,0.95,-1,-1,0.200,0.19287,0.003776
2,1,-1,0.05,0.05,1.0,0.95,-1,-1,0.205,0.19287,0.003776
2,1,-1,0.05,0.05,1.0,0.95,-1,-1,0.210,0.19287,0.003776
2,1,-1,0.05,0.05,1.0,0.95,-1,-1,0.215,0.19287,0.003776
2,1,-1,0.05,0.05,1.0,0.95,-1,-1,0.220,0.19287,0.003776
2,1,-1,0.05,0.05,1.0,0.95,-1,-1,0.225,0.19287,0.003776
2,1,-1,0.05,0.05,1.0,0.95,-1,-1,0.230,0.19287,0.003776
2,1,-1,0.05,0.05,1.0,0.95,-1,-1,0.235,0.19287,0.003776
2,1,-1,0.1,0.1,1.0,0.95,-1,-1,0.240,0.238214,0.002755
2,1,-1,0.1,0.1,1.0,0.95,-1,-1,0.245,0.238214,0.002755
2,1,-1,0.1,0.1,1.0,0.95,-1,-1,0.250,0.238214,0.002755
2,1,-1,0.1,0.1,1.0,0.95,-1,-1,0.255,0.238214,0.002755
2,1,-1,0.1,0.1,1.0,0.95,-1,-1,0.260,0.238214,0.002755
2,1,-1,0.1,0.1,1.0,0.95,-1,-1,0.265,0.238214,0.002755
2,1,-1,0.15,0.15,1.0,0.95,-1,-1,0.270,0.269955,0.002041
2,1,-1,0.15,0.15,1.0,0.95,-1,-1,0.275,0.269955,0.002041
2,1,-1,0.15,0.15,1.0,0.95,-1,-1,0.280,0.269955,0.002041
2,1,-1,0.15,0.15,1.0,0.95,-1,-1,0.285,0.269955,0.002041
2,1,-1,0.15,0.15,1.0,0.95,-1,-1,0.290,0.269955,0.002041
2,1,-1,0.15,0.15,1.0,0.95,-1,-1,0.295,0.269955,0.002041
2,1,-1,0.15,0.15,1.0,0.95,-1,-1,0.300,0.269955,0.002041
2,1,-1,0.15,0.15,1.0,0.95,-1,-1,0.305,0.269955,0.002041
2,1,-1,0.15,0.15,1.0,0.95,-1,-1,0.310,0.269955,0.002041
2,1,-1,0.15,0.15,1.0,0.95,-1,-1,0.315,0.269955,0.002041
2,1,-1,0.2,0.2,1.0,0.95,-1,-1,0.320,0.318322,0.00148
2,1,-1,0.2,0.2,1.0,0.95,-1,-1,0.325,0.318322,0.00148
2,1,-1,0.2,0.2,1.0,0.95,-1,-1,0.330,0.318322,0.00148
2,1,-1,0.2,0.2,1.0,0.95,-1,-1,0.335,0.318322,0.00148
2,1,-1,0.2,0.2,1.0,0.95,-1,-1,0.340,0.318322,0.00148
2,1,-1,0.2,0.2,1.0,0.95,-1,-1,0.345,0.318322,0.00148
2,1,-1,0.2,0.2,1.0,0.95,-1,-1,0.350,0.318322,0.00148
2,1,-1,0.25,0.25,1.0,0.95,-1,-1,0.355,0.351575,0.001173
2,1,-1,0.25,0.25,1.0,0.95,-1,-1,0.360,0.351575,0.001173
2,1,-1,0.25,0.25,1.0,0.95,-1,-1,0.365,0.351575,0.001173
2,1,-1,0.25,0.25,1.0,0.95,-1,-1,0.370,0.351575,0.001173
2,1,-1,0.3,0.3,1.0,0.95,-1,-1,0.375,0.372736,0.000969
2,1,-1,0.3,0.3,1.0,0.95,-1,-1,0.380,0.372736,0.000969
2,1,-1,0.3,0.3,1.0,0.95,-1,-1,0.385,0.372736,0.000969
2,1,-1,0.3,0.3,1.0,0.95,-1,-1,0.390,0.372736,0.000969
2,1,-1,0.3,0.3,1.0,0.95,-1,-1,0.395,0.372736,0.000969
2,1,-1,0.35,0.35,1.0,0.95,-1,-1,0.400,0.399942,0.000714
2,1,-1,0.35,0.35,1.0,0.95,-1,-1,0.405,0.399942,0.000714
2,1,-1,0.35,0.35,1.0,0.95,-1,-1,0.410,0.399942,0.000714
2,1,-1,0.35,0.35,1.0,0.95,-1,-1,0.415,0.399942,0.000714
2,1,-1,0.35,0.35,1.0,0.95,-1,-1,0.420,0.399942,0.000714
2,1,-1,0.4,0.4,1.0,0.95,-1,-1,0.425,0.424126,0.00051
2,1,-1,0.4,0.4,1.0,0.95,-1,-1,0.430,0.424126,0.00051
2,1,-1,0.4,0.4,1.0,0.95,-1,-1,0.435,0.424126,0.00051
2,1,-1,0.4,0.4,1.0,0.95,-1,-1,0.440,0.424126,0.00051
2,1,-1,0.4,0.4,1.0,0.95,-1,-1,0.445,0.424126,0.00051
2,1,-1,0.4,0.4,1.0,0.95,-1,-1,0.450,0.424126,0.00051
2,1,-1,0.45,0.45,1.0,0.95,-1,-1,0.455,0.452844,0.000357
2,1,-1,0.45,0.45,1.0,0.95,-1,-1,0.460,0.452844,0.000357
2,1,-1,0.45,0.45,1.0,0.95,-1,-1,0.465,0.452844,0.000357
2,1,-1,0.45,0.45,1.0,0.95,-1,-1,0.470,0.452844,0.000357
2,1,-1,0.45,0.45,1.0,0.95,-1,-1,0.475,0.452844,0.000357
2,1,-1,0.45,0.45,1.0,0.95,-1,-1,0.480,0.452844,0.000357
2,1,-1,0.45,0.45,1.0,0.95,-1,-1,0.485,0.452844,0.000357
2,1,-1,0.45,0.45,1.0,0.95,-1,-1,0.490,0.452844,0.000357
2,1,-1,0.5,0.5,1.0,0.95,-1,-1,0.495,0.492143,0.000306
2,1,-1,0.5,0.5,1.0,0.95,-1,-1,0.500,0.492143,0.000306
2,1,-1,0.5,0.5,1.0,0.95,-1,-1,0.505,0.492143,0.000306
2,1,-1,0.5,0.5,1.0,0.95,-1,-1,0.510,0.492143,0.000306
2,1,-1,0.5,0.5,1.0,0.95,-1,-1,0.515,0.492143,0.000306
2,1,-1,0.5,0.5,1.0,0.95,-1,-1,0.520,0.492143,0.000306
2,1,-1,0.55,0.55,1.0,0.95,-1,-1,0.525,0.522372,0.000204
2,1,-1,0.55,0.55,1.0,0.95,-1,-1,0.530,0.522372,0.000204
2,1,-1,0.55,0.55,1.0,0.95,-1,-1,0.535,0.522372,0.000204
2,1,-1,0.55,0.55,1.0,0.95,-1,-1,0.540,0.522372,0.000204
2,1,-1,0.55,0.55,1.0,0.95,-1,-1,0.545,0.522372,0.000204
2,1,-1,0.55,0.55,1.0,0.95,-1,-1,0.550,0.522372,0.000204
2,1,-1,0.55,0.55,1.0,0.95,-1,-1,0.555,0.522372,0.000204
2,1,-1,0.55,0.55,1.0,0.95,-1,-1,0.560,0.522372,0.000204
2,1,-1,0.55,0.55,1.0,0.95,-1,-1,0.565,0.522372,0.000204
2,1,-1,0.55,0.55,1.0,0.95,-1,-1,0.570,0.522372,0.000204
2,1,-1,0.55,0.55,1.0,0.95,-1,-1,0.575,0.522372,0.000204
2,1,-1,0.55,0.55,1.0,0.95,-1,-1,0.580,0.522372,0.000204
2,1,-1,0.55,0.55,1.0,0.95,-1,-1,0.585,0.522372,0.000204
2,1,-1,0.55,0.55,1.0,0.95,-1,-1,0.590,0.522372,0.000204
2,1,-1,0.55,0.55,1.0,0.95,-1,-1,0.595,0.522372,0.000204
2,1,-1,0.55,0.55,1.0,0.95,-1,-1,0.600,0.522372,0.000204
2,1,-1,0.55,0.55,1.0,0.95,-1,-1,0.605,0.522372,0.000204
2,1,-1,0.55,0.55,1.0,0.95,-1,-1,0.610,0.522372,0.000204
2,1,-1,0.55,0.55,1.0,0.95,-1,-1,0.615,0.522372,0.000204
2,1,-1,0.55,0.55,1.0,0.95,-1,-1,0.620,0.522372,0.000204
2,1,-1,0.7,0.7,1.0,0.95,-1,-1,0.625,0.62213,0.000153
2,1,-1,0.7,0.7,1.0,0.95,-1,-1,0.630,0.62213,0.000153
2,1,-1,0.7,0.7,1.0,0.95,-1,-1,0.635,0.62213,0.000153
2,1,-1,0.75,0.75,1.0,0.9,-1,-1,0.640,0.63624,0.000102
2,1,-1,0.75,0.75,1.0,0.9,-1,-1,0.645,0.63624,0.000102
2,1,-1,0.75,0.75,1.0,0.9,-1,-1,0.650,0.63624,0.000102
2,1,-1,0.75,0.75,1.0,0.9,-1,-1,0.655,0.63624,0.000102
2,1,-1,0.75,0.75,1.0,0.95,-1,-1,0.660,0.659917,5.1e-05
2,1,-1,0.75,0.75,1.0,0.95,-1,-1,0.665,0.659917,5.1e-05
2,1,-1,0.75,0.75,1.0,0.95,-1,-1,0.670,0.659917,5.1e-05
2,1,-1,0.75,0.75,1.0,0.95,-1,-1,0.675,0.659917,5.1e-05
2,1,-1,0.75,0.75,1.0,0.95,-1,-1,0.680,0.659917,5.1e-05
2,1,-1,0.85,0.85,1.0,0.05,-1,-1,0.685,0.684494,0.0
2,1,-1,0.85,0.85,1.0,0.05,-1,-1,0.690,0.684494,0.0
2,1,-1,0.85,0.85,1.0,0.05,-1,-1,0.695,0.684494,0.0
2,1,-1,0.85,0.85,1.0,0.05,-1,-1,0.700,0.684494,0.0
2,1,-1,0.85,0.85,1.0,0.05,-1,-1,0.705,0.684494,0.0
2,1,-1,0.85,0.85,1.0,0.05,-1,-1,0.710,0.684494,0.0
2,1,-1,0.85,0.85,1.0,0.05,-1,-1,0.715,0.684494,0.0
2,1,-1,0.85,0.85,1.0,0.05,-1,-1,0.720,0.684494,0.0
2,1,-1,0.85,0.85,1.0,0.05,-1,-1,0.725,0.684494,0.0
2,1,-1,0.85,0.85,1.0,0.05,-1,-1,0.730,0.684494,0.0
2,1,-1,0.85,0.85,1.0,0.05,-1,-1,0.735,0.684494,0.0
2,1,-1,0.85,0.85,1.0,0.05,-1,-1,0.740,0.684494,0.0
2,1,-1,0.85,0.85,1.0,0.05,-1,-1,0.745,0.684494,0.0
2,1,-1,0.85,0.85,1.0,0.05,-1,-1,0.750,0.684494,0.0
2,1,-1,0.85,0.85,1.0,0.05,-1,-1,0.755,0.684494,0.0
2,1,-1,0.85,0.85,1.0,0.05,-1,-1,0.760,0.684494,0.0
2,1,-1,0.85,0.85,1.0,0.05,-1,-1,0.765,0.684494,0.0
2,1,-1,0.85,0.85,1.0,0.05,-1,-1,0.770,0.684494,0.0
2,1,-1,0.85,0.85,1.0,0.05,-1,-1,0.775,0.684494,0.0
2,1,-1,0.85,0.85,1.0,0.05,-1,-1,0.780,0.684494,0.0
2,1,-1,0.85,0.85,1.0,0.05,-1,-1,0.785,0.684494,0.0
2,1,-1,0.85,0.85,1.0,0.05,-1,-1,0.790,0.684494,0.0
2,1,-1,0.85,0.85,1.0,0.05,-1,-1,0.795,0.684494,0.0
2,1,-1,0.85,0.85,1.0,0.05,-1,-1,0.800,0.684494,0.0
2,1,-1,0.85,0.85,1.0,0.05,-1,-1,0.805,0.684494,0.0
2,1,-1,0.85,0.85,1.0,0.05,-1,-1,0.810,0.684494,0.0
2,1,-1,0.85,0.85,1.0,0.05,-1,-1,0.815,0.684494,0.0
2,1,-1,0.85,0.85,1.0,0.05,-1,-1,0.820,0.684494,0.0
2,1,-1,0.85,0.85,1.0,0.05,-1,-1,0.825,0.684494,0.0
2,1,-1,0.85,0.85,1.0,0.05,-1,-1,0.830,0.684494,0.0
2,1,-1,0.85,0.85,1.0,0.05,-1,-1,0.835,0.684494,0.0
