sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR Limit,FAR,FRR
2,1,3,0.2,0.05,0.6,0.05,0.55,0.55,0.005,0.004854,0.744044
2,1,3,0.95,0.2,0.65,0.05,0.25,0.25,0.010,0.009965,0.633623
2,1,3,0.7,0.2,0.7,0.05,0.3,0.3,0.015,0.014565,0.592195
2,1,3,0.7,0.2,0.7,0.05,0.35,0.35,0.020,0.019744,0.55356
2,1,3,0.6,0.2,0.6,0.05,0.45,0.45,0.025,0.024055,0.520106
2,1,3,0.7,0.2,0.6,0.05,0.45,0.45,0.030,0.029957,0.480672
2,1,3,0.65,0.2,0.7,0.05,0.45,0.45,0.035,0.034357,0.460734
2,1,3,0.7,0.2,0.7,0.15,0.35,0.35,0.040,0.039819,0.442832
2,1,3,0.7,0.2,0.65,0.1,0.45,0.45,0.045,0.04474,0.42168
2,1,3,0.6,0.2,0.7,0.15,0.45,0.45,0.050,0.049715,0.390823
2,1,3,0.65,0.2,0.7,0.15,0.45,0.45,0.055,0.053985,0.370907
2,1,3,0.7,0.2,0.7,0.15,0.45,0.45,0.060,0.057035,0.35763
2,1,3,0.7,0.2,0.8,0.15,0.45,0.45,0.065,0.064128,0.336004
2,1,3,0.7,0.3,0.65,0.15,0.45,0.45,0.070,0.069786,0.326018
2,1,3,0.65,0.25,0.8,0.15,0.45,0.45,0.075,0.074996,0.317754
2,1,3,0.7,0.2,0.65,0.05,0.55,0.55,0.080,0.078839,0.30232
2,1,3,0.7,0.2,0.75,0.15,0.5,0.5,0.085,0.084603,0.288116
2,1,3,0.65,0.2,0.65,0.15,0.55,0.55,0.090,0.088956,0.275239
2,1,3,0.7,0.3,0.7,0.15,0.5,0.5,0.095,0.094268,0.262449
2,1,3,0.65,0.2,0.7,0.15,0.55,0.55,0.100,0.097635,0.251246
2,1,3,0.7,0.3,0.75,0.15,0.5,0.5,0.105,0.104146,0.246837
2,1,3,0.7,0.2,0.7,0.15,0.55,0.55,0.110,0.106531,0.228676
2,1,3,0.65,0.2,0.8,0.15,0.55,0.55,0.115,0.113324,0.223255
2,1,3,0.7,0.2,0.75,0.15,0.55,0.55,0.120,0.118121,0.211909
2,1,3,0.7,0.2,0.8,0.15,0.55,0.55,0.125,0.124103,0.199334
2,1,3,0.7,0.25,0.75,0.15,0.55,0.55,0.130,0.12871,0.198392
2,1,3,0.7,0.2,0.7,0.15,0.6,0.6,0.135,0.133072,0.187226
2,1,3,0.7,0.25,0.8,0.15,0.55,0.55,0.140,0.135362,0.185482
2,1,3,0.7,0.3,0.8,0.15,0.55,0.55,0.145,0.141795,0.175324
2,1,3,0.7,0.2,0.75,0.15,0.6,0.6,0.150,0.148368,0.169042
2,1,3,0.7,0.15,0.8,0.15,0.6,0.6,0.155,0.154908,0.16543
2,1,3,0.7,0.2,0.8,0.15,0.6,0.6,0.160,0.156263,0.155404
2,1,3,0.7,0.2,0.8,0.15,0.6,0.6,0.165,0.156263,0.155404
2,1,3,0.7,0.2,0.85,0.15,0.6,0.6,0.170,0.169586,0.146312
2,1,3,0.7,0.3,0.8,0.15,0.6,0.6,0.175,0.17117,0.141684
2,1,3,0.7,0.3,0.8,0.15,0.6,0.6,0.180,0.17117,0.141684
2,1,3,0.7,0.2,0.95,0.15,0.6,0.6,0.185,0.182415,0.13722
2,1,3,0.7,0.3,0.85,0.15,0.6,0.6,0.190,0.185989,0.132371
2,1,3,0.7,0.3,0.9,0.15,0.6,0.6,0.195,0.191477,0.127715
2,1,3,0.7,0.3,0.9,0.15,0.6,0.6,0.200,0.191477,0.127715
2,1,3,0.7,0.3,0.95,0.15,0.6,0.6,0.205,0.200259,0.123058
2,1,3,0.8,0.2,0.8,0.15,0.6,0.6,0.210,0.209716,0.114772
2,1,3,0.8,0.2,0.8,0.15,0.6,0.6,0.215,0.209716,0.114772
2,1,3,0.8,0.25,0.8,0.15,0.6,0.6,0.220,0.219202,0.106857
2,1,3,0.8,0.3,0.8,0.15,0.6,0.6,0.225,0.224622,0.101053
2,1,3,0.8,0.3,0.8,0.15,0.6,0.6,0.230,0.224622,0.101053
2,1,3,0.8,0.3,0.8,0.15,0.6,0.6,0.235,0.224622,0.101053
2,1,3,0.8,0.25,0.85,0.15,0.6,0.6,0.240,0.238842,0.096982
2,1,3,0.8,0.3,0.85,0.15,0.6,0.6,0.245,0.244806,0.091084
2,1,3,0.85,0.3,0.8,0.15,0.6,0.6,0.250,0.246975,0.090895
