sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR Limit,FAR,FRR
2,1,3,0.2,0.05,0.15,0.05,0.1,0.1,0.015,0.014993,0.833537
2,1,3,0.25,0.05,0.2,0.05,0.4,0.4,0.020,0.019985,0.768729
2,1,3,0.35,0.05,0.25,0.05,0.4,0.4,0.025,0.024918,0.724298
2,1,3,0.4,0.05,0.3,0.05,0.4,0.4,0.030,0.02958,0.685298
2,1,3,0.4,0.05,0.35,0.05,0.4,0.4,0.035,0.034538,0.651272
2,1,3,0.35,0.05,0.4,0.05,0.4,0.4,0.040,0.039573,0.617589
2,1,3,0.4,0.05,0.4,0.05,0.45,0.45,0.045,0.044558,0.591482
2,1,3,0.45,0.05,0.45,0.05,0.4,0.4,0.050,0.049526,0.568174
2,1,3,0.45,0.05,0.45,0.05,0.45,0.45,0.055,0.054881,0.543685
2,1,3,0.6,0.05,0.45,0.05,0.45,0.45,0.060,0.059538,0.531678
2,1,3,0.4,0.05,0.5,0.05,0.45,0.45,0.065,0.063554,0.513044
2,1,3,0.4,0.05,0.45,0.05,0.55,0.55,0.070,0.06962,0.493928
2,1,3,0.45,0.05,0.55,0.05,0.45,0.45,0.075,0.074805,0.477788
2,1,3,0.35,0.05,0.5,0.05,0.55,0.55,0.080,0.079353,0.46122
2,1,3,0.4,0.05,0.5,0.05,0.55,0.55,0.085,0.083692,0.450025
2,1,3,0.4,0.05,0.65,0.05,0.45,0.45,0.090,0.089766,0.435363
2,1,3,0.45,0.05,0.65,0.05,0.45,0.45,0.095,0.092558,0.426049
2,1,3,0.35,0.05,0.55,0.05,0.6,0.6,0.100,0.099535,0.409869
2,1,3,0.35,0.05,0.6,0.05,0.55,0.55,0.105,0.10261,0.400927
2,1,3,0.4,0.05,0.6,0.05,0.55,0.55,0.110,0.108424,0.388148
2,1,3,0.35,0.05,0.65,0.05,0.55,0.55,0.115,0.113436,0.37279
2,1,3,0.4,0.05,0.65,0.05,0.55,0.55,0.120,0.119937,0.359272
2,1,3,0.35,0.05,0.65,0.05,0.6,0.6,0.125,0.124164,0.349555
2,1,3,0.35,0.05,0.7,0.05,0.55,0.55,0.130,0.126748,0.346089
2,1,3,0.4,0.05,0.7,0.05,0.55,0.55,0.135,0.134094,0.331871
2,1,3,0.45,0.05,0.65,0.05,0.6,0.6,0.140,0.138149,0.321079
2,1,3,0.4,0.05,0.65,0.05,0.65,0.65,0.145,0.143671,0.317693
2,1,3,0.4,0.05,0.7,0.05,0.6,0.6,0.150,0.147586,0.306212
2,1,3,0.45,0.05,0.7,0.05,0.6,0.6,0.155,0.154671,0.291696
2,1,3,0.4,0.05,0.75,0.1,0.55,0.55,0.160,0.15983,0.291014
2,1,3,0.35,0.05,0.75,0.1,0.6,0.6,0.165,0.164919,0.281459
2,1,3,0.45,0.05,0.75,0.05,0.6,0.6,0.170,0.1699,0.26642
