sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR Limit,FAR,FRR
2,1,3,0.05,0.05,0.05,0.05,0.05,0.05,0.015,0.014232,0.889417
2,1,3,0.5,0.05,0.1,0.05,0.4,0.4,0.020,0.02,0.839507
2,1,3,0.35,0.05,0.15,0.05,0.4,0.4,0.025,0.024725,0.804189
2,1,3,0.45,0.05,0.2,0.05,0.35,0.35,0.030,0.02999,0.767958
2,1,3,0.35,0.05,0.25,0.05,0.35,0.35,0.035,0.034858,0.737199
2,1,3,0.3,0.05,0.3,0.05,0.35,0.35,0.040,0.039647,0.706811
2,1,3,0.4,0.05,0.35,0.05,0.3,0.3,0.045,0.044779,0.681209
2,1,3,0.5,0.05,0.35,0.05,0.35,0.35,0.050,0.049974,0.660211
2,1,3,0.3,0.05,0.4,0.05,0.35,0.35,0.055,0.054206,0.640047
2,1,3,0.55,0.05,0.4,0.05,0.35,0.35,0.060,0.059378,0.621709
2,1,3,0.5,0.05,0.4,0.05,0.4,0.4,0.065,0.064731,0.605555
2,1,3,0.45,0.05,0.45,0.05,0.35,0.35,0.070,0.069433,0.588134
2,1,3,0.25,0.05,0.45,0.05,0.45,0.45,0.075,0.074483,0.57519
2,1,3,0.35,0.05,0.5,0.05,0.35,0.35,0.080,0.078943,0.564074
2,1,3,0.4,0.05,0.45,0.05,0.45,0.45,0.085,0.084063,0.549791
2,1,3,0.4,0.05,0.5,0.05,0.4,0.4,0.090,0.089372,0.536712
2,1,3,0.5,0.05,0.55,0.05,0.35,0.35,0.095,0.094604,0.526506
2,1,3,0.25,0.05,0.55,0.05,0.45,0.45,0.100,0.099826,0.514319
2,1,3,0.45,0.05,0.5,0.05,0.45,0.45,0.105,0.103269,0.504738
2,1,3,0.35,0.05,0.55,0.05,0.45,0.45,0.110,0.109044,0.492017
2,1,3,0.45,0.05,0.6,0.05,0.4,0.4,0.115,0.114646,0.480058
2,1,3,0.35,0.05,0.65,0.05,0.4,0.4,0.120,0.119063,0.46979
2,1,3,0.4,0.05,0.65,0.05,0.4,0.4,0.125,0.123087,0.46208
