sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR Limit,FAR,FRR
2,1,3,0.85,0.05,0.75,0.05,0.65,0.65,0.005,0.004898,0.098913
2,1,3,0.75,0.05,0.9,0.2,0.65,0.65,0.010,0.009863,0.041685
2,1,3,0.85,0.05,0.9,0.25,0.75,0.75,0.015,0.014178,0.021082
2,1,3,0.85,0.05,0.95,0.25,0.75,0.75,0.020,0.02,0.014047
2,1,3,0.85,0.05,0.95,0.45,0.75,0.75,0.025,0.024828,0.010703
2,1,3,0.85,0.05,0.95,0.25,0.85,0.85,0.030,0.02928,0.008869
2,1,3,0.85,0.05,0.95,0.45,0.85,0.85,0.035,0.033772,0.008033
2,1,3,0.85,0.05,0.95,0.55,0.85,0.85,0.040,0.039762,0.007628
2,1,3,0.85,0.1,0.95,0.5,0.85,0.85,0.045,0.041464,0.007615
2,1,3,0.85,0.05,0.95,0.05,0.95,0.95,0.050,0.045811,0.007143
2,1,3,0.85,0.05,0.95,0.05,0.95,0.95,0.055,0.045811,0.007143
2,1,3,0.85,0.05,0.95,0.05,0.95,0.95,0.060,0.045811,0.007143
2,1,3,0.85,0.05,0.95,0.05,0.95,0.95,0.065,0.045811,0.007143
2,1,3,0.85,0.05,0.95,0.05,0.95,0.95,0.070,0.045811,0.007143
2,1,3,0.85,0.05,0.95,0.05,0.95,0.95,0.075,0.045811,0.007143
2,1,3,0.85,0.05,0.95,0.05,0.95,0.95,0.080,0.045811,0.007143
2,1,3,0.85,0.05,0.95,0.05,0.95,0.95,0.085,0.045811,0.007143
2,1,3,0.85,0.05,1.0,0.55,0.65,0.65,0.090,0.089172,0.006149
2,1,3,0.55,0.05,1.0,0.55,0.75,0.75,0.095,0.094863,0.005816
2,1,3,0.85,0.05,1.0,0.55,0.7,0.7,0.100,0.099235,0.005124
2,1,3,0.75,0.05,1.0,0.5,0.75,0.75,0.105,0.103107,0.003936
2,1,3,0.75,0.05,1.0,0.55,0.75,0.75,0.110,0.107973,0.002991
2,1,3,0.85,0.05,1.0,0.55,0.75,0.75,0.115,0.114888,0.00205
2,1,3,0.85,0.05,1.0,0.55,0.75,0.75,0.120,0.114888,0.00205
2,1,3,0.75,0.05,1.0,0.7,0.75,0.75,0.125,0.124191,0.001889
2,1,3,0.85,0.05,1.0,0.65,0.75,0.75,0.130,0.126153,0.00151
2,1,3,0.85,0.05,1.0,0.7,0.75,0.75,0.135,0.130981,0.001294
2,1,3,0.85,0.05,1.0,0.75,0.75,0.75,0.140,0.139028,0.000971
2,1,3,0.85,0.05,1.0,0.75,0.75,0.75,0.145,0.139028,0.000971
2,1,3,0.85,0.05,1.0,0.8,0.75,0.75,0.150,0.148683,0.000755
2,1,3,0.85,0.05,1.0,0.8,0.75,0.75,0.155,0.148683,0.000755
2,1,3,0.75,0.05,1.0,0.9,0.65,0.65,0.160,0.157195,0.000741
2,1,3,0.85,0.05,1.0,0.9,0.65,0.65,0.165,0.160383,0.000647
2,1,3,0.85,0.05,1.0,0.9,0.7,0.7,0.170,0.169659,0.000539
2,1,3,0.7,0.05,1.0,0.9,0.75,0.75,0.175,0.174393,0.000513
2,1,3,0.75,0.05,1.0,0.9,0.75,0.75,0.180,0.177713,0.000315
2,1,3,0.85,0.05,1.0,0.9,0.75,0.75,0.185,0.184088,0.000216
2,1,3,0.85,0.05,1.0,0.9,0.75,0.75,0.190,0.184088,0.000216
2,1,3,0.85,0.05,1.0,0.9,0.75,0.75,0.195,0.184088,0.000216
2,1,3,0.85,0.05,1.0,0.9,0.75,0.75,0.200,0.184088,0.000216
2,1,3,0.85,0.05,1.0,0.9,0.75,0.75,0.205,0.184088,0.000216
2,1,3,0.85,0.05,1.0,0.8,0.85,0.85,0.210,0.207829,0.000189
2,1,3,0.85,0.05,1.0,0.9,0.8,0.8,0.215,0.213977,0.000162
2,1,3,0.85,0.05,1.0,0.9,0.8,0.8,0.220,0.213977,0.000162
2,1,3,0.85,0.05,1.0,0.9,0.8,0.8,0.225,0.213977,0.000162
2,1,3,0.75,0.05,1.0,0.9,0.85,0.85,0.230,0.226777,0.000155
2,1,3,0.75,0.05,1.0,0.9,0.85,0.85,0.235,0.226777,0.000155
2,1,3,0.85,0.05,1.0,0.95,0.75,0.75,0.240,0.237194,0.000108
2,1,3,0.85,0.05,1.0,0.9,0.85,0.85,0.245,0.240774,5.4e-05
2,1,3,0.85,0.05,1.0,0.9,0.85,0.85,0.250,0.240774,5.4e-05
2,1,3,0.85,0.05,1.0,0.9,0.85,0.85,0.255,0.240774,5.4e-05
2,1,3,0.85,0.05,1.0,0.9,0.85,0.85,0.260,0.240774,5.4e-05
2,1,3,0.85,0.05,1.0,0.9,0.85,0.85,0.265,0.240774,5.4e-05
2,1,3,0.85,0.05,1.0,0.9,0.85,0.85,0.270,0.240774,5.4e-05
2,1,3,0.85,0.05,1.0,0.9,0.85,0.85,0.275,0.240774,5.4e-05
2,1,3,0.85,0.05,1.0,0.9,0.85,0.85,0.280,0.240774,5.4e-05
2,1,3,0.85,0.1,1.0,0.9,0.85,0.85,0.285,0.280527,3.9e-05
2,1,3,0.85,0.1,1.0,0.9,0.85,0.85,0.290,0.280527,3.9e-05
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.295,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.300,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.305,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.310,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.315,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.320,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.325,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.330,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.335,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.340,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.345,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.350,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.355,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.360,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.365,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.370,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.375,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.380,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.385,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.390,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.395,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.400,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.405,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.410,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.415,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.420,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.425,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.430,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.435,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.440,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.445,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.450,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.455,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.460,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.465,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.470,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.475,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.480,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.485,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.490,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.495,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.500,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.505,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.510,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.515,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.520,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.525,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.530,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.535,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.540,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.545,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.550,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.555,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.560,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.565,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.570,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.575,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.580,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.585,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.590,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.595,0.291313,0.0
2,1,3,0.85,0.05,1.0,0.05,0.95,0.95,0.600,0.291313,0.0
