sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR Limit,FAR,FRR
-1,1,2,-1,-1,0.95,0.05,0.25,0.25,0.005,0.002941,0.823191
-1,1,2,-1,-1,0.15,0.05,0.55,0.55,0.010,0.009299,0.764171
-1,1,2,-1,-1,0.15,0.05,0.65,0.65,0.015,0.014446,0.733051
-1,1,2,-1,-1,0.2,0.05,0.55,0.55,0.020,0.017474,0.712662
-1,1,2,-1,-1,0.95,0.15,0.25,0.25,0.025,0.023529,0.650423
-1,1,2,-1,-1,0.55,0.15,0.3,0.3,0.030,0.029714,0.631044
-1,1,2,-1,-1,0.75,0.15,0.3,0.3,0.035,0.034472,0.604532
-1,1,2,-1,-1,0.4,0.15,0.4,0.4,0.040,0.038451,0.591844
-1,1,2,-1,-1,0.65,0.15,0.35,0.35,0.045,0.043875,0.568457
-1,1,2,-1,-1,0.45,0.15,0.45,0.45,0.050,0.049688,0.532256
-1,1,2,-1,-1,0.45,0.15,0.45,0.45,0.055,0.049688,0.532256
-1,1,2,-1,-1,0.5,0.15,0.45,0.45,0.060,0.057474,0.507007
-1,1,2,-1,-1,0.5,0.15,0.45,0.45,0.065,0.057474,0.507007
-1,1,2,-1,-1,0.55,0.15,0.45,0.45,0.070,0.068062,0.484282
-1,1,2,-1,-1,0.45,0.15,0.5,0.5,0.075,0.070034,0.476202
-1,1,2,-1,-1,0.6,0.15,0.45,0.45,0.080,0.077093,0.453983
-1,1,2,-1,-1,0.65,0.15,0.45,0.45,0.085,0.084567,0.438834
-1,1,2,-1,-1,0.65,0.15,0.45,0.45,0.090,0.084567,0.438834
-1,1,2,-1,-1,0.7,0.15,0.45,0.45,0.095,0.092664,0.423684
-1,1,2,-1,-1,0.45,0.15,0.55,0.55,0.100,0.099827,0.401465
-1,1,2,-1,-1,0.45,0.15,0.55,0.55,0.105,0.099827,0.401465
-1,1,2,-1,-1,0.45,0.15,0.55,0.55,0.110,0.099827,0.401465
-1,1,2,-1,-1,0.45,0.05,0.6,0.6,0.115,0.114723,0.385178
-1,1,2,-1,-1,0.6,0.15,0.5,0.5,0.120,0.118754,0.374447
-1,1,2,-1,-1,0.5,0.15,0.55,0.55,0.125,0.122535,0.358541
-1,1,2,-1,-1,0.5,0.15,0.55,0.55,0.130,0.122535,0.358541
-1,1,2,-1,-1,0.65,0.15,0.5,0.5,0.135,0.132041,0.354753
-1,1,2,-1,-1,0.65,0.15,0.5,0.5,0.140,0.132041,0.354753
-1,1,2,-1,-1,0.5,0.2,0.55,0.55,0.145,0.140831,0.342633
-1,1,2,-1,-1,0.7,0.15,0.5,0.5,0.150,0.146436,0.335059
-1,1,2,-1,-1,0.55,0.15,0.55,0.55,0.155,0.153417,0.319909
-1,1,2,-1,-1,0.5,0.15,0.6,0.6,0.160,0.157422,0.310819
-1,1,2,-1,-1,0.5,0.15,0.6,0.6,0.165,0.157422,0.310819
-1,1,2,-1,-1,0.7,0.2,0.5,0.5,0.170,0.167924,0.307032
-1,1,2,-1,-1,0.6,0.1,0.55,0.55,0.175,0.17366,0.292261
-1,1,2,-1,-1,0.6,0.15,0.55,0.55,0.180,0.179758,0.2684
-1,1,2,-1,-1,0.6,0.15,0.55,0.55,0.185,0.179758,0.2684
-1,1,2,-1,-1,0.6,0.15,0.55,0.55,0.190,0.179758,0.2684
-1,1,2,-1,-1,0.6,0.15,0.55,0.55,0.195,0.179758,0.2684
-1,1,2,-1,-1,0.6,0.2,0.55,0.55,0.200,0.198054,0.252493
-1,1,2,-1,-1,0.65,0.15,0.55,0.55,0.205,0.201557,0.242646
-1,1,2,-1,-1,0.65,0.15,0.55,0.55,0.210,0.201557,0.242646
-1,1,2,-1,-1,0.65,0.15,0.55,0.55,0.215,0.201557,0.242646
-1,1,2,-1,-1,0.65,0.2,0.55,0.55,0.220,0.219853,0.226739
-1,1,2,-1,-1,0.65,0.2,0.55,0.55,0.225,0.219853,0.226739
-1,1,2,-1,-1,0.7,0.15,0.55,0.55,0.230,0.225173,0.216892
-1,1,2,-1,-1,0.6,0.15,0.6,0.6,0.235,0.23481,0.208748
-1,1,2,-1,-1,0.6,0.15,0.6,0.6,0.240,0.23481,0.208748
-1,1,2,-1,-1,0.7,0.2,0.55,0.55,0.245,0.243469,0.200985
-1,1,2,-1,-1,0.7,0.2,0.55,0.55,0.250,0.243469,0.200985
-1,1,2,-1,-1,0.6,0.2,0.6,0.6,0.255,0.250225,0.199658
-1,1,2,-1,-1,0.65,0.1,0.6,0.6,0.260,0.259152,0.193221
-1,1,2,-1,-1,0.65,0.15,0.6,0.6,0.265,0.26429,0.179586
-1,1,2,-1,-1,0.65,0.15,0.6,0.6,0.270,0.26429,0.179586
