sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR Limit,FAR,FRR
-1,1,2,-1,-1,0.55,0.05,0.15,0.15,0.015,0.014921,0.815705
-1,1,2,-1,-1,0.45,0.05,0.25,0.25,0.020,0.019977,0.761741
-1,1,2,-1,-1,0.55,0.05,0.25,0.25,0.025,0.024073,0.737628
-1,1,2,-1,-1,0.5,0.05,0.3,0.3,0.030,0.029476,0.701224
-1,1,2,-1,-1,0.45,0.05,0.35,0.35,0.035,0.03346,0.680032
-1,1,2,-1,-1,0.5,0.05,0.35,0.35,0.040,0.03886,0.656885
-1,1,2,-1,-1,0.55,0.05,0.35,0.35,0.045,0.04367,0.640262
-1,1,2,-1,-1,0.6,0.05,0.35,0.35,0.050,0.04835,0.624261
-1,1,2,-1,-1,0.45,0.05,0.45,0.45,0.055,0.054703,0.597552
-1,1,2,-1,-1,0.55,0.05,0.4,0.4,0.060,0.05726,0.594105
-1,1,2,-1,-1,0.6,0.05,0.4,0.4,0.065,0.063883,0.575117
-1,1,2,-1,-1,0.65,0.1,0.35,0.35,0.070,0.068504,0.563474
-1,1,2,-1,-1,0.55,0.05,0.45,0.45,0.075,0.074546,0.541978
-1,1,2,-1,-1,0.5,0.1,0.45,0.45,0.080,0.079142,0.532176
-1,1,2,-1,-1,0.6,0.05,0.45,0.45,0.085,0.083641,0.519618
-1,1,2,-1,-1,0.55,0.1,0.45,0.45,0.090,0.088492,0.508948
-1,1,2,-1,-1,0.45,0.05,0.55,0.55,0.095,0.093754,0.491754
-1,1,2,-1,-1,0.65,0.15,0.4,0.4,0.100,0.099516,0.484148
-1,1,2,-1,-1,0.45,0.1,0.55,0.55,0.105,0.104407,0.4748
-1,1,2,-1,-1,0.45,0.05,0.6,0.6,0.110,0.109209,0.457837
-1,1,2,-1,-1,0.5,0.05,0.55,0.55,0.115,0.113613,0.447608
-1,1,2,-1,-1,0.65,0.15,0.45,0.45,0.120,0.119638,0.437653
-1,1,2,-1,-1,0.5,0.1,0.55,0.55,0.125,0.124267,0.430654
-1,1,2,-1,-1,0.85,0.15,0.4,0.4,0.130,0.129528,0.424789
-1,1,2,-1,-1,0.5,0.05,0.6,0.6,0.135,0.132775,0.409909
-1,1,2,-1,-1,0.75,0.15,0.45,0.45,0.140,0.139926,0.400097
-1,1,2,-1,-1,0.5,0.1,0.6,0.6,0.145,0.142125,0.398108
-1,1,2,-1,-1,0.6,0.05,0.55,0.55,0.150,0.148518,0.38539
-1,1,2,-1,-1,0.55,0.05,0.6,0.6,0.155,0.15377,0.37549
-1,1,2,-1,-1,0.6,0.1,0.55,0.55,0.160,0.159171,0.368436
-1,1,2,-1,-1,0.65,0.05,0.55,0.55,0.165,0.164766,0.356355
-1,1,2,-1,-1,0.6,0.15,0.55,0.55,0.170,0.169458,0.354238
-1,1,2,-1,-1,0.6,0.05,0.6,0.6,0.175,0.174194,0.342359
-1,1,2,-1,-1,0.85,0.2,0.45,0.45,0.180,0.178163,0.339277
-1,1,2,-1,-1,0.7,0.05,0.55,0.55,0.185,0.184746,0.328802
-1,1,2,-1,-1,0.65,0.15,0.55,0.55,0.190,0.185706,0.325203
-1,1,2,-1,-1,0.65,0.05,0.6,0.6,0.195,0.193475,0.310836
-1,1,2,-1,-1,0.65,0.2,0.55,0.55,0.200,0.198932,0.310587
-1,1,2,-1,-1,0.65,0.1,0.6,0.6,0.205,0.202826,0.299035
-1,1,2,-1,-1,0.7,0.15,0.55,0.55,0.210,0.205686,0.297649
-1,1,2,-1,-1,0.75,0.1,0.55,0.55,0.215,0.213814,0.288145
-1,1,2,-1,-1,0.7,0.05,0.6,0.6,0.220,0.217184,0.280922
-1,1,2,-1,-1,0.75,0.15,0.55,0.55,0.225,0.224101,0.273947
