sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR Limit,FAR,FRR
-1,1,2,-1,-1,0.3,0.05,0.1,0.1,0.015,0.014904,0.868491
-1,1,2,-1,-1,0.35,0.05,0.2,0.2,0.020,0.019868,0.8209
-1,1,2,-1,-1,0.35,0.05,0.25,0.25,0.025,0.023406,0.795589
-1,1,2,-1,-1,0.35,0.05,0.3,0.3,0.030,0.029042,0.764474
-1,1,2,-1,-1,0.55,0.05,0.25,0.25,0.035,0.034862,0.740855
-1,1,2,-1,-1,0.45,0.05,0.3,0.3,0.040,0.037674,0.723693
-1,1,2,-1,-1,0.5,0.05,0.3,0.3,0.045,0.043178,0.704894
-1,1,2,-1,-1,0.45,0.05,0.35,0.35,0.050,0.049188,0.685203
-1,1,2,-1,-1,0.6,0.05,0.3,0.3,0.055,0.05189,0.678575
-1,1,2,-1,-1,0.5,0.05,0.35,0.35,0.060,0.057395,0.662037
-1,1,2,-1,-1,0.55,0.05,0.35,0.35,0.065,0.06389,0.645643
-1,1,2,-1,-1,0.45,0.1,0.35,0.35,0.070,0.068243,0.640539
-1,1,2,-1,-1,0.5,0.05,0.4,0.4,0.075,0.074558,0.621561
-1,1,2,-1,-1,0.65,0.05,0.35,0.35,0.080,0.076763,0.613924
-1,1,2,-1,-1,0.7,0.05,0.35,0.35,0.085,0.084852,0.598777
-1,1,2,-1,-1,0.6,0.1,0.35,0.35,0.090,0.089441,0.584942
-1,1,2,-1,-1,0.8,0.1,0.3,0.3,0.095,0.091973,0.581725
-1,1,2,-1,-1,0.65,0.1,0.35,0.35,0.100,0.095818,0.56926
-1,1,2,-1,-1,0.7,0.1,0.35,0.35,0.105,0.103908,0.554114
-1,1,2,-1,-1,0.6,0.15,0.35,0.35,0.110,0.108497,0.549922
-1,1,2,-1,-1,0.65,0.15,0.35,0.35,0.115,0.114874,0.534241
-1,1,2,-1,-1,0.65,0.1,0.4,0.4,0.120,0.119438,0.525803
-1,1,2,-1,-1,0.7,0.15,0.35,0.35,0.125,0.122963,0.519094
-1,1,2,-1,-1,0.75,0.15,0.35,0.35,0.130,0.129872,0.506086
-1,1,2,-1,-1,0.75,0.15,0.35,0.35,0.135,0.129872,0.506086
-1,1,2,-1,-1,0.8,0.15,0.35,0.35,0.140,0.138315,0.492899
-1,1,2,-1,-1,0.85,0.2,0.3,0.3,0.145,0.141004,0.489853
-1,1,2,-1,-1,0.7,0.15,0.4,0.4,0.150,0.148555,0.477317
-1,1,2,-1,-1,0.75,0.2,0.35,0.35,0.155,0.152523,0.468528
-1,1,2,-1,-1,0.75,0.15,0.4,0.4,0.160,0.158211,0.461993
-1,1,2,-1,-1,0.8,0.2,0.35,0.35,0.165,0.160966,0.455341
-1,1,2,-1,-1,0.85,0.2,0.35,0.35,0.170,0.168524,0.443402
-1,1,2,-1,-1,0.7,0.3,0.3,0.3,0.175,0.173393,0.442926
-1,1,2,-1,-1,0.75,0.2,0.4,0.4,0.180,0.179382,0.42913
-1,1,2,-1,-1,0.8,0.25,0.35,0.35,0.185,0.183976,0.421082
-1,1,2,-1,-1,0.85,0.3,0.3,0.3,0.190,0.188757,0.411979
-1,1,2,-1,-1,0.9,0.3,0.3,0.3,0.195,0.194103,0.40417
-1,1,2,-1,-1,0.9,0.25,0.35,0.35,0.200,0.199506,0.39952
-1,1,2,-1,-1,0.95,0.3,0.3,0.3,0.205,0.200597,0.396072
-1,1,2,-1,-1,0.8,0.3,0.35,0.35,0.210,0.206268,0.38657
-1,1,2,-1,-1,0.85,0.3,0.35,0.35,0.215,0.213826,0.374631
-1,1,2,-1,-1,0.85,0.35,0.3,0.3,0.220,0.218697,0.374336
-1,1,2,-1,-1,0.9,0.3,0.35,0.35,0.225,0.221798,0.365008
-1,1,2,-1,-1,0.9,0.3,0.35,0.35,0.230,0.221798,0.365008
-1,1,2,-1,-1,0.8,0.35,0.35,0.35,0.235,0.234672,0.353326
-1,1,2,-1,-1,0.7,0.3,0.45,0.45,0.240,0.239855,0.35127
-1,1,2,-1,-1,0.85,0.3,0.4,0.4,0.245,0.244091,0.339357
-1,1,2,-1,-1,0.85,0.3,0.4,0.4,0.250,0.244091,0.339357
-1,1,2,-1,-1,0.9,0.35,0.35,0.35,0.255,0.250201,0.331764
-1,1,2,-1,-1,0.95,0.35,0.35,0.35,0.260,0.259885,0.321785
-1,1,2,-1,-1,0.95,0.4,0.3,0.3,0.265,0.264645,0.319061
-1,1,2,-1,-1,0.8,0.3,0.45,0.45,0.270,0.26933,0.315008
-1,1,2,-1,-1,0.85,0.4,0.35,0.35,0.275,0.274588,0.306621
-1,1,2,-1,-1,0.85,0.4,0.35,0.35,0.280,0.274588,0.306621
-1,1,2,-1,-1,0.9,0.4,0.35,0.35,0.285,0.282559,0.296998
-1,1,2,-1,-1,0.9,0.4,0.35,0.35,0.290,0.282559,0.296998
-1,1,2,-1,-1,0.95,0.4,0.35,0.35,0.295,0.292243,0.287019
-1,1,2,-1,-1,0.9,0.3,0.45,0.45,0.300,0.299144,0.28516
-1,1,2,-1,-1,0.85,0.4,0.4,0.4,0.305,0.300884,0.279848
-1,1,2,-1,-1,0.85,0.35,0.45,0.45,0.310,0.307953,0.274209
-1,1,2,-1,-1,0.9,0.4,0.4,0.4,0.315,0.312025,0.268512
-1,1,2,-1,-1,0.9,0.4,0.4,0.4,0.320,0.312025,0.268512
-1,1,2,-1,-1,0.9,0.35,0.45,0.45,0.325,0.323257,0.260888
-1,1,2,-1,-1,0.95,0.4,0.4,0.4,0.330,0.325559,0.256757
-1,1,2,-1,-1,0.95,0.4,0.4,0.4,0.335,0.325559,0.256757
-1,1,2,-1,-1,0.85,0.4,0.45,0.45,0.340,0.335422,0.248824
-1,1,2,-1,-1,0.95,0.35,0.45,0.45,0.345,0.341848,0.247074
-1,1,2,-1,-1,0.75,0.3,0.55,0.55,0.350,0.34908,0.246476
-1,1,2,-1,-1,0.9,0.4,0.45,0.45,0.355,0.350726,0.235503
-1,1,2,-1,-1,0.9,0.4,0.45,0.45,0.360,0.350726,0.235503
