sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR Limit,FAR,FRR
-1,1,2,-1,-1,0.8,0.05,0.7,0.7,0.005,0.004847,0.105613
-1,1,2,-1,-1,0.9,0.05,0.75,0.75,0.010,0.009414,0.037551
-1,1,2,-1,-1,0.9,0.35,0.75,0.75,0.015,0.014331,0.024898
-1,1,2,-1,-1,0.95,0.35,0.75,0.75,0.020,0.019171,0.017959
-1,1,2,-1,-1,0.95,0.5,0.75,0.75,0.025,0.024088,0.012041
-1,1,2,-1,-1,0.95,0.55,0.75,0.75,0.030,0.029005,0.010816
-1,1,2,-1,-1,0.95,0.35,0.85,0.85,0.035,0.033552,0.009847
-1,1,2,-1,-1,0.95,0.5,0.85,0.85,0.040,0.037943,0.008368
-1,1,2,-1,-1,0.95,0.55,0.85,0.85,0.045,0.042334,0.008061
-1,1,2,-1,-1,0.95,0.6,0.85,0.85,0.050,0.048189,0.00801
-1,1,2,-1,-1,0.95,0.65,0.85,0.85,0.055,0.05258,0.007806
-1,1,2,-1,-1,0.95,0.05,0.95,0.95,0.060,0.05979,0.007143
-1,1,2,-1,-1,0.95,0.05,0.95,0.95,0.065,0.05979,0.007143
-1,1,2,-1,-1,0.95,0.05,0.95,0.95,0.070,0.05979,0.007143
-1,1,2,-1,-1,0.95,0.05,0.95,0.95,0.075,0.05979,0.007143
-1,1,2,-1,-1,0.95,0.05,0.95,0.95,0.080,0.05979,0.007143
-1,1,2,-1,-1,1.0,0.75,0.65,0.65,0.085,0.08388,0.00551
-1,1,2,-1,-1,1.0,0.75,0.65,0.65,0.090,0.08388,0.00551
-1,1,2,-1,-1,1.0,0.8,0.65,0.65,0.095,0.094154,0.004286
-1,1,2,-1,-1,1.0,0.55,0.75,0.75,0.100,0.098533,0.003877
-1,1,2,-1,-1,1.0,0.9,0.45,0.45,0.105,0.102727,0.003776
-1,1,2,-1,-1,1.0,0.9,0.5,0.5,0.110,0.109193,0.003367
-1,1,2,-1,-1,1.0,0.9,0.55,0.55,0.115,0.114044,0.002347
-1,1,2,-1,-1,1.0,0.9,0.55,0.55,0.120,0.114044,0.002347
-1,1,2,-1,-1,1.0,0.9,0.6,0.6,0.125,0.12051,0.001633
-1,1,2,-1,-1,1.0,0.9,0.6,0.6,0.130,0.12051,0.001633
-1,1,2,-1,-1,1.0,0.9,0.65,0.65,0.135,0.131827,0.001225
-1,1,2,-1,-1,1.0,0.9,0.65,0.65,0.140,0.131827,0.001225
-1,1,2,-1,-1,1.0,0.9,0.65,0.65,0.145,0.131827,0.001225
-1,1,2,-1,-1,1.0,0.9,0.7,0.7,0.150,0.146378,0.00102
-1,1,2,-1,-1,1.0,0.9,0.7,0.7,0.155,0.146378,0.00102
-1,1,2,-1,-1,1.0,0.9,0.7,0.7,0.160,0.146378,0.00102
-1,1,2,-1,-1,1.0,0.9,0.7,0.7,0.165,0.146378,0.00102
-1,1,2,-1,-1,1.0,0.9,0.75,0.75,0.170,0.169012,0.000408
-1,1,2,-1,-1,1.0,0.9,0.75,0.75,0.175,0.169012,0.000408
-1,1,2,-1,-1,1.0,0.9,0.75,0.75,0.180,0.169012,0.000408
-1,1,2,-1,-1,1.0,0.9,0.75,0.75,0.185,0.169012,0.000408
-1,1,2,-1,-1,1.0,0.9,0.75,0.75,0.190,0.169012,0.000408
-1,1,2,-1,-1,1.0,0.9,0.75,0.75,0.195,0.169012,0.000408
-1,1,2,-1,-1,1.0,0.9,0.75,0.75,0.200,0.169012,0.000408
-1,1,2,-1,-1,1.0,0.9,0.75,0.75,0.205,0.169012,0.000408
-1,1,2,-1,-1,1.0,0.9,0.75,0.75,0.210,0.169012,0.000408
-1,1,2,-1,-1,1.0,0.9,0.75,0.75,0.215,0.169012,0.000408
-1,1,2,-1,-1,1.0,0.9,0.8,0.8,0.220,0.215897,0.000306
-1,1,2,-1,-1,1.0,0.95,0.75,0.75,0.225,0.223099,0.000204
-1,1,2,-1,-1,1.0,0.95,0.75,0.75,0.230,0.223099,0.000204
