sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR Limit,FAR,FRR
3,1,2,0.2,0.2,0.6,0.05,0.55,0.25,0.005,0.004854,0.694751
3,1,2,0.2,0.2,0.8,0.05,0.7,0.25,0.010,0.009542,0.616903
3,1,2,0.3,0.3,0.65,0.05,0.6,0.25,0.015,0.013942,0.571661
3,1,2,0.3,0.3,0.9,0.05,0.6,0.25,0.020,0.019904,0.534315
3,1,2,0.3,0.3,0.85,0.05,0.65,0.25,0.025,0.024912,0.513556
3,1,2,0.35,0.35,0.8,0.05,0.6,0.25,0.030,0.029864,0.487583
3,1,2,0.3,0.3,0.8,0.15,0.55,0.25,0.035,0.034309,0.458953
3,1,2,0.3,0.3,0.85,0.15,0.6,0.25,0.040,0.03957,0.424999
3,1,2,0.3,0.3,0.85,0.15,0.65,0.25,0.045,0.044993,0.406813
3,1,2,0.35,0.35,0.8,0.15,0.6,0.25,0.050,0.049769,0.387496
3,1,2,0.35,0.35,0.95,0.15,0.6,0.25,0.055,0.054939,0.376799
3,1,2,0.35,0.35,0.8,0.15,0.65,0.25,0.060,0.058639,0.366213
3,1,2,0.35,0.35,0.85,0.15,0.6,0.3,0.065,0.064189,0.356008
3,1,2,0.35,0.35,0.8,0.15,0.65,0.3,0.070,0.06935,0.340489
3,1,2,0.5,0.5,0.7,0.15,0.6,0.25,0.075,0.073257,0.329478
3,1,2,0.6,0.6,0.7,0.15,0.55,0.25,0.080,0.079871,0.313172
3,1,2,0.65,0.65,0.65,0.15,0.55,0.25,0.085,0.084268,0.305883
3,1,2,0.5,0.5,0.75,0.15,0.6,0.3,0.090,0.089148,0.298586
3,1,2,0.65,0.65,0.7,0.15,0.55,0.25,0.095,0.092325,0.283547
3,1,2,0.6,0.6,0.7,0.15,0.6,0.25,0.100,0.099724,0.261266
3,1,2,0.7,0.7,0.6,0.15,0.6,0.25,0.105,0.104934,0.257211
3,1,2,0.6,0.6,0.7,0.15,0.6,0.3,0.110,0.106644,0.250749
3,1,2,0.65,0.65,0.65,0.15,0.6,0.3,0.115,0.111256,0.24548
3,1,2,0.65,0.65,0.7,0.15,0.6,0.25,0.120,0.116567,0.227161
3,1,2,0.65,0.65,0.7,0.15,0.6,0.3,0.125,0.122894,0.219879
3,1,2,0.7,0.7,0.7,0.15,0.6,0.25,0.130,0.128598,0.204424
3,1,2,0.7,0.7,0.7,0.15,0.6,0.3,0.135,0.134501,0.1993
3,1,2,0.65,0.65,0.8,0.15,0.6,0.25,0.140,0.136265,0.197728
3,1,2,0.7,0.7,0.75,0.15,0.6,0.25,0.145,0.14327,0.186828
3,1,2,0.7,0.7,0.75,0.15,0.6,0.3,0.150,0.149997,0.181529
3,1,2,0.7,0.7,0.8,0.15,0.6,0.25,0.155,0.150843,0.173631
3,1,2,0.7,0.7,0.8,0.15,0.6,0.3,0.160,0.157995,0.1682
3,1,2,0.7,0.7,0.85,0.15,0.6,0.25,0.165,0.163621,0.164833
3,1,2,0.7,0.7,0.9,0.15,0.6,0.25,0.170,0.168354,0.160434
3,1,2,0.7,0.7,0.8,0.2,0.6,0.25,0.175,0.173054,0.159003
3,1,2,0.7,0.7,0.8,0.2,0.6,0.3,0.180,0.179967,0.154097
3,1,2,0.7,0.7,0.75,0.15,0.65,0.25,0.185,0.183746,0.149304
3,1,2,0.7,0.7,0.8,0.2,0.6,0.35,0.190,0.189645,0.149192
3,1,2,0.7,0.7,0.8,0.15,0.65,0.25,0.195,0.193879,0.135177
3,1,2,0.7,0.7,0.8,0.15,0.65,0.25,0.200,0.193879,0.135177
3,1,2,0.7,0.7,0.8,0.15,0.65,0.3,0.205,0.201031,0.129746
3,1,2,0.7,0.7,0.8,0.15,0.65,0.3,0.210,0.201031,0.129746
3,1,2,0.7,0.7,0.8,0.2,0.65,0.25,0.215,0.21465,0.12427
3,1,2,0.7,0.7,0.85,0.15,0.65,0.3,0.220,0.218847,0.12024
3,1,2,0.7,0.7,0.8,0.2,0.65,0.3,0.225,0.221563,0.119365
3,1,2,0.7,0.7,0.85,0.15,0.65,0.35,0.230,0.229865,0.114722
3,1,2,0.7,0.7,0.8,0.15,0.7,0.25,0.235,0.234224,0.110705
3,1,2,0.7,0.7,0.85,0.2,0.65,0.3,0.240,0.239379,0.109859
3,1,2,0.7,0.7,0.8,0.15,0.7,0.3,0.245,0.241376,0.105275
3,1,2,0.7,0.7,0.9,0.2,0.65,0.3,0.250,0.245977,0.105106
3,1,2,0.7,0.7,0.8,0.15,0.7,0.35,0.255,0.251389,0.099844
3,1,2,0.7,0.7,0.8,0.15,0.7,0.35,0.260,0.251389,0.099844
3,1,2,0.7,0.7,0.85,0.15,0.7,0.3,0.265,0.263242,0.095374
3,1,2,0.7,0.7,0.8,0.15,0.7,0.4,0.270,0.269984,0.091489
3,1,2,0.7,0.7,0.85,0.15,0.7,0.35,0.275,0.27426,0.089856
3,1,2,0.7,0.7,0.85,0.15,0.7,0.35,0.280,0.27426,0.089856
3,1,2,0.7,0.7,0.9,0.15,0.7,0.35,0.285,0.28273,0.084862
3,1,2,0.7,0.7,0.8,0.15,0.7,0.45,0.290,0.285719,0.084387
3,1,2,0.7,0.7,0.85,0.15,0.7,0.4,0.295,0.294722,0.081366
3,1,2,0.7,0.7,0.95,0.15,0.7,0.35,0.300,0.296283,0.079868
3,1,2,0.7,0.7,0.9,0.15,0.7,0.4,0.305,0.303883,0.076304
3,1,2,0.7,0.7,0.9,0.15,0.7,0.4,0.310,0.303883,0.076304
3,1,2,0.7,0.7,0.85,0.15,0.7,0.45,0.315,0.312035,0.07415
3,1,2,0.7,0.7,0.95,0.15,0.7,0.4,0.320,0.318542,0.071243
3,1,2,0.7,0.7,0.9,0.15,0.7,0.45,0.325,0.321782,0.069031
3,1,2,0.8,0.8,0.8,0.15,0.7,0.3,0.330,0.327954,0.067809
3,1,2,0.7,0.7,0.9,0.25,0.7,0.35,0.335,0.33299,0.067391
3,1,2,0.7,0.7,0.9,0.2,0.7,0.45,0.340,0.339481,0.063039
3,1,2,0.7,0.7,0.9,0.2,0.7,0.45,0.345,0.339481,0.063039
3,1,2,0.7,0.7,0.95,0.25,0.7,0.35,0.350,0.346543,0.062397
3,1,2,0.8,0.8,0.85,0.15,0.7,0.25,0.355,0.352711,0.059337
3,1,2,0.8,0.8,0.85,0.15,0.7,0.3,0.360,0.35851,0.057304
3,1,2,0.8,0.8,0.9,0.15,0.7,0.25,0.365,0.363832,0.054101
3,1,2,0.8,0.8,0.9,0.15,0.7,0.3,0.370,0.369827,0.052052
3,1,2,0.8,0.8,0.9,0.15,0.7,0.3,0.375,0.369827,0.052052
3,1,2,0.8,0.8,0.9,0.15,0.7,0.35,0.380,0.378219,0.050003
3,1,2,0.8,0.8,0.95,0.15,0.7,0.25,0.385,0.381625,0.048865
3,1,2,0.8,0.8,0.95,0.15,0.7,0.3,0.390,0.387934,0.046799
3,1,2,0.8,0.8,0.9,0.2,0.7,0.35,0.395,0.394258,0.045809
3,1,2,0.8,0.8,0.95,0.2,0.7,0.25,0.400,0.398087,0.044284
3,1,2,0.8,0.8,0.95,0.2,0.7,0.3,0.405,0.404219,0.042412
3,1,2,0.7,0.7,0.95,0.15,0.8,0.45,0.410,0.40821,0.04226
3,1,2,0.8,0.8,0.95,0.2,0.7,0.35,0.415,0.412804,0.04054
3,1,2,0.8,0.8,0.95,0.2,0.7,0.35,0.420,0.412804,0.04054
3,1,2,0.7,0.7,0.95,0.2,0.8,0.45,0.425,0.423929,0.038298
3,1,2,0.8,0.8,0.95,0.2,0.7,0.4,0.430,0.428747,0.037661
3,1,2,0.8,0.8,0.95,0.25,0.7,0.3,0.435,0.431362,0.036562
3,1,2,0.8,0.8,0.95,0.25,0.7,0.35,0.440,0.439535,0.034948
3,1,2,0.85,0.85,0.95,0.2,0.7,0.25,0.445,0.44113,0.034719
3,1,2,0.8,0.8,0.95,0.3,0.7,0.25,0.450,0.449301,0.033595
3,1,2,0.8,0.8,0.95,0.3,0.7,0.3,0.455,0.454885,0.032175
3,1,2,0.8,0.8,0.9,0.15,0.8,0.25,0.460,0.459406,0.030997
3,1,2,0.8,0.8,0.95,0.3,0.7,0.35,0.465,0.462702,0.030755
3,1,2,0.8,0.8,0.9,0.15,0.8,0.3,0.470,0.465401,0.028947
3,1,2,0.8,0.8,0.9,0.15,0.8,0.35,0.475,0.473794,0.026898
3,1,2,0.8,0.8,0.9,0.2,0.8,0.3,0.480,0.478876,0.026743
3,1,2,0.8,0.8,0.95,0.15,0.8,0.25,0.485,0.482197,0.025579
3,1,2,0.8,0.8,0.95,0.15,0.8,0.3,0.490,0.488506,0.023513
3,1,2,0.8,0.8,0.95,0.15,0.8,0.3,0.495,0.488506,0.023513
3,1,2,0.8,0.8,0.95,0.15,0.8,0.35,0.500,0.497337,0.021448
3,1,2,0.8,0.8,0.9,0.15,0.8,0.45,0.505,0.502569,0.021066
3,1,2,0.8,0.8,0.95,0.1,0.8,0.4,0.510,0.509482,0.02084
3,1,2,0.8,0.8,0.95,0.15,0.8,0.4,0.515,0.513738,0.01827
3,1,2,0.8,0.8,0.95,0.15,0.8,0.4,0.520,0.513738,0.01827
3,1,2,0.8,0.8,0.95,0.1,0.8,0.45,0.525,0.52349,0.017759
3,1,2,0.8,0.8,0.95,0.15,0.8,0.45,0.530,0.527617,0.01557
3,1,2,0.8,0.8,0.95,0.15,0.8,0.45,0.535,0.527617,0.01557
3,1,2,0.8,0.8,0.95,0.2,0.8,0.45,0.540,0.539998,0.01411
3,1,2,0.85,0.85,0.95,0.15,0.8,0.3,0.545,0.54428,0.013436
3,1,2,0.85,0.85,0.95,0.15,0.8,0.3,0.550,0.54428,0.013436
3,1,2,0.85,0.85,0.95,0.15,0.8,0.35,0.555,0.551793,0.012256
3,1,2,0.85,0.85,0.95,0.2,0.8,0.3,0.560,0.556196,0.012176
3,1,2,0.85,0.85,0.95,0.2,0.8,0.35,0.565,0.563499,0.011107
3,1,2,0.85,0.85,0.95,0.15,0.8,0.4,0.570,0.565745,0.01044
3,1,2,0.85,0.85,0.95,0.1,0.8,0.45,0.575,0.573889,0.010148
3,1,2,0.85,0.85,0.95,0.15,0.8,0.45,0.580,0.57755,0.008897
3,1,2,0.85,0.85,0.95,0.15,0.8,0.45,0.585,0.57755,0.008897
3,1,2,0.85,0.85,0.95,0.2,0.8,0.45,0.590,0.588536,0.008063
3,1,2,0.85,0.85,0.95,0.2,0.8,0.45,0.595,0.588536,0.008063
3,1,2,0.85,0.85,0.95,0.2,0.8,0.45,0.600,0.588536,0.008063
3,1,2,0.85,0.85,0.95,0.1,0.8,0.5,0.605,0.604219,0.007663
3,1,2,0.85,0.85,0.95,0.15,0.8,0.5,0.610,0.607601,0.006718
3,1,2,0.8,0.8,0.95,0.15,0.8,0.55,0.615,0.614671,0.006673
3,1,2,0.85,0.85,0.95,0.2,0.8,0.5,0.620,0.617746,0.006088
3,1,2,0.8,0.8,0.95,0.2,0.8,0.55,0.625,0.624619,0.006047
3,1,2,0.8,0.8,0.95,0.2,0.8,0.55,0.630,0.624619,0.006047
