sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR Limit,FAR,FRR
3,1,2,0.1,0.1,0.5,0.05,0.3,0.05,0.015,0.014918,0.780929
3,1,2,0.1,0.1,0.4,0.05,0.45,0.15,0.020,0.019969,0.723874
3,1,2,0.25,0.25,0.55,0.05,0.35,0.1,0.025,0.024904,0.682736
3,1,2,0.15,0.15,0.55,0.05,0.45,0.1,0.030,0.029981,0.647509
3,1,2,0.25,0.25,0.5,0.05,0.45,0.15,0.035,0.034919,0.616989
3,1,2,0.2,0.2,0.65,0.05,0.45,0.1,0.040,0.039977,0.58969
3,1,2,0.25,0.25,0.45,0.05,0.55,0.1,0.045,0.044949,0.565583
3,1,2,0.2,0.2,0.5,0.05,0.55,0.15,0.050,0.048566,0.545904
3,1,2,0.25,0.25,0.5,0.05,0.55,0.15,0.055,0.054512,0.523242
3,1,2,0.2,0.2,0.6,0.05,0.55,0.1,0.060,0.059279,0.507123
3,1,2,0.2,0.2,0.65,0.05,0.55,0.1,0.065,0.064988,0.485126
3,1,2,0.2,0.2,0.55,0.05,0.6,0.25,0.070,0.06879,0.470942
3,1,2,0.2,0.2,0.65,0.05,0.6,0.1,0.075,0.074886,0.451605
3,1,2,0.25,0.25,0.6,0.05,0.6,0.15,0.080,0.079714,0.437415
3,1,2,0.2,0.2,0.65,0.05,0.6,0.25,0.085,0.084871,0.418339
3,1,2,0.2,0.2,0.7,0.05,0.6,0.2,0.090,0.089576,0.407122
3,1,2,0.25,0.25,0.65,0.05,0.6,0.25,0.095,0.094799,0.393554
3,1,2,0.25,0.25,0.65,0.05,0.65,0.15,0.100,0.099311,0.385822
3,1,2,0.2,0.2,0.75,0.05,0.6,0.25,0.105,0.103324,0.373064
3,1,2,0.35,0.35,0.65,0.05,0.6,0.25,0.110,0.10886,0.364587
3,1,2,0.35,0.35,0.7,0.05,0.6,0.15,0.115,0.114832,0.349651
3,1,2,0.25,0.25,0.7,0.05,0.65,0.25,0.120,0.118656,0.341038
3,1,2,0.2,0.2,0.75,0.05,0.65,0.3,0.125,0.124536,0.330948
3,1,2,0.35,0.35,0.75,0.05,0.6,0.2,0.130,0.129079,0.320965
3,1,2,0.35,0.35,0.75,0.05,0.6,0.25,0.135,0.1333,0.314126
3,1,2,0.35,0.35,0.8,0.05,0.6,0.15,0.140,0.13771,0.3043
3,1,2,0.25,0.25,0.8,0.05,0.65,0.25,0.145,0.142376,0.294961
3,1,2,0.35,0.35,0.85,0.05,0.6,0.15,0.150,0.149508,0.284334
3,1,2,0.25,0.25,0.85,0.05,0.65,0.25,0.155,0.154609,0.274676
3,1,2,0.25,0.25,0.9,0.05,0.65,0.2,0.160,0.159972,0.269217
3,1,2,0.25,0.25,0.85,0.05,0.65,0.3,0.165,0.164466,0.261249
3,1,2,0.45,0.45,0.85,0.05,0.6,0.15,0.170,0.169998,0.255459
3,1,2,0.35,0.35,0.85,0.05,0.65,0.2,0.175,0.174333,0.245178
3,1,2,0.35,0.35,0.85,0.05,0.65,0.25,0.180,0.179423,0.237821
3,1,2,0.35,0.35,0.9,0.05,0.65,0.15,0.185,0.183508,0.233747
3,1,2,0.35,0.35,0.9,0.05,0.65,0.2,0.190,0.187737,0.227258
3,1,2,0.35,0.35,0.9,0.05,0.65,0.25,0.195,0.193244,0.219696
3,1,2,0.35,0.35,0.85,0.05,0.7,0.25,0.200,0.19973,0.212922
3,1,2,0.35,0.35,0.9,0.05,0.65,0.3,0.205,0.20239,0.210728
3,1,2,0.35,0.35,0.9,0.05,0.7,0.2,0.210,0.20971,0.201666
3,1,2,0.35,0.35,0.9,0.1,0.65,0.3,0.215,0.214696,0.196831
3,1,2,0.45,0.45,0.9,0.1,0.65,0.1,0.220,0.2189,0.192519
3,1,2,0.35,0.35,0.9,0.05,0.7,0.3,0.225,0.224363,0.185135
3,1,2,0.45,0.45,0.9,0.1,0.65,0.25,0.230,0.229382,0.181084
3,1,2,0.45,0.45,0.9,0.05,0.7,0.15,0.235,0.234634,0.175098
3,1,2,0.45,0.45,0.9,0.05,0.7,0.2,0.240,0.238228,0.17104
3,1,2,0.35,0.35,0.9,0.1,0.75,0.25,0.245,0.243852,0.165221
3,1,2,0.35,0.35,0.9,0.05,0.8,0.25,0.250,0.249921,0.157892
3,1,2,0.45,0.45,0.9,0.05,0.75,0.15,0.255,0.254483,0.155819
3,1,2,0.35,0.35,0.9,0.05,0.8,0.3,0.260,0.259067,0.148924
3,1,2,0.45,0.45,0.9,0.05,0.75,0.25,0.265,0.262758,0.147032
3,1,2,0.35,0.35,0.9,0.1,0.8,0.3,0.270,0.269796,0.140799
3,1,2,0.45,0.45,0.9,0.05,0.8,0.15,0.275,0.274769,0.136828
3,1,2,0.45,0.45,0.9,0.05,0.8,0.2,0.280,0.278364,0.13277
3,1,2,0.45,0.45,0.9,0.05,0.8,0.25,0.285,0.283044,0.128041
3,1,2,0.45,0.45,0.9,0.1,0.8,0.2,0.290,0.288555,0.126153
3,1,2,0.45,0.45,0.9,0.1,0.8,0.25,0.295,0.293106,0.121866
3,1,2,0.5,0.5,0.9,0.05,0.8,0.25,0.300,0.3,0.119086
3,1,2,0.4,0.4,0.95,0.1,0.8,0.25,0.305,0.304959,0.115103
3,1,2,0.45,0.45,0.95,0.05,0.8,0.2,0.310,0.305696,0.112632
3,1,2,0.45,0.45,0.95,0.05,0.8,0.25,0.315,0.310855,0.107776
3,1,2,0.45,0.45,0.95,0.05,0.8,0.3,0.320,0.319423,0.102019
3,1,2,0.45,0.45,0.95,0.1,0.8,0.25,0.325,0.320916,0.101601
3,1,2,0.45,0.45,0.95,0.1,0.8,0.3,0.330,0.329268,0.096367
3,1,2,0.45,0.45,0.95,0.1,0.8,0.3,0.335,0.329268,0.096367
3,1,2,0.45,0.45,0.95,0.1,0.8,0.35,0.340,0.339954,0.091374
3,1,2,0.45,0.45,0.95,0.2,0.8,0.25,0.345,0.343121,0.091106
3,1,2,0.45,0.45,0.95,0.15,0.8,0.35,0.350,0.349193,0.087059
3,1,2,0.55,0.55,0.95,0.1,0.8,0.25,0.355,0.354525,0.084671
3,1,2,0.55,0.55,0.95,0.15,0.8,0.2,0.360,0.359315,0.08349
3,1,2,0.55,0.55,0.95,0.15,0.8,0.25,0.365,0.3634,0.080918
3,1,2,0.6,0.6,0.95,0.05,0.8,0.3,0.370,0.368027,0.079215
3,1,2,0.55,0.55,0.95,0.2,0.8,0.25,0.375,0.374809,0.077055
3,1,2,0.55,0.55,0.95,0.15,0.8,0.35,0.380,0.378866,0.074959
3,1,2,0.6,0.6,0.95,0.15,0.8,0.3,0.385,0.384966,0.072641
3,1,2,0.55,0.55,0.95,0.1,0.85,0.35,0.390,0.389154,0.071234
3,1,2,0.6,0.6,0.95,0.15,0.8,0.35,0.395,0.39283,0.070364
3,1,2,0.55,0.55,0.95,0.2,0.85,0.3,0.400,0.399064,0.068538
3,1,2,0.6,0.6,0.95,0.1,0.85,0.35,0.405,0.404477,0.066135
3,1,2,0.7,0.7,0.95,0.05,0.85,0.2,0.410,0.409004,0.065025
3,1,2,0.8,0.8,0.95,0.05,0.8,0.15,0.415,0.414427,0.063275
3,1,2,0.7,0.7,0.95,0.1,0.85,0.25,0.420,0.419689,0.061456
3,1,2,0.7,0.7,0.95,0.1,0.85,0.3,0.425,0.424839,0.059937
3,1,2,0.8,0.8,0.95,0.15,0.8,0.15,0.430,0.429063,0.059365
3,1,2,0.7,0.7,0.95,0.15,0.85,0.3,0.435,0.431955,0.058256
3,1,2,0.8,0.8,0.95,0.05,0.85,0.15,0.440,0.438327,0.055299
3,1,2,0.8,0.8,0.95,0.1,0.85,0.1,0.445,0.443883,0.054292
3,1,2,0.8,0.8,0.95,0.1,0.85,0.25,0.450,0.449419,0.05299
3,1,2,0.8,0.8,0.95,0.15,0.85,0.2,0.455,0.453577,0.052339
3,1,2,0.8,0.8,0.95,0.15,0.85,0.3,0.460,0.459812,0.051361
3,1,2,0.8,0.8,0.95,0.2,0.85,0.25,0.465,0.464278,0.05076
3,1,2,0.8,0.8,0.95,0.05,0.9,0.25,0.470,0.468606,0.049835
3,1,2,0.8,0.8,0.95,0.1,0.9,0.25,0.475,0.474684,0.04893
3,1,2,0.8,0.8,0.95,0.1,0.9,0.3,0.480,0.478675,0.048351
3,1,2,0.85,0.85,0.95,0.05,0.9,0.2,0.485,0.483571,0.04748
3,1,2,0.85,0.85,0.95,0.1,0.9,0.2,0.490,0.489271,0.046789
3,1,2,0.45,0.45,1.0,0.25,0.8,0.3,0.495,0.492962,0.045297
3,1,2,0.45,0.45,1.0,0.3,0.8,0.25,0.500,0.495005,0.04487
