sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR Limit,FAR,FRR
3,1,2,0.1,0.1,0.6,0.05,0.1,0.05,0.015,0.014932,0.860639
3,1,2,0.1,0.1,0.4,0.05,0.3,0.1,0.020,0.019906,0.793642
3,1,2,0.15,0.15,0.4,0.05,0.35,0.1,0.025,0.024771,0.757242
3,1,2,0.2,0.2,0.45,0.05,0.35,0.1,0.030,0.029943,0.724836
3,1,2,0.15,0.15,0.75,0.05,0.3,0.1,0.035,0.034863,0.703997
3,1,2,0.2,0.2,0.6,0.05,0.35,0.1,0.040,0.039471,0.680029
3,1,2,0.2,0.2,0.55,0.05,0.4,0.1,0.045,0.044991,0.659588
3,1,2,0.15,0.15,0.55,0.05,0.45,0.1,0.050,0.049778,0.643996
3,1,2,0.15,0.15,0.6,0.05,0.45,0.1,0.055,0.054428,0.627849
3,1,2,0.1,0.1,0.45,0.05,0.6,0.2,0.060,0.059135,0.609671
3,1,2,0.2,0.2,0.6,0.05,0.45,0.15,0.065,0.064409,0.595023
3,1,2,0.1,0.1,0.5,0.05,0.6,0.2,0.070,0.069678,0.577937
3,1,2,0.1,0.1,0.5,0.05,0.6,0.25,0.075,0.07475,0.562178
3,1,2,0.1,0.1,0.45,0.05,0.7,0.3,0.080,0.079852,0.554123
3,1,2,0.1,0.1,0.65,0.05,0.55,0.2,0.085,0.084563,0.537224
3,1,2,0.15,0.15,0.5,0.05,0.6,0.25,0.090,0.089659,0.525261
3,1,2,0.1,0.1,0.65,0.05,0.6,0.2,0.095,0.094557,0.512029
3,1,2,0.2,0.2,0.6,0.05,0.55,0.1,0.100,0.099859,0.50306
3,1,2,0.1,0.1,0.7,0.05,0.6,0.2,0.105,0.104948,0.49128
3,1,2,0.2,0.2,0.65,0.05,0.55,0.1,0.110,0.109584,0.479741
3,1,2,0.1,0.1,0.65,0.05,0.6,0.3,0.115,0.113607,0.469461
3,1,2,0.1,0.1,0.65,0.05,0.7,0.25,0.120,0.119914,0.460564
3,1,2,0.15,0.15,0.65,0.05,0.6,0.25,0.125,0.123503,0.448206
3,1,2,0.2,0.2,0.65,0.05,0.6,0.15,0.130,0.12879,0.437515
3,1,2,0.2,0.2,0.65,0.05,0.6,0.2,0.135,0.133359,0.428115
3,1,2,0.2,0.2,0.65,0.05,0.6,0.25,0.140,0.139096,0.417648
3,1,2,0.2,0.2,0.7,0.05,0.6,0.15,0.145,0.14361,0.412669
3,1,2,0.2,0.2,0.7,0.05,0.6,0.2,0.150,0.14877,0.402752
3,1,2,0.2,0.2,0.65,0.05,0.65,0.25,0.155,0.153767,0.393471
3,1,2,0.2,0.2,0.75,0.1,0.55,0.2,0.160,0.159095,0.390563
3,1,2,0.2,0.2,0.7,0.1,0.6,0.2,0.165,0.164993,0.379242
3,1,2,0.2,0.2,0.75,0.05,0.6,0.25,0.170,0.169045,0.369434
3,1,2,0.2,0.2,0.75,0.05,0.65,0.15,0.175,0.174455,0.364683
3,1,2,0.2,0.2,0.75,0.1,0.6,0.2,0.180,0.178154,0.35746
3,1,2,0.2,0.2,0.75,0.1,0.6,0.25,0.185,0.184981,0.347115
3,1,2,0.2,0.2,0.75,0.05,0.65,0.25,0.190,0.187234,0.342786
3,1,2,0.2,0.2,0.8,0.1,0.6,0.2,0.195,0.19424,0.335379
3,1,2,0.2,0.2,0.75,0.05,0.65,0.3,0.200,0.198563,0.328605
3,1,2,0.2,0.2,0.75,0.05,0.7,0.25,0.205,0.204833,0.322006
