sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR Limit,FAR,FRR
3,1,2,0.4,0.4,0.9,0.05,0.75,0.45,0.005,0.004788,0.051261
3,1,2,0.45,0.45,0.9,0.05,0.85,0.6,0.010,0.009422,0.024465
3,1,2,0.35,0.35,0.95,0.2,0.85,0.6,0.015,0.014484,0.016709
3,1,2,0.55,0.55,0.95,0.25,0.85,0.6,0.020,0.019394,0.011808
3,1,2,0.45,0.45,0.95,0.5,0.85,0.6,0.025,0.024101,0.009286
3,1,2,0.85,0.85,0.95,0.5,0.85,0.05,0.030,0.029901,0.008368
3,1,2,0.45,0.45,0.95,0.35,0.95,0.75,0.035,0.034703,0.007684
3,1,2,0.45,0.45,0.95,0.5,0.95,0.75,0.040,0.039052,0.007388
3,1,2,0.85,0.85,0.95,0.05,0.95,0.05,0.045,0.041456,0.007143
3,1,2,0.4,0.4,1.0,0.55,0.75,0.45,0.050,0.049611,0.006162
3,1,2,0.45,0.45,1.0,0.55,0.75,0.45,0.055,0.052051,0.005477
3,1,2,0.55,0.55,1.0,0.55,0.75,0.45,0.060,0.057957,0.004791
3,1,2,0.45,0.45,1.0,0.65,0.75,0.45,0.065,0.064115,0.004036
3,1,2,0.45,0.45,1.0,0.7,0.75,0.45,0.070,0.069286,0.003459
3,1,2,0.5,0.5,1.0,0.7,0.75,0.45,0.075,0.072564,0.003315
3,1,2,0.45,0.45,1.0,0.75,0.75,0.45,0.080,0.077904,0.002594
3,1,2,0.55,0.55,1.0,0.75,0.75,0.45,0.085,0.08365,0.00227
3,1,2,0.45,0.45,1.0,0.8,0.75,0.45,0.090,0.088245,0.002018
3,1,2,0.55,0.55,1.0,0.8,0.75,0.45,0.095,0.093926,0.001765
3,1,2,0.45,0.45,1.0,0.55,0.85,0.6,0.100,0.098627,0.001696
3,1,2,0.55,0.55,1.0,0.8,0.75,0.6,0.105,0.104396,0.001551
3,1,2,0.3,0.3,1.0,0.75,0.85,0.6,0.110,0.109486,0.001394
3,1,2,0.35,0.35,1.0,0.75,0.85,0.6,0.115,0.114147,0.001148
3,1,2,0.3,0.3,1.0,0.9,0.75,0.45,0.120,0.11989,0.000865
3,1,2,0.4,0.4,1.0,0.9,0.75,0.45,0.125,0.123914,0.000649
3,1,2,0.5,0.5,1.0,0.9,0.75,0.45,0.130,0.129241,0.000552
3,1,2,0.55,0.55,1.0,0.9,0.75,0.45,0.135,0.131608,0.000504
3,1,2,0.5,0.5,1.0,0.9,0.75,0.6,0.140,0.139911,0.000461
3,1,2,0.75,0.75,1.0,0.9,0.75,0.5,0.145,0.144977,0.000429
3,1,2,0.85,0.85,1.0,0.9,0.75,0.05,0.150,0.145506,0.000408
3,1,2,0.25,0.25,1.0,0.9,0.85,0.6,0.155,0.152657,0.000354
3,1,2,0.45,0.45,1.0,0.9,0.85,0.45,0.160,0.157602,0.000286
3,1,2,0.4,0.4,1.0,0.9,0.85,0.6,0.165,0.164435,0.000211
3,1,2,0.45,0.45,1.0,0.9,0.85,0.6,0.170,0.169098,0.000179
3,1,2,0.45,0.45,1.0,0.9,0.85,0.6,0.175,0.169098,0.000179
3,1,2,0.45,0.45,1.0,0.9,0.85,0.65,0.180,0.176413,0.000158
3,1,2,0.55,0.55,1.0,0.9,0.85,0.6,0.185,0.180386,0.000146
