sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR Limit,FAR,FRR
-1,-1,1,-1,-1,-1,-1,0.05,0.05,0.005,0.000419,0.982289
-1,-1,1,-1,-1,-1,-1,0.1,0.1,0.010,0.005442,0.933909
-1,-1,1,-1,-1,-1,-1,0.1,0.1,0.015,0.005442,0.933909
-1,-1,1,-1,-1,-1,-1,0.15,0.15,0.020,0.017999,0.877322
-1,-1,1,-1,-1,-1,-1,0.15,0.15,0.025,0.017999,0.877322
-1,-1,1,-1,-1,-1,-1,0.15,0.15,0.030,0.017999,0.877322
-1,-1,1,-1,-1,-1,-1,0.15,0.15,0.035,0.017999,0.877322
-1,-1,1,-1,-1,-1,-1,0.2,0.2,0.040,0.035998,0.816415
-1,-1,1,-1,-1,-1,-1,0.2,0.2,0.045,0.035998,0.816415
-1,-1,1,-1,-1,-1,-1,0.2,0.2,0.050,0.035998,0.816415
-1,-1,1,-1,-1,-1,-1,0.2,0.2,0.055,0.035998,0.816415
-1,-1,1,-1,-1,-1,-1,0.25,0.25,0.060,0.058602,0.748596
-1,-1,1,-1,-1,-1,-1,0.25,0.25,0.065,0.058602,0.748596
-1,-1,1,-1,-1,-1,-1,0.25,0.25,0.070,0.058602,0.748596
-1,-1,1,-1,-1,-1,-1,0.25,0.25,0.075,0.058602,0.748596
-1,-1,1,-1,-1,-1,-1,0.25,0.25,0.080,0.058602,0.748596
-1,-1,1,-1,-1,-1,-1,0.25,0.25,0.085,0.058602,0.748596
-1,-1,1,-1,-1,-1,-1,0.25,0.25,0.090,0.058602,0.748596
-1,-1,1,-1,-1,-1,-1,0.3,0.3,0.095,0.0946,0.665227
-1,-1,1,-1,-1,-1,-1,0.3,0.3,0.100,0.0946,0.665227
-1,-1,1,-1,-1,-1,-1,0.3,0.3,0.105,0.0946,0.665227
-1,-1,1,-1,-1,-1,-1,0.3,0.3,0.110,0.0946,0.665227
-1,-1,1,-1,-1,-1,-1,0.3,0.3,0.115,0.0946,0.665227
-1,-1,1,-1,-1,-1,-1,0.3,0.3,0.120,0.0946,0.665227
-1,-1,1,-1,-1,-1,-1,0.3,0.3,0.125,0.0946,0.665227
-1,-1,1,-1,-1,-1,-1,0.3,0.3,0.130,0.0946,0.665227
-1,-1,1,-1,-1,-1,-1,0.3,0.3,0.135,0.0946,0.665227
-1,-1,1,-1,-1,-1,-1,0.3,0.3,0.140,0.0946,0.665227
-1,-1,1,-1,-1,-1,-1,0.35,0.35,0.145,0.141063,0.587473
