sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR Limit,FAR,FRR
2,-1,1,0.05,0.05,-1,-1,0.8,0.25,0.000,0.0,0.879087
2,-1,1,0.2,0.2,-1,-1,0.6,0.25,0.005,0.004914,0.696944
2,-1,1,0.2,0.2,-1,-1,0.75,0.25,0.010,0.009516,0.66513
2,-1,1,0.3,0.3,-1,-1,0.55,0.25,0.015,0.013625,0.626562
2,-1,1,0.3,0.3,-1,-1,0.6,0.25,0.020,0.018426,0.584522
2,-1,1,0.3,0.3,-1,-1,0.65,0.25,0.025,0.024654,0.558831
2,-1,1,0.3,0.3,-1,-1,0.65,0.25,0.030,0.024654,0.558831
2,-1,1,0.35,0.35,-1,-1,0.6,0.25,0.035,0.033166,0.523986
2,-1,1,0.3,0.3,-1,-1,0.65,0.3,0.040,0.038711,0.51616
2,-1,1,0.35,0.35,-1,-1,0.65,0.25,0.045,0.044377,0.493435
2,-1,1,0.35,0.35,-1,-1,0.6,0.3,0.050,0.046704,0.48706
2,-1,1,0.35,0.35,-1,-1,0.7,0.25,0.055,0.054888,0.473993
2,-1,1,0.35,0.35,-1,-1,0.65,0.3,0.060,0.057915,0.456508
2,-1,1,0.4,0.4,-1,-1,0.6,0.3,0.065,0.062111,0.45575
2,-1,1,0.35,0.35,-1,-1,0.7,0.3,0.070,0.068426,0.437066
2,-1,1,0.55,0.55,-1,-1,0.55,0.25,0.075,0.073573,0.435014
2,-1,1,0.5,0.5,-1,-1,0.6,0.25,0.080,0.076159,0.40724
2,-1,1,0.5,0.5,-1,-1,0.6,0.25,0.085,0.076159,0.40724
2,-1,1,0.5,0.5,-1,-1,0.6,0.3,0.090,0.088184,0.381391
2,-1,1,0.45,0.45,-1,-1,0.6,0.35,0.095,0.094896,0.380065
2,-1,1,0.55,0.55,-1,-1,0.6,0.25,0.100,0.099498,0.364
2,-1,1,0.55,0.55,-1,-1,0.6,0.25,0.105,0.099498,0.364
2,-1,1,0.65,0.65,-1,-1,0.55,0.25,0.110,0.105363,0.337362
2,-1,1,0.65,0.65,-1,-1,0.55,0.25,0.115,0.105363,0.337362
2,-1,1,0.6,0.6,-1,-1,0.6,0.25,0.120,0.116696,0.303465
2,-1,1,0.6,0.6,-1,-1,0.6,0.25,0.125,0.116696,0.303465
2,-1,1,0.6,0.6,-1,-1,0.6,0.3,0.130,0.127293,0.287463
2,-1,1,0.6,0.6,-1,-1,0.6,0.3,0.135,0.127293,0.287463
2,-1,1,0.6,0.6,-1,-1,0.6,0.3,0.140,0.127293,0.287463
2,-1,1,0.65,0.65,-1,-1,0.6,0.25,0.145,0.142491,0.251577
