sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR Limit,FAR,FRR
2,-1,1,0.2,0.2,-1,-1,0.15,0.05,0.005,0.004707,0.907852
2,-1,1,0.1,0.1,-1,-1,0.25,0.05,0.010,0.00935,0.856098
2,-1,1,0.15,0.15,-1,-1,0.25,0.05,0.015,0.012556,0.831057
2,-1,1,0.25,0.25,-1,-1,0.25,0.1,0.020,0.019825,0.789583
2,-1,1,0.2,0.2,-1,-1,0.3,0.05,0.025,0.024834,0.752065
2,-1,1,0.25,0.25,-1,-1,0.3,0.05,0.030,0.029096,0.733048
2,-1,1,0.15,0.15,-1,-1,0.35,0.1,0.035,0.033584,0.709751
2,-1,1,0.2,0.2,-1,-1,0.35,0.1,0.040,0.0397,0.682257
2,-1,1,0.25,0.25,-1,-1,0.35,0.05,0.045,0.043737,0.670375
2,-1,1,0.3,0.3,-1,-1,0.35,0.05,0.050,0.04873,0.656693
2,-1,1,0.1,0.1,-1,-1,0.45,0.15,0.055,0.054454,0.632844
2,-1,1,0.2,0.2,-1,-1,0.4,0.1,0.060,0.05511,0.62604
2,-1,1,0.25,0.25,-1,-1,0.4,0.1,0.065,0.063997,0.600352
2,-1,1,0.15,0.15,-1,-1,0.45,0.15,0.070,0.069122,0.58367
2,-1,1,0.2,0.2,-1,-1,0.45,0.1,0.075,0.074713,0.56255
2,-1,1,0.2,0.2,-1,-1,0.45,0.1,0.080,0.074713,0.56255
2,-1,1,0.25,0.25,-1,-1,0.45,0.05,0.085,0.084833,0.54079
2,-1,1,0.25,0.25,-1,-1,0.45,0.1,0.090,0.087005,0.531624
2,-1,1,0.1,0.1,-1,-1,0.55,0.15,0.095,0.093845,0.518493
2,-1,1,0.3,0.3,-1,-1,0.45,0.1,0.100,0.096553,0.513842
2,-1,1,0.1,0.1,-1,-1,0.55,0.2,0.105,0.104161,0.491567
2,-1,1,0.1,0.1,-1,-1,0.6,0.15,0.110,0.109435,0.481835
2,-1,1,0.2,0.2,-1,-1,0.5,0.1,0.115,0.1135,0.472211
2,-1,1,0.1,0.1,-1,-1,0.6,0.2,0.120,0.11975,0.454908
2,-1,1,0.15,0.15,-1,-1,0.55,0.15,0.125,0.122476,0.446671
