sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR Limit,FAR,FRR
2,-1,1,0.9,0.9,-1,-1,0.1,0.05,0.005,0.004973,0.934014
2,-1,1,0.1,0.1,-1,-1,0.2,0.05,0.010,0.009906,0.886347
2,-1,1,0.05,0.05,-1,-1,0.3,0.05,0.015,0.014414,0.862997
2,-1,1,0.1,0.1,-1,-1,0.25,0.1,0.020,0.019617,0.826724
2,-1,1,0.15,0.15,-1,-1,0.25,0.1,0.025,0.024579,0.805751
2,-1,1,0.1,0.1,-1,-1,0.3,0.1,0.030,0.029215,0.778503
2,-1,1,0.15,0.15,-1,-1,0.3,0.05,0.035,0.034323,0.763016
2,-1,1,0.15,0.15,-1,-1,0.3,0.1,0.040,0.037537,0.748095
2,-1,1,0.2,0.2,-1,-1,0.3,0.1,0.045,0.043546,0.72732
2,-1,1,0.25,0.25,-1,-1,0.3,0.1,0.050,0.049816,0.711187
2,-1,1,0.15,0.15,-1,-1,0.35,0.1,0.055,0.054263,0.694322
2,-1,1,0.1,0.1,-1,-1,0.4,0.1,0.060,0.05656,0.691055
2,-1,1,0.2,0.2,-1,-1,0.35,0.1,0.065,0.063403,0.667535
2,-1,1,0.1,0.1,-1,-1,0.4,0.15,0.070,0.065769,0.667198
2,-1,1,0.15,0.15,-1,-1,0.4,0.1,0.075,0.074455,0.643537
2,-1,1,0.25,0.25,-1,-1,0.35,0.15,0.080,0.079248,0.637054
2,-1,1,0.2,0.2,-1,-1,0.4,0.05,0.085,0.084499,0.622253
2,-1,1,0.2,0.2,-1,-1,0.4,0.1,0.090,0.087375,0.611072
2,-1,1,0.2,0.2,-1,-1,0.4,0.15,0.095,0.094565,0.597994
2,-1,1,0.1,0.1,-1,-1,0.45,0.2,0.100,0.098612,0.5923
2,-1,1,0.2,0.2,-1,-1,0.4,0.2,0.105,0.104872,0.583919
2,-1,1,0.15,0.15,-1,-1,0.45,0.15,0.110,0.109012,0.567233
2,-1,1,0.15,0.15,-1,-1,0.45,0.15,0.115,0.109012,0.567233
2,-1,1,0.2,0.2,-1,-1,0.45,0.1,0.120,0.11886,0.545641
2,-1,1,0.1,0.1,-1,-1,0.5,0.15,0.125,0.123137,0.544272
2,-1,1,0.2,0.2,-1,-1,0.45,0.15,0.130,0.126051,0.532564
2,-1,1,0.25,0.25,-1,-1,0.45,0.05,0.135,0.135,0.523596
2,-1,1,0.25,0.25,-1,-1,0.45,0.1,0.140,0.137523,0.515321
2,-1,1,0.25,0.25,-1,-1,0.45,0.15,0.145,0.14383,0.505641
2,-1,1,0.1,0.1,-1,-1,0.55,0.15,0.150,0.145459,0.4983
2,-1,1,0.1,0.1,-1,-1,0.5,0.25,0.155,0.152913,0.490002
2,-1,1,0.1,0.1,-1,-1,0.55,0.2,0.160,0.158659,0.472622
2,-1,1,0.1,0.1,-1,-1,0.55,0.2,0.165,0.158659,0.472622
2,-1,1,0.1,0.1,-1,-1,0.6,0.15,0.170,0.168005,0.460572
2,-1,1,0.15,0.15,-1,-1,0.5,0.2,0.175,0.171462,0.46032
2,-1,1,0.1,0.1,-1,-1,0.55,0.25,0.180,0.175235,0.444029
2,-1,1,0.1,0.1,-1,-1,0.6,0.2,0.185,0.181204,0.434894
2,-1,1,0.1,0.1,-1,-1,0.65,0.15,0.190,0.188652,0.433339
2,-1,1,0.15,0.15,-1,-1,0.55,0.15,0.195,0.19008,0.424137
2,-1,1,0.1,0.1,-1,-1,0.6,0.25,0.200,0.197781,0.406302
2,-1,1,0.15,0.15,-1,-1,0.55,0.2,0.205,0.201599,0.405352
2,-1,1,0.2,0.2,-1,-1,0.5,0.25,0.210,0.209766,0.404834
2,-1,1,0.15,0.15,-1,-1,0.6,0.1,0.215,0.212481,0.39648
2,-1,1,0.1,0.1,-1,-1,0.65,0.25,0.220,0.218429,0.379068
2,-1,1,0.1,0.1,-1,-1,0.6,0.3,0.225,0.224181,0.371154
2,-1,1,0.1,0.1,-1,-1,0.6,0.3,0.230,0.224181,0.371154
2,-1,1,0.2,0.2,-1,-1,0.55,0.2,0.235,0.232601,0.359394
2,-1,1,0.1,0.1,-1,-1,0.7,0.25,0.240,0.238408,0.357831
2,-1,1,0.1,0.1,-1,-1,0.65,0.3,0.245,0.244829,0.34392
2,-1,1,0.15,0.15,-1,-1,0.6,0.25,0.250,0.246504,0.339326
2,-1,1,0.2,0.2,-1,-1,0.6,0.1,0.255,0.251241,0.336394
2,-1,1,0.2,0.2,-1,-1,0.6,0.15,0.260,0.258431,0.323316
2,-1,1,0.1,0.1,-1,-1,0.7,0.3,0.265,0.264807,0.322683
2,-1,1,0.2,0.2,-1,-1,0.6,0.2,0.270,0.268738,0.309241
2,-1,1,0.15,0.15,-1,-1,0.65,0.25,0.275,0.274381,0.306763
2,-1,1,0.15,0.15,-1,-1,0.65,0.25,0.280,0.274381,0.306763
2,-1,1,0.2,0.2,-1,-1,0.6,0.25,0.285,0.281681,0.293568
2,-1,1,0.2,0.2,-1,-1,0.6,0.25,0.290,0.281681,0.293568
