sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR Limit,FAR,FRR
2,3,1,0.05,0.05,0.05,0.05,0.8,0.25,0.000,0.0,0.879087
2,3,1,0.7,0.1,0.15,0.15,0.6,0.25,0.005,0.004986,0.652296
2,3,1,0.75,0.2,0.15,0.15,0.6,0.25,0.010,0.009365,0.557266
2,3,1,0.85,0.2,0.15,0.15,0.65,0.25,0.015,0.014502,0.514954
2,3,1,0.7,0.2,0.25,0.25,0.6,0.25,0.020,0.019596,0.486626
2,3,1,0.85,0.3,0.15,0.15,0.6,0.25,0.025,0.024033,0.463063
2,3,1,0.8,0.3,0.2,0.2,0.6,0.25,0.030,0.028928,0.438431
2,3,1,0.75,0.3,0.25,0.25,0.6,0.25,0.035,0.034958,0.415888
2,3,1,0.7,0.3,0.3,0.3,0.6,0.25,0.040,0.037285,0.398689
2,3,1,0.7,0.25,0.3,0.3,0.65,0.25,0.045,0.044184,0.38348
2,3,1,0.7,0.3,0.3,0.3,0.65,0.25,0.050,0.049888,0.358078
2,3,1,0.7,0.25,0.45,0.45,0.6,0.25,0.055,0.053398,0.342915
2,3,1,0.7,0.3,0.45,0.45,0.6,0.25,0.060,0.056982,0.328486
2,3,1,0.7,0.2,0.45,0.45,0.65,0.25,0.065,0.063056,0.319082
2,3,1,0.7,0.3,0.4,0.4,0.65,0.25,0.070,0.067833,0.304544
2,3,1,0.7,0.25,0.45,0.45,0.65,0.25,0.075,0.071448,0.297826
2,3,1,0.7,0.3,0.45,0.45,0.65,0.25,0.080,0.076244,0.282238
2,3,1,0.7,0.3,0.4,0.4,0.7,0.25,0.085,0.083898,0.276168
2,3,1,0.7,0.3,0.45,0.45,0.65,0.3,0.090,0.088943,0.263862
2,3,1,0.7,0.3,0.45,0.45,0.7,0.25,0.095,0.094301,0.252807
2,3,1,0.7,0.3,0.45,0.45,0.7,0.25,0.100,0.094301,0.252807
2,3,1,0.8,0.3,0.45,0.45,0.65,0.25,0.105,0.100704,0.243189
2,3,1,0.7,0.3,0.45,0.45,0.7,0.3,0.110,0.107001,0.234431
2,3,1,0.8,0.3,0.45,0.45,0.65,0.3,0.115,0.11276,0.228243
2,3,1,0.8,0.35,0.45,0.45,0.65,0.25,0.120,0.115091,0.22335
2,3,1,0.8,0.3,0.45,0.45,0.7,0.25,0.125,0.124555,0.211911
2,3,1,0.8,0.35,0.45,0.45,0.65,0.3,0.130,0.126768,0.210147
2,3,1,0.8,0.35,0.5,0.5,0.65,0.25,0.135,0.134307,0.201569
2,3,1,0.8,0.3,0.45,0.45,0.7,0.3,0.140,0.136611,0.196965
2,3,1,0.8,0.35,0.45,0.45,0.7,0.25,0.145,0.142349,0.191133
2,3,1,0.85,0.3,0.45,0.45,0.7,0.3,0.150,0.148994,0.187599
2,3,1,0.8,0.35,0.45,0.45,0.7,0.3,0.155,0.154026,0.17793
2,3,1,0.8,0.35,0.45,0.45,0.7,0.3,0.160,0.154026,0.17793
2,3,1,0.8,0.3,0.5,0.5,0.7,0.3,0.165,0.161628,0.172542
2,3,1,0.7,0.3,0.6,0.6,0.7,0.3,0.170,0.166736,0.168085
2,3,1,0.8,0.3,0.6,0.6,0.65,0.25,0.175,0.173448,0.164278
2,3,1,0.8,0.35,0.5,0.5,0.7,0.3,0.180,0.177287,0.157032
2,3,1,0.7,0.3,0.65,0.65,0.7,0.3,0.185,0.183028,0.155245
2,3,1,0.8,0.4,0.45,0.45,0.7,0.35,0.190,0.188666,0.154845
2,3,1,0.8,0.35,0.5,0.5,0.7,0.35,0.195,0.192927,0.145742
2,3,1,0.7,0.3,0.65,0.65,0.7,0.35,0.200,0.198493,0.144118
2,3,1,0.8,0.5,0.45,0.45,0.7,0.3,0.205,0.20482,0.14122
2,3,1,0.85,0.35,0.5,0.5,0.7,0.35,0.210,0.208195,0.136547
2,3,1,0.8,0.3,0.6,0.6,0.7,0.25,0.215,0.214528,0.129268
2,3,1,0.8,0.3,0.6,0.6,0.7,0.25,0.220,0.214528,0.129268
2,3,1,0.8,0.3,0.6,0.6,0.7,0.3,0.225,0.224669,0.121253
2,3,1,0.8,0.35,0.6,0.6,0.7,0.25,0.230,0.226008,0.120418
2,3,1,0.8,0.35,0.6,0.6,0.7,0.25,0.235,0.226008,0.120418
2,3,1,0.8,0.35,0.6,0.6,0.7,0.3,0.240,0.235905,0.113146
2,3,1,0.8,0.35,0.6,0.6,0.7,0.3,0.245,0.235905,0.113146
2,3,1,0.8,0.35,0.6,0.6,0.7,0.35,0.250,0.249761,0.105873
2,3,1,0.8,0.35,0.6,0.6,0.7,0.35,0.255,0.249761,0.105873
2,3,1,0.8,0.35,0.65,0.65,0.7,0.3,0.260,0.258235,0.100607
2,3,1,0.8,0.3,0.65,0.65,0.7,0.35,0.265,0.262152,0.099927
2,3,1,0.8,0.4,0.65,0.65,0.7,0.3,0.270,0.268581,0.097183
2,3,1,0.8,0.3,0.7,0.7,0.7,0.3,0.275,0.274703,0.091946
2,3,1,0.8,0.3,0.7,0.7,0.7,0.3,0.280,0.274703,0.091946
2,3,1,0.8,0.35,0.7,0.7,0.7,0.3,0.285,0.282427,0.088068
2,3,1,0.8,0.3,0.7,0.7,0.7,0.35,0.290,0.287378,0.086614
2,3,1,0.8,0.35,0.7,0.7,0.7,0.35,0.295,0.294867,0.083092
2,3,1,0.9,0.7,0.3,0.3,0.7,0.25,0.300,0.298055,0.082134
