sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR Limit,FAR,FRR
2,3,1,0.45,0.05,0.35,0.35,0.2,0.05,0.005,0.004957,0.880304
2,3,1,0.5,0.05,0.45,0.45,0.25,0.05,0.010,0.00989,0.817942
2,3,1,0.3,0.05,0.5,0.5,0.3,0.05,0.015,0.014995,0.77015
2,3,1,0.35,0.05,0.4,0.4,0.35,0.05,0.020,0.019821,0.73085
2,3,1,0.4,0.05,0.5,0.5,0.35,0.05,0.025,0.024803,0.700502
2,3,1,0.4,0.05,0.35,0.35,0.4,0.1,0.030,0.029941,0.673999
2,3,1,0.4,0.05,0.45,0.45,0.4,0.1,0.035,0.034725,0.645694
2,3,1,0.4,0.05,0.4,0.4,0.45,0.05,0.040,0.039848,0.618498
2,3,1,0.35,0.05,0.45,0.45,0.45,0.1,0.045,0.044608,0.594241
2,3,1,0.5,0.05,0.45,0.45,0.45,0.1,0.050,0.049841,0.573994
2,3,1,0.5,0.05,0.5,0.5,0.45,0.1,0.055,0.054881,0.557444
2,3,1,0.4,0.05,0.35,0.35,0.5,0.1,0.060,0.059603,0.54387
2,3,1,0.4,0.05,0.4,0.4,0.5,0.1,0.065,0.064103,0.522403
2,3,1,0.4,0.05,0.45,0.45,0.5,0.1,0.070,0.069849,0.501578
2,3,1,0.45,0.05,0.35,0.35,0.55,0.1,0.075,0.074517,0.481903
2,3,1,0.4,0.05,0.4,0.4,0.55,0.1,0.080,0.078148,0.466014
2,3,1,0.3,0.05,0.5,0.5,0.55,0.1,0.085,0.084878,0.45046
2,3,1,0.45,0.05,0.45,0.45,0.55,0.1,0.090,0.088199,0.431719
2,3,1,0.45,0.05,0.4,0.4,0.6,0.1,0.095,0.094962,0.411623
2,3,1,0.4,0.05,0.4,0.4,0.6,0.15,0.100,0.099529,0.402818
2,3,1,0.45,0.05,0.45,0.45,0.6,0.1,0.105,0.104081,0.38461
2,3,1,0.5,0.05,0.45,0.45,0.6,0.1,0.110,0.108103,0.37741
2,3,1,0.45,0.05,0.5,0.5,0.6,0.1,0.115,0.114603,0.359764
2,3,1,0.45,0.05,0.45,0.45,0.65,0.1,0.120,0.119767,0.35142
2,3,1,0.45,0.05,0.55,0.55,0.6,0.1,0.125,0.123978,0.341922
2,3,1,0.5,0.05,0.55,0.55,0.6,0.1,0.130,0.129732,0.333592
2,3,1,0.4,0.05,0.5,0.5,0.65,0.15,0.135,0.133973,0.322813
2,3,1,0.45,0.05,0.5,0.5,0.65,0.15,0.140,0.138892,0.310267
2,3,1,0.5,0.05,0.5,0.5,0.65,0.15,0.145,0.144507,0.302501
2,3,1,0.45,0.05,0.55,0.55,0.65,0.15,0.150,0.149551,0.292632
2,3,1,0.5,0.05,0.5,0.5,0.65,0.2,0.155,0.154336,0.287383
2,3,1,0.45,0.05,0.6,0.6,0.65,0.15,0.160,0.159921,0.275657
2,3,1,0.45,0.05,0.65,0.65,0.65,0.1,0.165,0.163286,0.270639
2,3,1,0.45,0.05,0.65,0.65,0.65,0.15,0.170,0.16971,0.259505
2,3,1,0.55,0.05,0.6,0.6,0.65,0.15,0.175,0.173659,0.25807
2,3,1,0.45,0.05,0.65,0.65,0.65,0.2,0.180,0.178917,0.247694
2,3,1,0.45,0.05,0.65,0.65,0.7,0.1,0.185,0.184237,0.24201
2,3,1,0.45,0.05,0.6,0.6,0.7,0.2,0.190,0.189011,0.234718
2,3,1,0.45,0.05,0.6,0.6,0.75,0.15,0.195,0.194904,0.227896
2,3,1,0.45,0.05,0.65,0.65,0.7,0.2,0.200,0.199868,0.219065
2,3,1,0.45,0.05,0.6,0.6,0.75,0.2,0.205,0.204353,0.214842
2,3,1,0.5,0.05,0.65,0.65,0.7,0.2,0.210,0.209072,0.210237
2,3,1,0.45,0.05,0.7,0.7,0.7,0.2,0.215,0.213218,0.204211
2,3,1,0.45,0.05,0.55,0.55,0.8,0.25,0.220,0.21898,0.196084
2,3,1,0.45,0.05,0.65,0.65,0.8,0.15,0.225,0.22375,0.190368
2,3,1,0.45,0.05,0.65,0.65,0.75,0.25,0.230,0.228224,0.184892
2,3,1,0.45,0.05,0.65,0.65,0.8,0.2,0.235,0.232957,0.178557
2,3,1,0.45,0.05,0.7,0.7,0.8,0.15,0.240,0.23994,0.173337
2,3,1,0.45,0.05,0.65,0.65,0.8,0.25,0.245,0.244948,0.164791
2,3,1,0.45,0.05,0.7,0.7,0.8,0.2,0.250,0.24885,0.162705
2,3,1,0.45,0.05,0.75,0.75,0.8,0.15,0.255,0.254861,0.158685
2,3,1,0.5,0.05,0.65,0.65,0.8,0.25,0.260,0.255639,0.156185
