sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR Limit,FAR,FRR
2,3,1,0.45,0.05,0.4,0.4,0.15,0.05,0.005,0.004958,0.910692
2,3,1,0.35,0.05,0.45,0.45,0.2,0.05,0.010,0.009862,0.867765
2,3,1,0.55,0.05,0.35,0.35,0.25,0.05,0.015,0.014971,0.827797
2,3,1,0.2,0.05,0.4,0.4,0.3,0.05,0.020,0.019887,0.795398
2,3,1,0.45,0.05,0.4,0.4,0.3,0.05,0.025,0.024736,0.766023
2,3,1,0.35,0.05,0.3,0.3,0.35,0.05,0.030,0.029953,0.746238
2,3,1,0.3,0.05,0.35,0.35,0.35,0.1,0.035,0.03499,0.722115
2,3,1,0.4,0.05,0.4,0.4,0.35,0.1,0.040,0.0395,0.701508
2,3,1,0.35,0.05,0.5,0.5,0.35,0.1,0.045,0.044955,0.684627
2,3,1,0.4,0.05,0.4,0.4,0.4,0.05,0.050,0.049824,0.66817
2,3,1,0.45,0.05,0.4,0.4,0.4,0.1,0.055,0.05494,0.647518
2,3,1,0.4,0.05,0.45,0.45,0.4,0.1,0.060,0.058637,0.637977
2,3,1,0.25,0.05,0.4,0.4,0.45,0.1,0.065,0.06419,0.619795
2,3,1,0.35,0.05,0.4,0.4,0.45,0.1,0.070,0.069539,0.601673
2,3,1,0.45,0.05,0.4,0.4,0.45,0.1,0.075,0.073962,0.589474
2,3,1,0.4,0.05,0.45,0.45,0.45,0.1,0.080,0.079079,0.577999
2,3,1,0.5,0.05,0.45,0.45,0.45,0.1,0.085,0.084173,0.567563
2,3,1,0.45,0.05,0.5,0.5,0.45,0.1,0.090,0.089555,0.555686
2,3,1,0.3,0.05,0.35,0.35,0.5,0.1,0.095,0.094085,0.547293
2,3,1,0.35,0.05,0.4,0.4,0.5,0.05,0.100,0.0999,0.534382
2,3,1,0.35,0.05,0.4,0.4,0.5,0.1,0.105,0.10371,0.517833
2,3,1,0.35,0.05,0.3,0.3,0.55,0.1,0.110,0.108459,0.508293
2,3,1,0.25,0.05,0.4,0.4,0.55,0.1,0.115,0.114042,0.491085
2,3,1,0.3,0.05,0.4,0.4,0.55,0.1,0.120,0.119821,0.478228
2,3,1,0.35,0.05,0.4,0.4,0.55,0.1,0.125,0.12393,0.465539
2,3,1,0.4,0.05,0.4,0.4,0.55,0.1,0.130,0.128639,0.456355
2,3,1,0.35,0.05,0.4,0.4,0.55,0.15,0.135,0.133454,0.446182
2,3,1,0.3,0.05,0.4,0.4,0.6,0.1,0.140,0.139535,0.436476
2,3,1,0.35,0.05,0.4,0.4,0.6,0.1,0.145,0.144352,0.422624
2,3,1,0.4,0.05,0.4,0.4,0.6,0.1,0.150,0.149872,0.412599
2,3,1,0.35,0.05,0.4,0.4,0.6,0.15,0.155,0.153876,0.403267
2,3,1,0.4,0.05,0.4,0.4,0.6,0.15,0.160,0.159276,0.393972
