sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR Limit,FAR,FRR
-1,2,1,-1,-1,0.95,0.95,0.25,0.05,0.000,0.0,0.904494
-1,2,1,-1,-1,0.15,0.15,0.5,0.25,0.005,0.004429,0.767201
-1,2,1,-1,-1,0.15,0.15,0.6,0.25,0.010,0.009827,0.688296
-1,2,1,-1,-1,0.15,0.15,0.65,0.25,0.015,0.013149,0.670938
-1,2,1,-1,-1,0.15,0.15,0.75,0.25,0.020,0.019031,0.655157
-1,2,1,-1,-1,0.15,0.15,0.6,0.3,0.025,0.024187,0.635778
-1,2,1,-1,-1,0.25,0.25,0.55,0.25,0.030,0.029066,0.611539
-1,2,1,-1,-1,0.2,0.2,0.6,0.3,0.035,0.034853,0.588814
-1,2,1,-1,-1,0.25,0.25,0.6,0.25,0.040,0.039308,0.567226
-1,2,1,-1,-1,0.3,0.3,0.55,0.25,0.045,0.040874,0.566469
-1,2,1,-1,-1,0.2,0.2,0.7,0.3,0.050,0.04853,0.553592
-1,2,1,-1,-1,0.25,0.25,0.6,0.3,0.055,0.05263,0.526196
-1,2,1,-1,-1,0.3,0.3,0.6,0.25,0.060,0.055277,0.515339
-1,2,1,-1,-1,0.35,0.35,0.55,0.3,0.065,0.064014,0.506944
-1,2,1,-1,-1,0.4,0.4,0.55,0.25,0.070,0.06994,0.476329
-1,2,1,-1,-1,0.4,0.4,0.55,0.25,0.075,0.06994,0.476329
-1,2,1,-1,-1,0.4,0.4,0.55,0.25,0.080,0.06994,0.476329
-1,2,1,-1,-1,0.45,0.45,0.55,0.25,0.085,0.083564,0.43877
-1,2,1,-1,-1,0.45,0.45,0.55,0.25,0.090,0.083564,0.43877
-1,2,1,-1,-1,0.4,0.4,0.6,0.25,0.095,0.094585,0.411564
-1,2,1,-1,-1,0.4,0.4,0.6,0.25,0.100,0.094585,0.411564
-1,2,1,-1,-1,0.4,0.4,0.6,0.25,0.105,0.094585,0.411564
-1,2,1,-1,-1,0.4,0.4,0.6,0.3,0.110,0.10596,0.385305
-1,2,1,-1,-1,0.45,0.45,0.6,0.25,0.115,0.11301,0.368324
-1,2,1,-1,-1,0.45,0.45,0.6,0.25,0.120,0.11301,0.368324
-1,2,1,-1,-1,0.45,0.45,0.6,0.3,0.125,0.123737,0.346168
-1,2,1,-1,-1,0.45,0.45,0.6,0.3,0.130,0.123737,0.346168
-1,2,1,-1,-1,0.45,0.45,0.6,0.3,0.135,0.123737,0.346168
-1,2,1,-1,-1,0.45,0.45,0.6,0.35,0.140,0.138754,0.324012
-1,2,1,-1,-1,0.45,0.45,0.6,0.35,0.145,0.138754,0.324012
-1,2,1,-1,-1,0.45,0.45,0.6,0.35,0.150,0.138754,0.324012
-1,2,1,-1,-1,0.5,0.5,0.6,0.3,0.155,0.153365,0.307032
-1,2,1,-1,-1,0.5,0.5,0.6,0.3,0.160,0.153365,0.307032
-1,2,1,-1,-1,0.45,0.45,0.65,0.3,0.165,0.161938,0.303119
-1,2,1,-1,-1,0.5,0.5,0.6,0.35,0.170,0.166869,0.288978
-1,2,1,-1,-1,0.5,0.5,0.6,0.35,0.175,0.166869,0.288978
-1,2,1,-1,-1,0.45,0.45,0.65,0.35,0.180,0.176955,0.280962
-1,2,1,-1,-1,0.4,0.4,0.65,0.4,0.185,0.183434,0.279069
-1,2,1,-1,-1,0.4,0.4,0.65,0.4,0.190,0.183434,0.279069
-1,2,1,-1,-1,0.45,0.45,0.6,0.45,0.195,0.190242,0.260952
-1,2,1,-1,-1,0.45,0.45,0.6,0.45,0.200,0.190242,0.260952
-1,2,1,-1,-1,0.45,0.45,0.65,0.4,0.205,0.204844,0.246876
-1,2,1,-1,-1,0.4,0.4,0.65,0.45,0.210,0.20846,0.24473
-1,2,1,-1,-1,0.5,0.5,0.6,0.45,0.215,0.213166,0.237596
-1,2,1,-1,-1,0.5,0.5,0.6,0.45,0.220,0.213166,0.237596
-1,2,1,-1,-1,0.6,0.6,0.6,0.25,0.225,0.221107,0.234281
-1,2,1,-1,-1,0.45,0.45,0.65,0.45,0.230,0.228443,0.217902
-1,2,1,-1,-1,0.45,0.45,0.65,0.45,0.235,0.228443,0.217902
-1,2,1,-1,-1,0.6,0.6,0.6,0.35,0.240,0.237716,0.215408
-1,2,1,-1,-1,0.5,0.5,0.65,0.4,0.245,0.240528,0.214683
-1,2,1,-1,-1,0.5,0.5,0.65,0.4,0.250,0.240528,0.214683
-1,2,1,-1,-1,0.65,0.65,0.6,0.25,0.255,0.250588,0.208338
-1,2,1,-1,-1,0.6,0.6,0.6,0.4,0.260,0.255709,0.200889
-1,2,1,-1,-1,0.45,0.45,0.7,0.45,0.265,0.264256,0.190507
-1,2,1,-1,-1,0.45,0.45,0.7,0.45,0.270,0.264256,0.190507
-1,2,1,-1,-1,0.6,0.6,0.6,0.45,0.275,0.270934,0.188549
-1,2,1,-1,-1,0.65,0.65,0.6,0.4,0.280,0.28,0.183657
-1,2,1,-1,-1,0.7,0.7,0.6,0.25,0.285,0.282526,0.182395
-1,2,1,-1,-1,0.45,0.45,0.65,0.5,0.290,0.288512,0.176998
-1,2,1,-1,-1,0.7,0.7,0.6,0.35,0.295,0.293945,0.173368
-1,2,1,-1,-1,0.7,0.7,0.6,0.35,0.300,0.293945,0.173368
-1,2,1,-1,-1,0.6,0.6,0.65,0.3,0.305,0.302769,0.171033
-1,2,1,-1,-1,0.5,0.5,0.7,0.45,0.310,0.307292,0.16147
-1,2,1,-1,-1,0.5,0.5,0.7,0.45,0.315,0.307292,0.16147
-1,2,1,-1,-1,0.5,0.5,0.65,0.5,0.320,0.315761,0.157745
