sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR Limit,FAR,FRR
-1,2,1,-1,-1,0.4,0.4,0.2,0.05,0.005,0.004869,0.892624
-1,2,1,-1,-1,0.45,0.45,0.25,0.05,0.010,0.009741,0.839638
-1,2,1,-1,-1,0.2,0.2,0.4,0.1,0.015,0.013968,0.801835
-1,2,1,-1,-1,0.4,0.4,0.35,0.05,0.020,0.019263,0.763917
-1,2,1,-1,-1,0.3,0.3,0.45,0.05,0.025,0.02431,0.738825
-1,2,1,-1,-1,0.3,0.3,0.45,0.1,0.030,0.02754,0.713507
-1,2,1,-1,-1,0.35,0.35,0.45,0.1,0.035,0.033218,0.685481
-1,2,1,-1,-1,0.25,0.25,0.55,0.1,0.040,0.039939,0.663222
-1,2,1,-1,-1,0.2,0.2,0.6,0.15,0.045,0.043899,0.647744
-1,2,1,-1,-1,0.3,0.3,0.55,0.1,0.050,0.048995,0.621805
-1,2,1,-1,-1,0.3,0.3,0.6,0.05,0.055,0.054257,0.617725
-1,2,1,-1,-1,0.35,0.35,0.55,0.1,0.060,0.059838,0.582296
-1,2,1,-1,-1,0.35,0.35,0.55,0.1,0.065,0.059838,0.582296
-1,2,1,-1,-1,0.35,0.35,0.55,0.15,0.070,0.067659,0.553903
-1,2,1,-1,-1,0.4,0.4,0.55,0.1,0.075,0.073184,0.536792
-1,2,1,-1,-1,0.35,0.35,0.6,0.15,0.080,0.078194,0.520823
-1,2,1,-1,-1,0.4,0.4,0.55,0.15,0.085,0.080694,0.511964
-1,2,1,-1,-1,0.35,0.35,0.6,0.2,0.090,0.089404,0.490704
-1,2,1,-1,-1,0.4,0.4,0.6,0.15,0.095,0.093745,0.474645
-1,2,1,-1,-1,0.35,0.35,0.65,0.2,0.100,0.099809,0.467398
-1,2,1,-1,-1,0.4,0.4,0.6,0.2,0.105,0.104509,0.448307
-1,2,1,-1,-1,0.4,0.4,0.6,0.2,0.110,0.104509,0.448307
-1,2,1,-1,-1,0.45,0.45,0.6,0.15,0.115,0.113601,0.42985
-1,2,1,-1,-1,0.4,0.4,0.6,0.25,0.120,0.118528,0.417608
-1,2,1,-1,-1,0.45,0.45,0.6,0.2,0.125,0.123797,0.407181
-1,2,1,-1,-1,0.45,0.45,0.65,0.15,0.130,0.129663,0.40066
-1,2,1,-1,-1,0.4,0.4,0.65,0.25,0.135,0.131418,0.391316
-1,2,1,-1,-1,0.45,0.45,0.65,0.2,0.140,0.13986,0.377991
-1,2,1,-1,-1,0.4,0.4,0.7,0.25,0.145,0.143932,0.371384
-1,2,1,-1,-1,0.5,0.5,0.6,0.2,0.150,0.146051,0.369354
-1,2,1,-1,-1,0.45,0.45,0.65,0.25,0.155,0.153138,0.351568
-1,2,1,-1,-1,0.5,0.5,0.6,0.25,0.160,0.158475,0.346864
-1,2,1,-1,-1,0.4,0.4,0.8,0.25,0.165,0.163697,0.343182
-1,2,1,-1,-1,0.45,0.45,0.7,0.25,0.170,0.168732,0.329439
-1,2,1,-1,-1,0.45,0.45,0.7,0.25,0.175,0.168732,0.329439
-1,2,1,-1,-1,0.5,0.5,0.65,0.25,0.180,0.178198,0.315009
-1,2,1,-1,-1,0.5,0.5,0.7,0.2,0.185,0.184923,0.31335
-1,2,1,-1,-1,0.4,0.4,0.8,0.3,0.190,0.186978,0.306779
-1,2,1,-1,-1,0.45,0.45,0.7,0.3,0.195,0.190784,0.298107
-1,2,1,-1,-1,0.5,0.5,0.65,0.3,0.200,0.198831,0.28834
-1,2,1,-1,-1,0.45,0.45,0.75,0.3,0.205,0.202965,0.282335
-1,2,1,-1,-1,0.45,0.45,0.75,0.3,0.210,0.202965,0.282335
-1,2,1,-1,-1,0.5,0.5,0.75,0.25,0.215,0.212304,0.273648
-1,2,1,-1,-1,0.5,0.5,0.7,0.3,0.220,0.21798,0.264192
-1,2,1,-1,-1,0.45,0.45,0.85,0.3,0.225,0.224917,0.260913
-1,2,1,-1,-1,0.5,0.5,0.8,0.25,0.230,0.227589,0.256692
-1,2,1,-1,-1,0.5,0.5,0.75,0.3,0.235,0.232937,0.24698
-1,2,1,-1,-1,0.5,0.5,0.75,0.3,0.240,0.232937,0.24698
-1,2,1,-1,-1,0.45,0.45,0.8,0.35,0.245,0.24363,0.23691
-1,2,1,-1,-1,0.5,0.5,0.8,0.3,0.250,0.248222,0.230024
