sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR Limit,FAR,FRR
-1,2,1,-1,-1,0.05,0.05,0.45,0.05,0.005,0.004267,0.921098
-1,2,1,-1,-1,0.2,0.2,0.25,0.1,0.010,0.009959,0.876434
-1,2,1,-1,-1,0.05,0.05,0.65,0.1,0.015,0.014729,0.842768
-1,2,1,-1,-1,0.3,0.3,0.35,0.05,0.020,0.019788,0.813618
-1,2,1,-1,-1,0.3,0.3,0.35,0.1,0.025,0.024119,0.785907
-1,2,1,-1,-1,0.35,0.35,0.35,0.1,0.030,0.028604,0.766303
-1,2,1,-1,-1,0.4,0.4,0.35,0.1,0.035,0.033713,0.745801
-1,2,1,-1,-1,0.35,0.35,0.4,0.1,0.040,0.038183,0.730775
-1,2,1,-1,-1,0.3,0.3,0.45,0.1,0.045,0.041989,0.71818
-1,2,1,-1,-1,0.35,0.35,0.4,0.15,0.050,0.048596,0.701565
-1,2,1,-1,-1,0.3,0.3,0.45,0.15,0.055,0.052817,0.685768
-1,2,1,-1,-1,0.2,0.2,0.55,0.15,0.060,0.058618,0.674083
-1,2,1,-1,-1,0.45,0.45,0.4,0.15,0.065,0.064944,0.657312
-1,2,1,-1,-1,0.25,0.25,0.6,0.1,0.070,0.06972,0.647571
-1,2,1,-1,-1,0.35,0.35,0.5,0.1,0.075,0.074927,0.627955
-1,2,1,-1,-1,0.25,0.25,0.5,0.2,0.080,0.078055,0.62669
-1,2,1,-1,-1,0.3,0.3,0.55,0.15,0.085,0.08383,0.597372
-1,2,1,-1,-1,0.35,0.35,0.55,0.1,0.090,0.089225,0.589501
-1,2,1,-1,-1,0.35,0.35,0.55,0.1,0.095,0.089225,0.589501
-1,2,1,-1,-1,0.35,0.35,0.55,0.15,0.100,0.099637,0.560291
-1,2,1,-1,-1,0.35,0.35,0.6,0.1,0.105,0.103665,0.557944
-1,2,1,-1,-1,0.4,0.4,0.55,0.1,0.110,0.107706,0.547372
-1,2,1,-1,-1,0.35,0.35,0.6,0.15,0.115,0.114078,0.528734
-1,2,1,-1,-1,0.4,0.4,0.55,0.15,0.120,0.117645,0.521511
-1,2,1,-1,-1,0.3,0.3,0.65,0.2,0.125,0.121659,0.514505
-1,2,1,-1,-1,0.35,0.35,0.6,0.2,0.130,0.129003,0.497294
-1,2,1,-1,-1,0.4,0.4,0.55,0.2,0.135,0.131893,0.493675
-1,2,1,-1,-1,0.4,0.4,0.6,0.15,0.140,0.135271,0.486094
-1,2,1,-1,-1,0.35,0.35,0.65,0.2,0.145,0.142228,0.474515
-1,2,1,-1,-1,0.4,0.4,0.6,0.2,0.150,0.149518,0.458258
-1,2,1,-1,-1,0.4,0.4,0.6,0.2,0.155,0.149518,0.458258
-1,2,1,-1,-1,0.3,0.3,0.75,0.25,0.160,0.158848,0.449269
-1,2,1,-1,-1,0.35,0.35,0.65,0.25,0.165,0.160972,0.439507
-1,2,1,-1,-1,0.4,0.4,0.6,0.25,0.170,0.167411,0.427264
-1,2,1,-1,-1,0.35,0.35,0.7,0.25,0.175,0.173768,0.421743
-1,2,1,-1,-1,0.45,0.45,0.6,0.2,0.180,0.178696,0.416943
-1,2,1,-1,-1,0.4,0.4,0.65,0.25,0.185,0.183553,0.401698
-1,2,1,-1,-1,0.3,0.3,0.75,0.3,0.190,0.189888,0.401517
-1,2,1,-1,-1,0.35,0.35,0.65,0.3,0.195,0.190822,0.396472
-1,2,1,-1,-1,0.4,0.4,0.7,0.25,0.200,0.199172,0.381761
-1,2,1,-1,-1,0.35,0.35,0.7,0.3,0.205,0.203618,0.378708
-1,2,1,-1,-1,0.35,0.35,0.7,0.3,0.210,0.203618,0.378708
-1,2,1,-1,-1,0.4,0.4,0.65,0.3,0.215,0.212047,0.363597
-1,2,1,-1,-1,0.45,0.45,0.65,0.25,0.220,0.215669,0.361682
