sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR Limit,FAR,FRR
-1,2,1,-1,-1,1.0,1.0,0.2,0.05,0.000,0.0,0.742857
-1,2,1,-1,-1,0.8,0.8,0.75,0.2,0.005,0.004547,0.064285
-1,2,1,-1,-1,0.9,0.9,0.75,0.2,0.010,0.007774,0.038775
-1,2,1,-1,-1,0.9,0.9,0.8,0.2,0.015,0.012675,0.031735
-1,2,1,-1,-1,0.9,0.9,0.85,0.2,0.020,0.01707,0.017653
-1,2,1,-1,-1,0.9,0.9,0.85,0.3,0.025,0.023536,0.014694
-1,2,1,-1,-1,0.9,0.9,0.85,0.45,0.030,0.025153,0.010817
-1,2,1,-1,-1,0.9,0.9,0.85,0.5,0.035,0.03162,0.010408
-1,2,1,-1,-1,0.9,0.9,0.95,0.25,0.040,0.0394,0.008776
-1,2,1,-1,-1,0.9,0.9,0.95,0.45,0.045,0.044251,0.003776
-1,2,1,-1,-1,0.9,0.9,0.95,0.45,0.050,0.044251,0.003776
-1,2,1,-1,-1,0.9,0.9,0.95,0.5,0.055,0.050717,0.003367
-1,2,1,-1,-1,0.9,0.9,0.95,0.55,0.060,0.055568,0.002347
-1,2,1,-1,-1,0.9,0.9,0.95,0.6,0.065,0.062034,0.001633
-1,2,1,-1,-1,0.9,0.9,0.95,0.6,0.070,0.062034,0.001633
-1,2,1,-1,-1,0.9,0.9,0.95,0.65,0.075,0.073351,0.001225
-1,2,1,-1,-1,0.95,0.95,0.95,0.55,0.080,0.076824,0.001173
-1,2,1,-1,-1,0.95,0.95,0.95,0.6,0.085,0.082869,0.000816
-1,2,1,-1,-1,0.95,0.95,0.95,0.6,0.090,0.082869,0.000816
-1,2,1,-1,-1,0.95,0.95,0.95,0.65,0.095,0.09345,0.000612
-1,2,1,-1,-1,0.95,0.95,0.95,0.65,0.100,0.09345,0.000612
-1,2,1,-1,-1,0.95,0.95,0.95,0.65,0.105,0.09345,0.000612
-1,2,1,-1,-1,0.95,0.95,0.95,0.7,0.110,0.107054,0.00051
-1,2,1,-1,-1,0.9,0.9,0.95,0.75,0.115,0.110536,0.000408
-1,2,1,-1,-1,0.9,0.9,0.95,0.75,0.120,0.110536,0.000408
-1,2,1,-1,-1,0.9,0.9,0.95,0.75,0.125,0.110536,0.000408
-1,2,1,-1,-1,0.95,0.95,0.95,0.75,0.130,0.128214,0.000204
-1,2,1,-1,-1,0.95,0.95,0.95,0.75,0.135,0.128214,0.000204
-1,2,1,-1,-1,0.95,0.95,0.95,0.75,0.140,0.128214,0.000204
-1,2,1,-1,-1,0.95,0.95,0.95,0.75,0.145,0.128214,0.000204
-1,2,1,-1,-1,0.95,0.95,0.95,0.75,0.150,0.128214,0.000204
-1,2,1,-1,-1,0.95,0.95,0.95,0.75,0.155,0.128214,0.000204
-1,2,1,-1,-1,0.95,0.95,0.95,0.75,0.160,0.128214,0.000204
-1,2,1,-1,-1,0.95,0.95,0.95,0.75,0.165,0.128214,0.000204
-1,2,1,-1,-1,0.95,0.95,0.95,0.75,0.170,0.128214,0.000204
-1,2,1,-1,-1,0.95,0.95,0.95,0.8,0.175,0.172047,0.000153
-1,2,1,-1,-1,0.95,0.95,0.95,0.8,0.180,0.172047,0.000153
-1,2,1,-1,-1,0.95,0.95,0.95,0.8,0.185,0.172047,0.000153
-1,2,1,-1,-1,0.95,0.95,0.95,0.8,0.190,0.172047,0.000153
-1,2,1,-1,-1,0.95,0.95,0.95,0.8,0.195,0.172047,0.000153
-1,2,1,-1,-1,0.9,0.9,0.95,0.85,0.200,0.199455,0.000102
-1,2,1,-1,-1,0.9,0.9,0.95,0.85,0.205,0.199455,0.000102
-1,2,1,-1,-1,0.9,0.9,0.95,0.85,0.210,0.199455,0.000102
-1,2,1,-1,-1,0.95,0.95,0.95,0.85,0.215,0.211345,5.1e-05
-1,2,1,-1,-1,0.95,0.95,0.95,0.85,0.220,0.211345,5.1e-05
-1,2,1,-1,-1,0.95,0.95,0.95,0.85,0.225,0.211345,5.1e-05
-1,2,1,-1,-1,0.95,0.95,0.95,0.85,0.230,0.211345,5.1e-05
-1,2,1,-1,-1,0.95,0.95,0.95,0.85,0.235,0.211345,5.1e-05
-1,2,1,-1,-1,0.95,0.95,0.95,0.85,0.240,0.211345,5.1e-05
-1,2,1,-1,-1,0.95,0.95,0.95,0.85,0.245,0.211345,5.1e-05
-1,2,1,-1,-1,0.95,0.95,0.95,0.85,0.250,0.211345,5.1e-05
-1,2,1,-1,-1,0.95,0.95,0.95,0.85,0.255,0.211345,5.1e-05
-1,2,1,-1,-1,0.95,0.95,0.95,0.85,0.260,0.211345,5.1e-05
-1,2,1,-1,-1,0.95,0.95,0.95,0.85,0.265,0.211345,5.1e-05
-1,2,1,-1,-1,0.95,0.95,0.95,0.85,0.270,0.211345,5.1e-05
-1,2,1,-1,-1,0.95,0.95,0.95,0.85,0.275,0.211345,5.1e-05
-1,2,1,-1,-1,0.95,0.95,0.95,0.85,0.280,0.211345,5.1e-05
-1,2,1,-1,-1,0.95,0.95,0.95,0.85,0.285,0.211345,5.1e-05
-1,2,1,-1,-1,0.95,0.95,0.95,0.85,0.290,0.211345,5.1e-05
-1,2,1,-1,-1,0.95,0.95,0.95,0.85,0.295,0.211345,5.1e-05
-1,2,1,-1,-1,0.95,0.95,0.95,0.85,0.300,0.211345,5.1e-05
-1,2,1,-1,-1,0.95,0.95,0.95,0.85,0.305,0.211345,5.1e-05
-1,2,1,-1,-1,0.95,0.95,0.95,0.85,0.310,0.211345,5.1e-05
-1,2,1,-1,-1,0.95,0.95,0.95,0.85,0.315,0.211345,5.1e-05
-1,2,1,-1,-1,0.95,0.95,0.95,0.85,0.320,0.211345,5.1e-05
-1,2,1,-1,-1,0.95,0.95,0.95,0.85,0.325,0.211345,5.1e-05
-1,2,1,-1,-1,0.95,0.95,0.95,0.85,0.330,0.211345,5.1e-05
-1,2,1,-1,-1,0.95,0.95,0.95,0.85,0.335,0.211345,5.1e-05
-1,2,1,-1,-1,0.95,0.95,0.95,0.85,0.340,0.211345,5.1e-05
-1,2,1,-1,-1,0.95,0.95,0.95,0.85,0.345,0.211345,5.1e-05
-1,2,1,-1,-1,0.95,0.95,0.95,0.85,0.350,0.211345,5.1e-05
-1,2,1,-1,-1,0.95,0.95,0.95,0.85,0.355,0.211345,5.1e-05
-1,2,1,-1,-1,0.95,0.95,0.95,0.85,0.360,0.211345,5.1e-05
-1,2,1,-1,-1,0.95,0.95,0.95,0.85,0.365,0.211345,5.1e-05
-1,2,1,-1,-1,0.95,0.95,0.95,0.85,0.370,0.211345,5.1e-05
-1,2,1,-1,-1,0.95,0.95,0.95,0.85,0.375,0.211345,5.1e-05
-1,2,1,-1,-1,0.95,0.95,0.95,0.85,0.380,0.211345,5.1e-05
-1,2,1,-1,-1,1.0,1.0,0.95,0.05,0.385,0.382143,0.0
-1,2,1,-1,-1,1.0,1.0,0.95,0.05,0.390,0.382143,0.0
-1,2,1,-1,-1,1.0,1.0,0.95,0.05,0.395,0.382143,0.0
-1,2,1,-1,-1,1.0,1.0,0.95,0.05,0.400,0.382143,0.0
-1,2,1,-1,-1,1.0,1.0,0.95,0.05,0.405,0.382143,0.0
-1,2,1,-1,-1,1.0,1.0,0.95,0.05,0.410,0.382143,0.0
-1,2,1,-1,-1,1.0,1.0,0.95,0.05,0.415,0.382143,0.0
-1,2,1,-1,-1,1.0,1.0,0.95,0.05,0.420,0.382143,0.0
-1,2,1,-1,-1,1.0,1.0,0.95,0.05,0.425,0.382143,0.0
-1,2,1,-1,-1,1.0,1.0,0.95,0.05,0.430,0.382143,0.0
-1,2,1,-1,-1,1.0,1.0,0.95,0.05,0.435,0.382143,0.0
-1,2,1,-1,-1,1.0,1.0,0.95,0.05,0.440,0.382143,0.0
-1,2,1,-1,-1,1.0,1.0,0.95,0.05,0.445,0.382143,0.0
-1,2,1,-1,-1,1.0,1.0,0.95,0.05,0.450,0.382143,0.0
