sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR Limit,FAR,FRR
3,2,1,0.95,0.95,0.95,0.05,0.25,0.05,0.000,0.0,0.904494
3,2,1,0.2,0.2,0.75,0.05,0.6,0.25,0.005,0.004986,0.654579
3,2,1,0.2,0.2,0.75,0.15,0.55,0.25,0.010,0.00997,0.594152
3,2,1,0.2,0.2,0.95,0.15,0.6,0.25,0.015,0.01448,0.539047
3,2,1,0.3,0.3,0.6,0.15,0.6,0.25,0.020,0.019148,0.499549
3,2,1,0.3,0.3,0.8,0.15,0.6,0.25,0.025,0.024405,0.465395
3,2,1,0.3,0.3,0.7,0.15,0.65,0.25,0.030,0.029246,0.443732
3,2,1,0.3,0.3,0.85,0.15,0.65,0.25,0.035,0.034612,0.426255
3,2,1,0.3,0.3,0.75,0.15,0.7,0.25,0.040,0.038953,0.413804
3,2,1,0.35,0.35,0.7,0.15,0.65,0.25,0.045,0.042124,0.400747
3,2,1,0.35,0.35,0.8,0.15,0.65,0.25,0.050,0.048259,0.384582
3,2,1,0.3,0.3,0.8,0.15,0.7,0.3,0.055,0.054235,0.376336
3,2,1,0.35,0.35,0.8,0.15,0.7,0.25,0.060,0.059689,0.359992
3,2,1,0.5,0.5,0.6,0.15,0.65,0.25,0.065,0.0647,0.354062
3,2,1,0.6,0.6,0.6,0.15,0.6,0.25,0.070,0.068861,0.333757
3,2,1,0.6,0.6,0.65,0.1,0.6,0.25,0.075,0.074443,0.330551
3,2,1,0.6,0.6,0.65,0.15,0.6,0.25,0.080,0.077098,0.313498
3,2,1,0.65,0.65,0.6,0.15,0.6,0.25,0.085,0.081911,0.303149
3,2,1,0.7,0.7,0.6,0.1,0.6,0.25,0.090,0.088967,0.291052
3,2,1,0.65,0.65,0.65,0.15,0.6,0.25,0.095,0.091969,0.281141
3,2,1,0.65,0.65,0.65,0.2,0.6,0.25,0.100,0.099252,0.27327
3,2,1,0.65,0.65,0.7,0.15,0.6,0.25,0.105,0.102865,0.259132
3,2,1,0.7,0.7,0.7,0.05,0.6,0.25,0.110,0.109611,0.252088
3,2,1,0.7,0.7,0.7,0.15,0.6,0.25,0.115,0.114896,0.236396
3,2,1,0.7,0.7,0.7,0.15,0.6,0.25,0.120,0.114896,0.236396
3,2,1,0.7,0.7,0.7,0.2,0.6,0.25,0.125,0.121692,0.230857
3,2,1,0.7,0.7,0.75,0.15,0.6,0.25,0.130,0.129568,0.220946
3,2,1,0.7,0.7,0.65,0.1,0.65,0.25,0.135,0.134239,0.216763
3,2,1,0.65,0.65,0.7,0.15,0.65,0.25,0.140,0.137637,0.207316
3,2,1,0.7,0.7,0.8,0.2,0.6,0.25,0.145,0.143936,0.20382
3,2,1,0.65,0.65,0.7,0.15,0.65,0.3,0.150,0.148721,0.195521
3,2,1,0.7,0.7,0.7,0.15,0.65,0.25,0.155,0.153735,0.182753
3,2,1,0.7,0.7,0.7,0.15,0.65,0.25,0.160,0.153735,0.182753
3,2,1,0.7,0.7,0.7,0.15,0.65,0.3,0.165,0.164395,0.173116
3,2,1,0.7,0.7,0.7,0.15,0.65,0.3,0.170,0.164395,0.173116
3,2,1,0.7,0.7,0.75,0.15,0.65,0.25,0.175,0.173366,0.166063
3,2,1,0.7,0.7,0.7,0.15,0.65,0.35,0.180,0.179319,0.163478
3,2,1,0.7,0.7,0.8,0.15,0.65,0.25,0.185,0.183498,0.153546
3,2,1,0.7,0.7,0.8,0.15,0.65,0.25,0.190,0.183498,0.153546
3,2,1,0.7,0.7,0.8,0.15,0.65,0.3,0.195,0.193375,0.146474
3,2,1,0.7,0.7,0.8,0.15,0.65,0.3,0.200,0.193375,0.146474
3,2,1,0.7,0.7,0.7,0.15,0.7,0.3,0.205,0.200805,0.138979
3,2,1,0.7,0.7,0.7,0.15,0.7,0.3,0.210,0.200805,0.138979
3,2,1,0.7,0.7,0.75,0.15,0.7,0.25,0.215,0.214426,0.131137
3,2,1,0.7,0.7,0.7,0.15,0.7,0.35,0.220,0.21573,0.129342
3,2,1,0.7,0.7,0.75,0.15,0.7,0.3,0.225,0.224569,0.122966
3,2,1,0.7,0.7,0.8,0.15,0.7,0.25,0.230,0.226958,0.118028
3,2,1,0.7,0.7,0.8,0.15,0.7,0.25,0.235,0.226958,0.118028
3,2,1,0.7,0.7,0.8,0.15,0.7,0.3,0.240,0.236835,0.110956
3,2,1,0.7,0.7,0.8,0.15,0.7,0.3,0.245,0.236835,0.110956
3,2,1,0.7,0.7,0.8,0.2,0.7,0.3,0.250,0.247842,0.105215
3,2,1,0.7,0.7,0.8,0.15,0.7,0.35,0.255,0.250663,0.103884
3,2,1,0.7,0.7,0.85,0.15,0.7,0.3,0.260,0.257533,0.102949
3,2,1,0.7,0.7,0.8,0.2,0.7,0.35,0.265,0.261335,0.098669
3,2,1,0.7,0.7,0.85,0.2,0.7,0.3,0.270,0.26854,0.097208
3,2,1,0.7,0.7,0.85,0.15,0.7,0.35,0.275,0.270731,0.09661
3,2,1,0.7,0.7,0.8,0.25,0.7,0.35,0.280,0.279122,0.091715
3,2,1,0.7,0.7,0.85,0.2,0.7,0.35,0.285,0.281403,0.091395
3,2,1,0.7,0.7,0.9,0.2,0.7,0.35,0.290,0.288835,0.087758
3,2,1,0.7,0.7,0.9,0.25,0.7,0.3,0.295,0.294552,0.085551
3,2,1,0.7,0.7,0.8,0.15,0.7,0.45,0.300,0.298072,0.083756
3,2,1,0.7,0.7,0.8,0.15,0.8,0.3,0.305,0.300576,0.080512
3,2,1,0.7,0.7,0.8,0.2,0.7,0.45,0.310,0.307596,0.080036
3,2,1,0.7,0.7,0.8,0.15,0.8,0.35,0.315,0.314404,0.07344
3,2,1,0.7,0.7,0.8,0.15,0.8,0.35,0.320,0.314404,0.07344
3,2,1,0.7,0.7,0.7,0.15,0.8,0.45,0.325,0.320301,0.072652
3,2,1,0.7,0.7,0.8,0.2,0.8,0.35,0.330,0.328235,0.067982
3,2,1,0.7,0.7,0.8,0.2,0.8,0.35,0.335,0.328235,0.067982
3,2,1,0.7,0.7,0.8,0.25,0.8,0.3,0.340,0.338353,0.066551
3,2,1,0.7,0.7,0.8,0.15,0.8,0.4,0.345,0.340084,0.06256
3,2,1,0.7,0.7,0.75,0.15,0.8,0.45,0.350,0.347681,0.0616
3,2,1,0.7,0.7,0.8,0.2,0.8,0.4,0.355,0.353293,0.057911
3,2,1,0.7,0.7,0.8,0.2,0.8,0.4,0.360,0.353293,0.057911
3,2,1,0.7,0.7,0.8,0.15,0.8,0.45,0.365,0.361813,0.053312
3,2,1,0.7,0.7,0.8,0.15,0.8,0.45,0.370,0.361813,0.053312
3,2,1,0.7,0.7,0.8,0.2,0.8,0.45,0.375,0.374496,0.04935
3,2,1,0.7,0.7,0.8,0.2,0.8,0.45,0.380,0.374496,0.04935
3,2,1,0.7,0.7,0.8,0.2,0.8,0.45,0.385,0.374496,0.04935
3,2,1,0.7,0.7,0.85,0.15,0.8,0.45,0.390,0.385661,0.047786
3,2,1,0.7,0.7,0.9,0.15,0.8,0.45,0.395,0.394493,0.045023
3,2,1,0.7,0.7,0.85,0.2,0.8,0.45,0.400,0.398344,0.043824
3,2,1,0.7,0.7,0.85,0.2,0.8,0.45,0.405,0.398344,0.043824
3,2,1,0.7,0.7,0.9,0.2,0.8,0.45,0.410,0.407176,0.041061
3,2,1,0.7,0.7,0.8,0.3,0.8,0.45,0.415,0.413952,0.040105
3,2,1,0.7,0.7,0.85,0.25,0.8,0.45,0.420,0.419481,0.038542
3,2,1,0.8,0.8,0.8,0.15,0.8,0.35,0.425,0.423191,0.037821
3,2,1,0.7,0.7,0.9,0.25,0.8,0.45,0.430,0.428313,0.035779
3,2,1,0.7,0.7,0.9,0.25,0.8,0.45,0.435,0.428313,0.035779
3,2,1,0.7,0.7,0.85,0.3,0.8,0.45,0.440,0.4378,0.03458
3,2,1,0.8,0.8,0.8,0.15,0.8,0.4,0.445,0.443978,0.032218
3,2,1,0.7,0.7,0.9,0.3,0.8,0.45,0.450,0.446632,0.031817
3,2,1,0.8,0.8,0.8,0.2,0.8,0.4,0.455,0.45371,0.030505
3,2,1,0.8,0.8,0.8,0.1,0.8,0.45,0.460,0.458452,0.029645
3,2,1,0.8,0.8,0.8,0.15,0.8,0.45,0.465,0.461566,0.027455
3,2,1,0.8,0.8,0.8,0.15,0.8,0.45,0.470,0.461566,0.027455
3,2,1,0.8,0.8,0.9,0.15,0.8,0.35,0.475,0.473794,0.025541
