sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR Limit,FAR,FRR
3,2,1,0.1,0.1,0.3,0.05,0.3,0.05,0.005,0.00486,0.889161
3,2,1,0.1,0.1,0.4,0.05,0.35,0.05,0.010,0.009704,0.839886
3,2,1,0.15,0.15,0.45,0.05,0.35,0.05,0.015,0.014967,0.803462
3,2,1,0.2,0.2,0.4,0.05,0.4,0.05,0.020,0.019549,0.774829
3,2,1,0.15,0.15,0.35,0.05,0.45,0.1,0.025,0.024175,0.747732
3,2,1,0.25,0.25,0.35,0.05,0.45,0.1,0.030,0.029896,0.721844
3,2,1,0.25,0.25,0.4,0.05,0.45,0.1,0.035,0.034872,0.697071
3,2,1,0.15,0.15,0.4,0.05,0.5,0.1,0.040,0.039679,0.674867
3,2,1,0.1,0.1,0.45,0.05,0.55,0.1,0.045,0.044838,0.651356
3,2,1,0.1,0.1,0.4,0.05,0.65,0.1,0.050,0.048525,0.636638
3,2,1,0.15,0.15,0.4,0.05,0.6,0.1,0.055,0.053839,0.615591
3,2,1,0.25,0.25,0.4,0.05,0.55,0.1,0.060,0.059846,0.600026
3,2,1,0.15,0.15,0.45,0.05,0.6,0.1,0.065,0.064932,0.581929
3,2,1,0.2,0.2,0.4,0.05,0.65,0.1,0.070,0.068897,0.568749
3,2,1,0.2,0.2,0.45,0.05,0.6,0.1,0.075,0.074537,0.552185
3,2,1,0.2,0.2,0.4,0.1,0.6,0.15,0.080,0.07985,0.545435
3,2,1,0.2,0.2,0.45,0.05,0.65,0.1,0.085,0.08384,0.529056
3,2,1,0.25,0.25,0.4,0.05,0.65,0.15,0.090,0.088975,0.517304
3,2,1,0.2,0.2,0.45,0.05,0.65,0.15,0.095,0.094888,0.500266
3,2,1,0.2,0.2,0.5,0.05,0.6,0.15,0.100,0.099575,0.492284
3,2,1,0.2,0.2,0.45,0.05,0.7,0.15,0.105,0.10389,0.48223
