sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR Limit,FAR,FRR
3,2,1,0.85,0.85,1.0,0.05,0.2,0.05,0.000,0.0,0.742857
3,2,1,0.55,0.55,0.9,0.65,0.75,0.2,0.005,0.004794,0.040525
3,2,1,0.55,0.55,0.9,0.6,0.85,0.2,0.010,0.009982,0.020056
3,2,1,0.45,0.45,0.95,0.75,0.85,0.2,0.015,0.014998,0.0145
3,2,1,0.75,0.75,0.9,0.55,0.85,0.45,0.020,0.019865,0.01104
3,2,1,0.45,0.45,0.9,0.5,0.95,0.45,0.025,0.024434,0.005947
3,2,1,0.55,0.55,0.9,0.6,0.95,0.45,0.030,0.029584,0.004639
3,2,1,0.45,0.45,0.95,0.55,0.95,0.45,0.035,0.033502,0.003587
3,2,1,0.45,0.45,0.95,0.75,0.95,0.45,0.040,0.039964,0.002643
3,2,1,0.55,0.55,0.95,0.75,0.95,0.45,0.045,0.043304,0.002319
3,2,1,0.55,0.55,0.95,0.55,0.95,0.55,0.050,0.0492,0.001777
3,2,1,0.45,0.45,0.95,0.65,0.95,0.6,0.055,0.054708,0.001347
3,2,1,0.55,0.55,0.95,0.7,0.95,0.6,0.060,0.059355,0.001073
3,2,1,0.75,0.75,0.95,0.6,0.95,0.6,0.065,0.064605,0.000915
3,2,1,0.85,0.85,0.95,0.05,0.95,0.6,0.070,0.065907,0.000816
3,2,1,0.75,0.75,0.95,0.55,0.95,0.65,0.075,0.074852,0.000691
3,2,1,0.85,0.85,0.95,0.05,0.95,0.65,0.080,0.077087,0.000612
3,2,1,0.85,0.85,0.95,0.05,0.95,0.65,0.085,0.077087,0.000612
3,2,1,0.75,0.75,0.95,0.55,0.95,0.7,0.090,0.089332,0.000576
3,2,1,0.85,0.85,0.95,0.05,0.95,0.7,0.095,0.091462,0.00051
3,2,1,0.05,0.05,1.0,0.95,0.95,0.6,0.100,0.096764,0.000431
3,2,1,0.45,0.45,0.95,0.65,0.95,0.75,0.105,0.10432,0.000337
3,2,1,0.55,0.55,0.95,0.75,0.95,0.75,0.110,0.109774,0.000251
3,2,1,0.85,0.85,0.95,0.05,0.95,0.75,0.115,0.113822,0.000204
3,2,1,0.85,0.85,0.95,0.05,0.95,0.75,0.120,0.113822,0.000204
3,2,1,0.85,0.85,0.95,0.05,0.95,0.75,0.125,0.113822,0.000204
3,2,1,0.85,0.85,0.95,0.05,0.95,0.75,0.130,0.113822,0.000204
3,2,1,0.15,0.15,1.0,0.95,0.95,0.65,0.135,0.133145,0.000175
3,2,1,0.1,0.1,1.0,0.9,0.95,0.75,0.140,0.137697,0.000157
3,2,1,0.05,0.05,1.0,0.95,0.95,0.75,0.145,0.140004,0.000108
3,2,1,0.05,0.05,1.0,0.95,0.95,0.75,0.150,0.140004,0.000108
3,2,1,0.1,0.1,1.0,0.95,0.95,0.75,0.155,0.153607,7.9e-05
3,2,1,0.1,0.1,1.0,0.95,0.95,0.75,0.160,0.153607,7.9e-05
3,2,1,0.15,0.15,1.0,0.95,0.95,0.75,0.165,0.163129,5.8e-05
3,2,1,0.15,0.15,1.0,0.95,0.95,0.75,0.170,0.163129,5.8e-05
3,2,1,0.15,0.15,1.0,0.95,0.95,0.75,0.175,0.163129,5.8e-05
3,2,1,0.2,0.2,1.0,0.95,0.95,0.75,0.180,0.17764,4.2e-05
3,2,1,0.2,0.2,1.0,0.95,0.95,0.75,0.185,0.17764,4.2e-05
3,2,1,0.25,0.25,1.0,0.95,0.95,0.75,0.190,0.187616,3.4e-05
3,2,1,0.3,0.3,1.0,0.95,0.95,0.75,0.195,0.193964,2.8e-05
3,2,1,0.3,0.3,1.0,0.95,0.95,0.75,0.200,0.193964,2.8e-05
3,2,1,0.35,0.35,1.0,0.95,0.95,0.75,0.205,0.202126,2e-05
3,2,1,0.4,0.4,1.0,0.95,0.95,0.75,0.210,0.209381,1.5e-05
3,2,1,0.4,0.4,1.0,0.95,0.95,0.75,0.215,0.209381,1.5e-05
3,2,1,0.45,0.45,1.0,0.95,0.95,0.75,0.220,0.217996,1e-05
3,2,1,0.45,0.45,1.0,0.95,0.95,0.75,0.225,0.217996,1e-05
3,2,1,0.5,0.5,1.0,0.95,0.95,0.75,0.230,0.229786,9e-06
3,2,1,0.5,0.5,1.0,0.95,0.95,0.75,0.235,0.229786,9e-06
3,2,1,0.55,0.55,1.0,0.95,0.95,0.75,0.240,0.238855,6e-06
3,2,1,0.55,0.55,1.0,0.95,0.95,0.75,0.245,0.238855,6e-06
3,2,1,0.55,0.55,1.0,0.95,0.95,0.75,0.250,0.238855,6e-06
3,2,1,0.55,0.55,1.0,0.95,0.95,0.75,0.255,0.238855,6e-06
3,2,1,0.55,0.55,1.0,0.95,0.95,0.75,0.260,0.238855,6e-06
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.265,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.270,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.275,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.280,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.285,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.290,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.295,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.300,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.305,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.310,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.315,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.320,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.325,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.330,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.335,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.340,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.345,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.350,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.355,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.360,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.365,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.370,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.375,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.380,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.385,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.390,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.395,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.400,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.405,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.410,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.415,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.420,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.425,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.430,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.435,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.440,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.445,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.450,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.455,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.460,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.465,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.470,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.475,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.480,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.485,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.490,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.495,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.500,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.505,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.510,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.515,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.520,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.525,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.530,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.535,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.540,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.545,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.550,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.555,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.560,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.565,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.570,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.575,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.580,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.585,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.590,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.595,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.600,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.605,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.610,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.615,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.620,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.625,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.630,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.635,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.640,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.645,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.650,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.655,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.660,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.665,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.670,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.675,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.680,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.685,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.690,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.695,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.700,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.705,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.710,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.715,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.720,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.725,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.730,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.735,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.740,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.745,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.750,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.755,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.760,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.765,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.770,0.261574,0.0
3,2,1,0.85,0.85,1.0,0.05,0.95,0.05,0.775,0.261574,0.0
