sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,Inference Time (ms),FAR Limit,FAR,FRR
-1,-1,1,-1,-1,-1,-1,0.2,0.2,114.70,0.000,0.0,0.742857
-1,-1,1,-1,-1,-1,-1,0.25,0.25,114.70,0.005,0.003571,0.614286
-1,-1,1,-1,-1,-1,-1,0.45,0.45,114.70,0.010,0.008929,0.264286
-1,-1,1,-1,-1,-1,-1,0.45,0.45,114.70,0.015,0.008929,0.264286
-1,-1,1,-1,-1,-1,-1,0.5,0.5,114.70,0.020,0.016071,0.235714
-1,-1,1,-1,-1,-1,-1,0.55,0.55,114.70,0.025,0.021429,0.164286
-1,-1,1,-1,-1,-1,-1,0.6,0.6,114.70,0.030,0.028571,0.114286
-1,-1,1,-1,-1,-1,-1,0.6,0.6,114.70,0.035,0.028571,0.114286
-1,-1,1,-1,-1,-1,-1,0.6,0.6,114.70,0.040,0.028571,0.114286
-1,-1,1,-1,-1,-1,-1,0.65,0.65,114.70,0.045,0.041071,0.085714
-1,-1,1,-1,-1,-1,-1,0.65,0.65,114.70,0.050,0.041071,0.085714
-1,-1,1,-1,-1,-1,-1,0.65,0.65,114.70,0.055,0.041071,0.085714
-1,-1,1,-1,-1,-1,-1,0.7,0.7,114.70,0.060,0.057143,0.071429
-1,-1,1,-1,-1,-1,-1,0.7,0.7,114.70,0.065,0.057143,0.071429
-1,-1,1,-1,-1,-1,-1,0.7,0.7,114.70,0.070,0.057143,0.071429
-1,-1,1,-1,-1,-1,-1,0.7,0.7,114.70,0.075,0.057143,0.071429
-1,-1,1,-1,-1,-1,-1,0.7,0.7,114.70,0.080,0.057143,0.071429
-1,-1,1,-1,-1,-1,-1,0.75,0.75,114.70,0.085,0.082143,0.028571
-1,-1,1,-1,-1,-1,-1,0.75,0.75,114.70,0.090,0.082143,0.028571
-1,-1,1,-1,-1,-1,-1,0.75,0.75,114.70,0.095,0.082143,0.028571
-1,-1,1,-1,-1,-1,-1,0.75,0.75,114.70,0.100,0.082143,0.028571
-1,-1,1,-1,-1,-1,-1,0.75,0.75,114.70,0.105,0.082143,0.028571
-1,-1,1,-1,-1,-1,-1,0.75,0.75,114.70,0.110,0.082143,0.028571
-1,-1,1,-1,-1,-1,-1,0.75,0.75,114.70,0.115,0.082143,0.028571
-1,-1,1,-1,-1,-1,-1,0.75,0.75,114.70,0.120,0.082143,0.028571
-1,-1,1,-1,-1,-1,-1,0.75,0.75,114.70,0.125,0.082143,0.028571
-1,-1,1,-1,-1,-1,-1,0.75,0.75,114.70,0.130,0.082143,0.028571
-1,-1,1,-1,-1,-1,-1,0.8,0.8,114.70,0.135,0.133929,0.021429
-1,-1,1,-1,-1,-1,-1,0.8,0.8,114.70,0.140,0.133929,0.021429
-1,-1,1,-1,-1,-1,-1,0.8,0.8,114.70,0.145,0.133929,0.021429
-1,-1,1,-1,-1,-1,-1,0.8,0.8,114.70,0.150,0.133929,0.021429
-1,-1,1,-1,-1,-1,-1,0.8,0.8,114.70,0.155,0.133929,0.021429
-1,-1,1,-1,-1,-1,-1,0.8,0.8,114.70,0.160,0.133929,0.021429
-1,-1,1,-1,-1,-1,-1,0.8,0.8,114.70,0.165,0.133929,0.021429
-1,-1,1,-1,-1,-1,-1,0.8,0.8,114.70,0.170,0.133929,0.021429
-1,-1,1,-1,-1,-1,-1,0.8,0.8,114.70,0.175,0.133929,0.021429
-1,-1,1,-1,-1,-1,-1,0.8,0.8,114.70,0.180,0.133929,0.021429
-1,-1,1,-1,-1,-1,-1,0.85,0.85,114.70,0.185,0.180357,0.007143
-1,-1,1,-1,-1,-1,-1,0.85,0.85,114.70,0.190,0.180357,0.007143
-1,-1,1,-1,-1,-1,-1,0.85,0.85,114.70,0.195,0.180357,0.007143
-1,-1,1,-1,-1,-1,-1,0.85,0.85,114.70,0.200,0.180357,0.007143
-1,-1,1,-1,-1,-1,-1,0.85,0.85,114.70,0.205,0.180357,0.007143
-1,-1,1,-1,-1,-1,-1,0.85,0.85,114.70,0.210,0.180357,0.007143
-1,-1,1,-1,-1,-1,-1,0.85,0.85,114.70,0.215,0.180357,0.007143
-1,-1,1,-1,-1,-1,-1,0.85,0.85,114.70,0.220,0.180357,0.007143
-1,-1,1,-1,-1,-1,-1,0.85,0.85,114.70,0.225,0.180357,0.007143
-1,-1,1,-1,-1,-1,-1,0.85,0.85,114.70,0.230,0.180357,0.007143
-1,-1,1,-1,-1,-1,-1,0.85,0.85,114.70,0.235,0.180357,0.007143
-1,-1,1,-1,-1,-1,-1,0.85,0.85,114.70,0.240,0.180357,0.007143
-1,-1,1,-1,-1,-1,-1,0.85,0.85,114.70,0.245,0.180357,0.007143
-1,-1,1,-1,-1,-1,-1,0.85,0.85,114.70,0.250,0.180357,0.007143
-1,-1,1,-1,-1,-1,-1,0.85,0.85,114.70,0.255,0.180357,0.007143
-1,-1,1,-1,-1,-1,-1,0.85,0.85,114.70,0.260,0.180357,0.007143
-1,-1,1,-1,-1,-1,-1,0.85,0.85,114.70,0.265,0.180357,0.007143
-1,-1,1,-1,-1,-1,-1,0.85,0.85,114.70,0.270,0.180357,0.007143
-1,-1,1,-1,-1,-1,-1,0.85,0.85,114.70,0.275,0.180357,0.007143
