Threshold,FAR,FRR
0.001,0.0,1.0
0.002,0.0,0.978571
0.003,0.0,0.971429
0.004,0.001786,0.95
0.005,0.001786,0.921429
0.006,0.003571,0.907143
0.007,0.003571,0.9
0.008,0.003571,0.878571
0.009,0.007143,0.878571
0.01,0.007143,0.864286
0.011,0.007143,0.807143
0.012,0.007143,0.792857
0.013,0.007143,0.792857
0.014,0.007143,0.792857
0.015,0.007143,0.778571
0.016,0.007143,0.764286
0.017,0.008929,0.764286
0.018,0.010714,0.75
0.019,0.010714,0.742857
0.02,0.010714,0.728571
0.021,0.016071,0.728571
0.022,0.016071,0.721429
0.023,0.017857,0.7
0.024,0.017857,0.692857
0.025,0.019643,0.692857
0.026,0.019643,0.692857
0.027,0.021429,0.692857
0.028,0.021429,0.678571
0.029,0.021429,0.678571
0.03,0.021429,0.664286
0.031,0.025,0.657143
0.032,0.026786,0.65
0.033,0.026786,0.642857
0.034,0.026786,0.642857
0.035,0.028571,0.635714
0.036,0.028571,0.628571
0.037,0.032143,0.607143
0.038,0.033929,0.585714
0.039,0.0375,0.571429
0.04,0.039286,0.571429
0.041,0.039286,0.571429
0.042,0.039286,0.571429
0.043,0.041071,0.557143
0.044,0.042857,0.557143
0.045,0.044643,0.542857
0.046,0.046429,0.528571
0.047,0.046429,0.528571
0.048,0.046429,0.528571
0.049,0.046429,0.528571
0.05,0.046429,0.528571
0.051,0.046429,0.528571
0.052,0.048214,0.528571
0.053,0.048214,0.521429
0.054,0.05,0.521429
0.055,0.051786,0.521429
0.056,0.053571,0.514286
0.057,0.057143,0.507143
0.058,0.058929,0.5
0.059,0.060714,0.5
0.06,0.060714,0.5
0.061,0.0625,0.492857
0.062,0.064286,0.492857
0.063,0.066071,0.492857
0.064,0.069643,0.492857
0.065,0.071429,0.492857
0.066,0.073214,0.492857
0.067,0.073214,0.478571
0.068,0.075,0.464286
0.069,0.075,0.464286
0.07,0.075,0.457143
0.071,0.076786,0.442857
0.072,0.076786,0.435714
0.073,0.076786,0.435714
0.074,0.076786,0.435714
0.075,0.078571,0.435714
0.076,0.082143,0.435714
0.077,0.082143,0.435714
0.078,0.083929,0.435714
0.079,0.0875,0.435714
0.08,0.0875,0.435714
0.081,0.0875,0.435714
0.082,0.089286,0.428571
0.083,0.089286,0.428571
0.084,0.089286,0.428571
0.085,0.089286,0.428571
0.086,0.089286,0.428571
0.087,0.089286,0.428571
0.088,0.089286,0.421429
0.089,0.089286,0.421429
0.09,0.092857,0.421429
0.091,0.092857,0.421429
0.092,0.092857,0.421429
0.093,0.092857,0.421429
0.094,0.096429,0.414286
0.095,0.1,0.414286
0.096,0.1,0.407143
0.097,0.1,0.407143
0.098,0.1,0.407143
0.099,0.1,0.392857
0.1,0.1,0.385714
0.101,0.101786,0.385714
0.102,0.101786,0.385714
0.103,0.103571,0.385714
0.104,0.103571,0.371429
0.105,0.105357,0.371429
0.106,0.107143,0.364286
0.107,0.108929,0.364286
0.108,0.110714,0.364286
0.109,0.110714,0.357143
0.11,0.110714,0.357143
0.111,0.1125,0.357143
0.112,0.1125,0.357143
0.113,0.114286,0.35
0.114,0.114286,0.342857
0.115,0.114286,0.335714
0.116,0.114286,0.335714
0.117,0.114286,0.335714
0.118,0.114286,0.328571
0.119,0.114286,0.328571
0.12,0.116071,0.328571
0.121,0.116071,0.328571
0.122,0.117857,0.328571
0.123,0.117857,0.321429
0.124,0.117857,0.321429
0.125,0.119643,0.314286
0.126,0.119643,0.314286
0.127,0.119643,0.314286
0.128,0.119643,0.314286
0.129,0.121429,0.307143
0.13,0.121429,0.3
0.131,0.121429,0.3
0.132,0.121429,0.3
0.133,0.121429,0.3
0.134,0.121429,0.3
0.135,0.121429,0.292857
0.136,0.121429,0.292857
0.137,0.123214,0.292857
0.138,0.123214,0.292857
0.139,0.125,0.285714
0.14,0.125,0.285714
0.141,0.125,0.285714
0.142,0.125,0.285714
0.143,0.128571,0.285714
0.144,0.130357,0.285714
0.145,0.132143,0.285714
0.146,0.133929,0.285714
0.147,0.135714,0.285714
0.148,0.135714,0.285714
0.149,0.135714,0.285714
0.15,0.1375,0.285714
0.151,0.1375,0.271429
0.152,0.1375,0.264286
0.153,0.139286,0.264286
0.154,0.142857,0.264286
0.155,0.142857,0.264286
0.156,0.142857,0.264286
0.157,0.142857,0.264286
0.158,0.144643,0.264286
0.159,0.144643,0.264286
0.16,0.146429,0.264286
0.161,0.146429,0.257143
0.162,0.146429,0.257143
0.163,0.148214,0.257143
0.164,0.155357,0.257143
0.165,0.155357,0.25
0.166,0.157143,0.25
0.167,0.158929,0.242857
0.168,0.158929,0.242857
0.169,0.160714,0.242857
0.17,0.160714,0.242857
0.171,0.1625,0.235714
0.172,0.1625,0.235714
0.173,0.1625,0.235714
0.174,0.164286,0.235714
0.175,0.164286,0.235714
0.176,0.164286,0.235714
0.177,0.166071,0.235714
0.178,0.167857,0.228571
0.179,0.167857,0.221429
0.18,0.171429,0.214286
0.181,0.171429,0.214286
0.182,0.171429,0.214286
0.183,0.171429,0.214286
0.184,0.171429,0.214286
0.185,0.171429,0.214286
