sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR,FRR
1,-1,-1,0.05,0.05,-1,-1,-1,-1,0.148598,0.623758
1,-1,-1,0.1,0.1,-1,-1,-1,-1,0.266639,0.421598
1,-1,-1,0.15,0.15,-1,-1,-1,-1,0.359983,0.308423
1,-1,-1,0.2,0.2,-1,-1,-1,-1,0.427375,0.231102
1,-1,-1,0.25,0.25,-1,-1,-1,-1,0.497698,0.171058
1,-1,-1,0.3,0.3,-1,-1,-1,-1,0.554207,0.137797
1,-1,-1,0.35,0.35,-1,-1,-1,-1,0.594391,0.104968
1,-1,-1,0.4,0.4,-1,-1,-1,-1,0.640435,0.08121
1,-1,-1,0.45,0.45,-1,-1,-1,-1,0.674341,0.060475
1,-1,-1,0.5,0.5,-1,-1,-1,-1,0.713688,0.047084
1,-1,-1,0.55,0.55,-1,-1,-1,-1,0.742989,0.034989
1,-1,-1,0.6,0.6,-1,-1,-1,-1,0.773545,0.028078
1,-1,-1,0.65,0.65,-1,-1,-1,-1,0.802846,0.02419
1,-1,-1,0.7,0.7,-1,-1,-1,-1,0.823776,0.017711
1,-1,-1,0.75,0.75,-1,-1,-1,-1,0.848472,0.013823
1,-1,-1,0.8,0.8,-1,-1,-1,-1,0.865216,0.006911
1,-1,-1,0.85,0.85,-1,-1,-1,-1,0.886982,0.003888
1,-1,-1,0.9,0.9,-1,-1,-1,-1,0.906656,0.00216
1,-1,-1,0.95,0.95,-1,-1,-1,-1,0.935538,0.000432
1,-1,-1,1.0,1.0,-1,-1,-1,-1,1.0,0.0
