sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR,FRR
1,-1,-1,0.05,0.05,-1,-1,-1,-1,0.046429,0.528571
1,-1,-1,0.1,0.1,-1,-1,-1,-1,0.1,0.385714
1,-1,-1,0.15,0.15,-1,-1,-1,-1,0.1375,0.285714
1,-1,-1,0.2,0.2,-1,-1,-1,-1,0.194643,0.207143
1,-1,-1,0.25,0.25,-1,-1,-1,-1,0.233929,0.164286
1,-1,-1,0.3,0.3,-1,-1,-1,-1,0.258929,0.135714
1,-1,-1,0.35,0.35,-1,-1,-1,-1,0.291071,0.1
1,-1,-1,0.4,0.4,-1,-1,-1,-1,0.319643,0.071429
1,-1,-1,0.45,0.45,-1,-1,-1,-1,0.353571,0.05
1,-1,-1,0.5,0.5,-1,-1,-1,-1,0.4,0.042857
1,-1,-1,0.55,0.55,-1,-1,-1,-1,0.435714,0.028571
1,-1,-1,0.6,0.6,-1,-1,-1,-1,0.480357,0.028571
1,-1,-1,0.65,0.65,-1,-1,-1,-1,0.516071,0.028571
1,-1,-1,0.7,0.7,-1,-1,-1,-1,0.553571,0.021429
1,-1,-1,0.75,0.75,-1,-1,-1,-1,0.598214,0.007143
1,-1,-1,0.8,0.8,-1,-1,-1,-1,0.632143,0.007143
1,-1,-1,0.85,0.85,-1,-1,-1,-1,0.683929,0.0
1,-1,-1,0.9,0.9,-1,-1,-1,-1,0.741071,0.0
1,-1,-1,0.95,0.95,-1,-1,-1,-1,0.805357,0.0
1,-1,-1,1.0,1.0,-1,-1,-1,-1,1.0,0.0
