Threshold,FAR,FRR,FAR * FRR
0.05,0.115841,0.642233,0.074396913
0.1,0.211006,0.451576,0.095285245
0.15,0.285801,0.342955,0.098016882
0.2,0.344786,0.263578,0.090878004
0.25,0.404682,0.20281,0.082073556
0.3,0.451201,0.167869,0.075742661
0.35,0.48951,0.131789,0.064512033
0.4,0.531773,0.106343,0.056550336
0.45,0.56613,0.082415,0.046657604
0.5,0.605351,0.067603,0.040923544
0.55,0.638492,0.052412,0.033464643
0.6,0.672545,0.041018,0.027586451
0.65,0.706294,0.033042,0.023337366
0.7,0.732441,0.023927,0.017525116
0.75,0.76619,0.01823,0.013967644
0.8,0.792642,0.009115,0.007224932
0.85,0.824263,0.004937,0.004069386
0.9,0.860444,0.002279,0.001960952
0.95,0.903618,0.00038,0.000343375
1,1,0,0
