sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR,FRR
1,2,-1,0.05,0.05,0.05,0.05,-1,-1,0.115841,0.642233
1,2,-1,0.05,0.05,0.1,0.1,-1,-1,0.115841,0.642233
1,2,-1,0.05,0.05,0.15,0.15,-1,-1,0.115841,0.642233
1,2,-1,0.05,0.05,0.2,0.2,-1,-1,0.115841,0.642233
1,2,-1,0.05,0.05,0.25,0.25,-1,-1,0.115841,0.642233
1,2,-1,0.05,0.05,0.3,0.3,-1,-1,0.115841,0.642233
1,2,-1,0.05,0.05,0.35,0.35,-1,-1,0.115841,0.642233
1,2,-1,0.05,0.05,0.4,0.4,-1,-1,0.115841,0.642233
1,2,-1,0.05,0.05,0.45,0.45,-1,-1,0.115841,0.642233
1,2,-1,0.05,0.05,0.5,0.5,-1,-1,0.115841,0.642233
1,2,-1,0.05,0.05,0.55,0.55,-1,-1,0.115841,0.642233
1,2,-1,0.05,0.05,0.6,0.6,-1,-1,0.115841,0.642233
1,2,-1,0.05,0.05,0.65,0.65,-1,-1,0.115841,0.642233
1,2,-1,0.05,0.05,0.7,0.7,-1,-1,0.115841,0.642233
1,2,-1,0.05,0.05,0.75,0.75,-1,-1,0.115841,0.642233
1,2,-1,0.05,0.05,0.8,0.8,-1,-1,0.115841,0.642233
1,2,-1,0.05,0.05,0.85,0.85,-1,-1,0.115841,0.642233
1,2,-1,0.05,0.05,0.9,0.9,-1,-1,0.115841,0.642233
1,2,-1,0.05,0.05,0.95,0.95,-1,-1,0.115841,0.642233
1,2,-1,0.05,0.05,1.0,1.0,-1,-1,0.115841,0.642233
1,2,-1,0.1,0.05,0.05,0.05,-1,-1,0.116883,0.6208
1,2,-1,0.1,0.05,0.1,0.1,-1,-1,0.118561,0.6061
1,2,-1,0.1,0.05,0.15,0.15,-1,-1,0.120181,0.59379
1,2,-1,0.1,0.05,0.2,0.2,-1,-1,0.122264,0.581118
1,2,-1,0.1,0.05,0.25,0.25,-1,-1,0.124579,0.569388
1,2,-1,0.1,0.05,0.3,0.3,-1,-1,0.126778,0.558381
1,2,-1,0.1,0.05,0.35,0.35,-1,-1,0.129411,0.547882
1,2,-1,0.1,0.05,0.4,0.4,-1,-1,0.132652,0.535789
1,2,-1,0.1,0.05,0.45,0.45,-1,-1,0.136789,0.524059
1,2,-1,0.1,0.05,0.5,0.5,-1,-1,0.141564,0.51327
1,2,-1,0.1,0.05,0.55,0.55,-1,-1,0.145817,0.505522
1,2,-1,0.1,0.05,0.6,0.6,-1,-1,0.149955,0.498064
1,2,-1,0.1,0.05,0.65,0.65,-1,-1,0.153861,0.490967
1,2,-1,0.1,0.05,0.7,0.7,-1,-1,0.158664,0.484233
1,2,-1,0.1,0.05,0.75,0.75,-1,-1,0.163091,0.47844
1,2,-1,0.1,0.05,0.8,0.8,-1,-1,0.167865,0.47272
1,2,-1,0.1,0.05,0.85,0.85,-1,-1,0.17261,0.467651
1,2,-1,0.1,0.05,0.9,0.9,-1,-1,0.177182,0.463379
1,2,-1,0.1,0.05,0.95,0.95,-1,-1,0.183345,0.459179
1,2,-1,0.1,0.05,1.0,1.0,-1,-1,0.211006,0.451576
1,2,-1,0.15,0.05,0.05,0.05,-1,-1,0.117701,0.608588
1,2,-1,0.15,0.05,0.1,0.1,-1,-1,0.120698,0.585514
1,2,-1,0.15,0.05,0.15,0.15,-1,-1,0.123592,0.566192
1,2,-1,0.15,0.05,0.2,0.2,-1,-1,0.127313,0.5463
1,2,-1,0.15,0.05,0.25,0.25,-1,-1,0.131447,0.527887
1,2,-1,0.15,0.05,0.3,0.3,-1,-1,0.135374,0.51061
1,2,-1,0.15,0.05,0.35,0.35,-1,-1,0.140077,0.494128
