sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR,FRR
1,2,-1,0.05,0.05,0.05,0.05,-1,-1,0.046429,0.528571
1,2,-1,0.05,0.05,0.1,0.1,-1,-1,0.046429,0.528571
1,2,-1,0.05,0.05,0.15,0.15,-1,-1,0.046429,0.528571
1,2,-1,0.05,0.05,0.2,0.2,-1,-1,0.046429,0.528571
1,2,-1,0.05,0.05,0.25,0.25,-1,-1,0.046429,0.528571
1,2,-1,0.05,0.05,0.3,0.3,-1,-1,0.046429,0.528571
1,2,-1,0.05,0.05,0.35,0.35,-1,-1,0.046429,0.528571
1,2,-1,0.05,0.05,0.4,0.4,-1,-1,0.046429,0.528571
1,2,-1,0.05,0.05,0.45,0.45,-1,-1,0.046429,0.528571
1,2,-1,0.05,0.05,0.5,0.5,-1,-1,0.046429,0.528571
1,2,-1,0.05,0.05,0.55,0.55,-1,-1,0.046429,0.528571
1,2,-1,0.05,0.05,0.6,0.6,-1,-1,0.046429,0.528571
1,2,-1,0.05,0.05,0.65,0.65,-1,-1,0.046429,0.528571
1,2,-1,0.05,0.05,0.7,0.7,-1,-1,0.046429,0.528571
1,2,-1,0.05,0.05,0.75,0.75,-1,-1,0.046429,0.528571
1,2,-1,0.05,0.05,0.8,0.8,-1,-1,0.046429,0.528571
1,2,-1,0.05,0.05,0.85,0.85,-1,-1,0.046429,0.528571
1,2,-1,0.05,0.05,0.9,0.9,-1,-1,0.046429,0.528571
1,2,-1,0.05,0.05,0.95,0.95,-1,-1,0.046429,0.528571
1,2,-1,0.05,0.05,1.0,1.0,-1,-1,0.046429,0.528571
1,2,-1,0.1,0.05,0.05,0.05,-1,-1,0.046525,0.504081
1,2,-1,0.1,0.05,0.1,0.1,-1,-1,0.04662,0.492857
1,2,-1,0.1,0.05,0.15,0.15,-1,-1,0.04662,0.478571
1,2,-1,0.1,0.05,0.2,0.2,-1,-1,0.04662,0.463265
1,2,-1,0.1,0.05,0.25,0.25,-1,-1,0.046716,0.452041
1,2,-1,0.1,0.05,0.3,0.3,-1,-1,0.046812,0.447959
1,2,-1,0.1,0.05,0.35,0.35,-1,-1,0.046812,0.440816
1,2,-1,0.1,0.05,0.4,0.4,-1,-1,0.047003,0.427551
1,2,-1,0.1,0.05,0.45,0.45,-1,-1,0.047003,0.420408
1,2,-1,0.1,0.05,0.5,0.5,-1,-1,0.047099,0.411224
1,2,-1,0.1,0.05,0.55,0.55,-1,-1,0.047386,0.405102
1,2,-1,0.1,0.05,0.6,0.6,-1,-1,0.047768,0.404081
1,2,-1,0.1,0.05,0.65,0.65,-1,-1,0.048055,0.4
1,2,-1,0.1,0.05,0.7,0.7,-1,-1,0.048342,0.397959
1,2,-1,0.1,0.05,0.75,0.75,-1,-1,0.048821,0.394898
1,2,-1,0.1,0.05,0.8,0.8,-1,-1,0.049395,0.392857
1,2,-1,0.1,0.05,0.85,0.85,-1,-1,0.050256,0.391836
1,2,-1,0.1,0.05,0.9,0.9,-1,-1,0.051499,0.387755
1,2,-1,0.1,0.05,0.95,0.95,-1,-1,0.054656,0.386734
1,2,-1,0.1,0.05,1.0,1.0,-1,-1,0.1,0.385714
1,2,-1,0.15,0.05,0.05,0.05,-1,-1,0.046592,0.486938
1,2,-1,0.15,0.05,0.1,0.1,-1,-1,0.046754,0.467857
1,2,-1,0.15,0.05,0.15,0.15,-1,-1,0.046754,0.443571
1,2,-1,0.15,0.05,0.2,0.2,-1,-1,0.046754,0.417551
1,2,-1,0.15,0.05,0.25,0.25,-1,-1,0.046917,0.398469
1,2,-1,0.15,0.05,0.3,0.3,-1,-1,0.04708,0.39153
1,2,-1,0.15,0.05,0.35,0.35,-1,-1,0.04708,0.379387
1,2,-1,0.15,0.05,0.4,0.4,-1,-1,0.047405,0.356836
1,2,-1,0.15,0.05,0.45,0.45,-1,-1,0.047405,0.344694
1,2,-1,0.15,0.05,0.5,0.5,-1,-1,0.047567,0.329081
1,2,-1,0.15,0.05,0.55,0.55,-1,-1,0.048055,0.318673
1,2,-1,0.15,0.05,0.6,0.6,-1,-1,0.048706,0.316938
1,2,-1,0.15,0.05,0.65,0.65,-1,-1,0.049194,0.31
1,2,-1,0.15,0.05,0.7,0.7,-1,-1,0.049682,0.30653
1,2,-1,0.15,0.05,0.75,0.75,-1,-1,0.050495,0.301326
1,2,-1,0.15,0.05,0.8,0.8,-1,-1,0.05147,0.297857
1,2,-1,0.15,0.05,0.85,0.85,-1,-1,0.052934,0.296122
1,2,-1,0.15,0.05,0.9,0.9,-1,-1,0.055048,0.289183
1,2,-1,0.15,0.05,0.95,0.95,-1,-1,0.060415,0.287449
1,2,-1,0.15,0.05,1.0,1.0,-1,-1,0.1375,0.285714
1,2,-1,0.2,0.05,0.05,0.05,-1,-1,0.046694,0.473469
1,2,-1,0.2,0.05,0.1,0.1,-1,-1,0.046958,0.448214
1,2,-1,0.2,0.05,0.15,0.15,-1,-1,0.046958,0.416071
1,2,-1,0.2,0.05,0.2,0.2,-1,-1,0.046958,0.381632
1,2,-1,0.2,0.05,0.25,0.25,-1,-1,0.047223,0.356378
1,2,-1,0.2,0.05,0.3,0.3,-1,-1,0.047488,0.347194
1,2,-1,0.2,0.05,0.35,0.35,-1,-1,0.047488,0.331122
1,2,-1,0.2,0.05,0.4,0.4,-1,-1,0.048017,0.301275
1,2,-1,0.2,0.05,0.45,0.45,-1,-1,0.048017,0.285204
1,2,-1,0.2,0.05,0.5,0.5,-1,-1,0.048282,0.264541
1,2,-1,0.2,0.05,0.55,0.55,-1,-1,0.049076,0.250765
1,2,-1,0.2,0.05,0.6,0.6,-1,-1,0.050134,0.248469
1,2,-1,0.2,0.05,0.65,0.65,-1,-1,0.050928,0.239286
1,2,-1,0.2,0.05,0.7,0.7,-1,-1,0.051722,0.234694
1,2,-1,0.2,0.05,0.75,0.75,-1,-1,0.053046,0.227806
1,2,-1,0.2,0.05,0.8,0.8,-1,-1,0.054634,0.223214
