sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR,FRR
1,-1,2,0.05,0.05,-1,-1,0.05,0.05,0.0,0.97191
1,-1,2,0.05,0.05,-1,-1,0.1,0.1,0.0,0.97191
1,-1,2,0.05,0.05,-1,-1,0.15,0.15,0.0,0.97191
1,-1,2,0.05,0.05,-1,-1,0.2,0.2,0.0,0.97191
1,-1,2,0.05,0.05,-1,-1,0.25,0.25,0.0,0.97191
1,-1,2,0.05,0.05,-1,-1,0.3,0.3,0.0,0.97191
1,-1,2,0.05,0.05,-1,-1,0.35,0.35,0.0,0.97191
1,-1,2,0.05,0.05,-1,-1,0.4,0.4,0.0,0.97191
1,-1,2,0.05,0.05,-1,-1,0.45,0.45,0.0,0.97191
1,-1,2,0.05,0.05,-1,-1,0.5,0.5,0.0,0.97191
1,-1,2,0.05,0.05,-1,-1,0.55,0.55,0.0,0.97191
1,-1,2,0.05,0.05,-1,-1,0.6,0.6,0.0,0.97191
1,-1,2,0.05,0.05,-1,-1,0.65,0.65,0.0,0.97191
1,-1,2,0.05,0.05,-1,-1,0.7,0.7,0.0,0.97191
1,-1,2,0.05,0.05,-1,-1,0.75,0.75,0.0,0.97191
1,-1,2,0.05,0.05,-1,-1,0.8,0.8,0.0,0.97191
1,-1,2,0.05,0.05,-1,-1,0.85,0.85,0.0,0.97191
1,-1,2,0.05,0.05,-1,-1,0.9,0.9,0.0,0.97191
1,-1,2,0.05,0.05,-1,-1,0.95,0.95,0.0,0.97191
1,-1,2,0.05,0.05,-1,-1,1.0,1.0,0.0,0.97191
1,-1,2,0.1,0.05,-1,-1,0.05,0.05,0.0,0.97191
1,-1,2,0.1,0.05,-1,-1,0.1,0.1,0.0,0.971026
1,-1,2,0.1,0.05,-1,-1,0.15,0.15,0.0,0.970143
1,-1,2,0.1,0.05,-1,-1,0.2,0.2,0.0,0.967933
1,-1,2,0.1,0.05,-1,-1,0.25,0.25,0.0,0.964398
1,-1,2,0.1,0.05,-1,-1,0.3,0.3,4.3e-05,0.958654
1,-1,2,0.1,0.05,-1,-1,0.35,0.35,0.000104,0.95291
1,-1,2,0.1,0.05,-1,-1,0.4,0.4,0.000216,0.944072
1,-1,2,0.1,0.05,-1,-1,0.45,0.45,0.000311,0.936561
1,-1,2,0.1,0.05,-1,-1,0.5,0.5,0.000554,0.925956
1,-1,2,0.1,0.05,-1,-1,0.55,0.55,0.000908,0.911816
1,-1,2,0.1,0.05,-1,-1,0.6,0.6,0.001228,0.903863
1,-1,2,0.1,0.05,-1,-1,0.65,0.65,0.001644,0.899002
1,-1,2,0.1,0.05,-1,-1,0.7,0.7,0.002033,0.895909
1,-1,2,0.1,0.05,-1,-1,0.75,0.75,0.002379,0.894584
1,-1,2,0.1,0.05,-1,-1,0.8,0.8,0.002604,0.893258
1,-1,2,0.1,0.05,-1,-1,0.85,0.85,0.002803,0.893258
1,-1,2,0.1,0.05,-1,-1,0.9,0.9,0.002898,0.893258
1,-1,2,0.1,0.05,-1,-1,0.95,0.95,0.002932,0.893258
1,-1,2,0.1,0.05,-1,-1,1.0,1.0,0.002941,0.893258
1,-1,2,0.15,0.05,-1,-1,0.05,0.05,0.0,0.97191
1,-1,2,0.15,0.05,-1,-1,0.1,0.1,0.0,0.970395
1,-1,2,0.15,0.05,-1,-1,0.15,0.15,0.0,0.96888
1,-1,2,0.15,0.05,-1,-1,0.2,0.2,0.0,0.965093
1,-1,2,0.15,0.05,-1,-1,0.25,0.25,0.0,0.959033
1,-1,2,0.15,0.05,-1,-1,0.3,0.3,0.00013,0.949186
1,-1,2,0.15,0.05,-1,-1,0.35,0.35,0.000311,0.939338
1,-1,2,0.15,0.05,-1,-1,0.4,0.4,0.000649,0.924189
1,-1,2,0.15,0.05,-1,-1,0.45,0.45,0.000934,0.911312
1,-1,2,0.15,0.05,-1,-1,0.5,0.5,0.001661,0.893132
1,-1,2,0.15,0.05,-1,-1,0.55,0.55,0.002725,0.868893
1,-1,2,0.15,0.05,-1,-1,0.6,0.6,0.003685,0.855258
1,-1,2,0.15,0.05,-1,-1,0.65,0.65,0.004931,0.846926
1,-1,2,0.15,0.05,-1,-1,0.7,0.7,0.006099,0.841624
1,-1,2,0.15,0.05,-1,-1,0.75,0.75,0.007137,0.839351
1,-1,2,0.15,0.05,-1,-1,0.8,0.8,0.007812,0.837079
1,-1,2,0.15,0.05,-1,-1,0.85,0.85,0.008409,0.837079
