sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR,FRR
1,-1,2,0.05,0.05,-1,-1,0.05,0.05,0.115841,0.642233
1,-1,2,0.05,0.05,-1,-1,0.1,0.1,0.115841,0.642233
1,-1,2,0.05,0.05,-1,-1,0.15,0.15,0.115841,0.642233
1,-1,2,0.05,0.05,-1,-1,0.2,0.2,0.115841,0.642233
1,-1,2,0.05,0.05,-1,-1,0.25,0.25,0.115841,0.642233
1,-1,2,0.05,0.05,-1,-1,0.3,0.3,0.115841,0.642233
1,-1,2,0.05,0.05,-1,-1,0.35,0.35,0.115841,0.642233
1,-1,2,0.05,0.05,-1,-1,0.4,0.4,0.115841,0.642233
1,-1,2,0.05,0.05,-1,-1,0.45,0.45,0.115841,0.642233
1,-1,2,0.05,0.05,-1,-1,0.5,0.5,0.115841,0.642233
1,-1,2,0.05,0.05,-1,-1,0.55,0.55,0.115841,0.642233
1,-1,2,0.05,0.05,-1,-1,0.6,0.6,0.115841,0.642233
1,-1,2,0.05,0.05,-1,-1,0.65,0.65,0.115841,0.642233
1,-1,2,0.05,0.05,-1,-1,0.7,0.7,0.115841,0.642233
1,-1,2,0.05,0.05,-1,-1,0.75,0.75,0.115841,0.642233
1,-1,2,0.05,0.05,-1,-1,0.8,0.8,0.115841,0.642233
1,-1,2,0.05,0.05,-1,-1,0.85,0.85,0.115841,0.642233
1,-1,2,0.05,0.05,-1,-1,0.9,0.9,0.115841,0.642233
1,-1,2,0.05,0.05,-1,-1,0.95,0.95,0.115841,0.642233
1,-1,2,0.05,0.05,-1,-1,1.0,1.0,0.115841,0.642233
1,-1,2,0.1,0.05,-1,-1,0.05,0.05,0.11587,0.638902
1,-1,2,0.1,0.05,-1,-1,0.1,0.1,0.116217,0.630285
1,-1,2,0.1,0.05,-1,-1,0.15,0.15,0.117085,0.619568
1,-1,2,0.1,0.05,-1,-1,0.2,0.2,0.118329,0.6082
1,-1,2,0.1,0.05,-1,-1,0.25,0.25,0.11995,0.594949
1,-1,2,0.1,0.05,-1,-1,0.3,0.3,0.122641,0.579236
1,-1,2,0.1,0.05,-1,-1,0.35,0.35,0.126084,0.564247
1,-1,2,0.1,0.05,-1,-1,0.4,0.4,0.130337,0.549692
1,-1,2,0.1,0.05,-1,-1,0.45,0.45,0.135748,0.533255
1,-1,2,0.1,0.05,-1,-1,0.5,0.5,0.146453,0.509867
1,-1,2,0.1,0.05,-1,-1,0.55,0.55,0.153513,0.493502
1,-1,2,0.1,0.05,-1,-1,0.6,0.6,0.160545,0.480757
1,-1,2,0.1,0.05,-1,-1,0.65,0.65,0.167489,0.471779
1,-1,2,0.1,0.05,-1,-1,0.7,0.7,0.17423,0.464972
1,-1,2,0.1,0.05,-1,-1,0.75,0.75,0.179496,0.46012
1,-1,2,0.1,0.05,-1,-1,0.8,0.8,0.184878,0.455341
1,-1,2,0.1,0.05,-1,-1,0.85,0.85,0.188987,0.453531
1,-1,2,0.1,0.05,-1,-1,0.9,0.9,0.193443,0.452517
1,-1,2,0.1,0.05,-1,-1,0.95,0.95,0.198391,0.451793
1,-1,2,0.1,0.05,-1,-1,1.0,1.0,0.211006,0.451576
1,-1,2,0.15,0.05,-1,-1,0.05,0.05,0.115893,0.637004
1,-1,2,0.15,0.05,-1,-1,0.1,0.1,0.116513,0.623478
1,-1,2,0.15,0.05,-1,-1,0.15,0.15,0.118063,0.606656
1,-1,2,0.15,0.05,-1,-1,0.2,0.2,0.120285,0.588811
1,-1,2,0.15,0.05,-1,-1,0.25,0.25,0.123179,0.56801
1,-1,2,0.15,0.05,-1,-1,0.3,0.3,0.127985,0.543345
1,-1,2,0.15,0.05,-1,-1,0.35,0.35,0.134134,0.519817
1,-1,2,0.15,0.05,-1,-1,0.4,0.4,0.14173,0.49697
1,-1,2,0.15,0.05,-1,-1,0.45,0.45,0.151394,0.471168
