sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR,FRR
1,-1,2,0.05,0.05,-1,-1,0.05,0.05,0.148598,0.623758
1,-1,2,0.05,0.05,-1,-1,0.1,0.1,0.148598,0.623758
1,-1,2,0.05,0.05,-1,-1,0.15,0.15,0.148598,0.623758
1,-1,2,0.05,0.05,-1,-1,0.2,0.2,0.148598,0.623758
1,-1,2,0.05,0.05,-1,-1,0.25,0.25,0.148598,0.623758
1,-1,2,0.05,0.05,-1,-1,0.3,0.3,0.148598,0.623758
1,-1,2,0.05,0.05,-1,-1,0.35,0.35,0.148598,0.623758
1,-1,2,0.05,0.05,-1,-1,0.4,0.4,0.148598,0.623758
1,-1,2,0.05,0.05,-1,-1,0.45,0.45,0.148598,0.623758
1,-1,2,0.05,0.05,-1,-1,0.5,0.5,0.148598,0.623758
1,-1,2,0.05,0.05,-1,-1,0.55,0.55,0.148598,0.623758
1,-1,2,0.05,0.05,-1,-1,0.6,0.6,0.148598,0.623758
1,-1,2,0.05,0.05,-1,-1,0.65,0.65,0.148598,0.623758
1,-1,2,0.05,0.05,-1,-1,0.7,0.7,0.148598,0.623758
1,-1,2,0.05,0.05,-1,-1,0.75,0.75,0.148598,0.623758
1,-1,2,0.05,0.05,-1,-1,0.8,0.8,0.148598,0.623758
1,-1,2,0.05,0.05,-1,-1,0.85,0.85,0.148598,0.623758
1,-1,2,0.05,0.05,-1,-1,0.9,0.9,0.148598,0.623758
1,-1,2,0.05,0.05,-1,-1,0.95,0.95,0.148598,0.623758
1,-1,2,0.05,0.05,-1,-1,1.0,1.0,0.148598,0.623758
1,-1,2,0.1,0.05,-1,-1,0.05,0.05,0.148647,0.620178
1,-1,2,0.1,0.05,-1,-1,0.1,0.1,0.14924,0.610397
1,-1,2,0.1,0.05,-1,-1,0.15,0.15,0.150723,0.598957
1,-1,2,0.1,0.05,-1,-1,0.2,0.2,0.152847,0.586644
1,-1,2,0.1,0.05,-1,-1,0.25,0.25,0.155515,0.572934
1,-1,2,0.1,0.05,-1,-1,0.3,0.3,0.159765,0.55608
1,-1,2,0.1,0.05,-1,-1,0.35,0.35,0.165249,0.540362
1,-1,2,0.1,0.05,-1,-1,0.4,0.4,0.17187,0.525516
1,-1,2,0.1,0.05,-1,-1,0.45,0.45,0.180566,0.508313
1,-1,2,0.1,0.05,-1,-1,0.5,0.5,0.197267,0.482552
1,-1,2,0.1,0.05,-1,-1,0.55,0.55,0.207149,0.466484
1,-1,2,0.1,0.05,-1,-1,0.6,0.6,0.21713,0.453297
1,-1,2,0.1,0.05,-1,-1,0.65,0.65,0.226271,0.443779
1,-1,2,0.1,0.05,-1,-1,0.7,0.7,0.235115,0.436356
1,-1,2,0.1,0.05,-1,-1,0.75,0.75,0.24144,0.431291
