sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR,FRR
1,-1,2,0.05,0.05,-1,-1,0.05,0.05,0.046429,0.528571
1,-1,2,0.05,0.05,-1,-1,0.1,0.1,0.046429,0.528571
1,-1,2,0.05,0.05,-1,-1,0.15,0.15,0.046429,0.528571
1,-1,2,0.05,0.05,-1,-1,0.2,0.2,0.046429,0.528571
1,-1,2,0.05,0.05,-1,-1,0.25,0.25,0.046429,0.528571
1,-1,2,0.05,0.05,-1,-1,0.3,0.3,0.046429,0.528571
1,-1,2,0.05,0.05,-1,-1,0.35,0.35,0.046429,0.528571
1,-1,2,0.05,0.05,-1,-1,0.4,0.4,0.046429,0.528571
1,-1,2,0.05,0.05,-1,-1,0.45,0.45,0.046429,0.528571
1,-1,2,0.05,0.05,-1,-1,0.5,0.5,0.046429,0.528571
1,-1,2,0.05,0.05,-1,-1,0.55,0.55,0.046429,0.528571
1,-1,2,0.05,0.05,-1,-1,0.6,0.6,0.046429,0.528571
1,-1,2,0.05,0.05,-1,-1,0.65,0.65,0.046429,0.528571
1,-1,2,0.05,0.05,-1,-1,0.7,0.7,0.046429,0.528571
1,-1,2,0.05,0.05,-1,-1,0.75,0.75,0.046429,0.528571
1,-1,2,0.05,0.05,-1,-1,0.8,0.8,0.046429,0.528571
1,-1,2,0.05,0.05,-1,-1,0.85,0.85,0.046429,0.528571
1,-1,2,0.05,0.05,-1,-1,0.9,0.9,0.046429,0.528571
1,-1,2,0.05,0.05,-1,-1,0.95,0.95,0.046429,0.528571
1,-1,2,0.05,0.05,-1,-1,1.0,1.0,0.046429,0.528571
1,-1,2,0.1,0.05,-1,-1,0.05,0.05,0.046429,0.523469
1,-1,2,0.1,0.05,-1,-1,0.1,0.1,0.046429,0.518367
1,-1,2,0.1,0.05,-1,-1,0.15,0.15,0.046429,0.503061
1,-1,2,0.1,0.05,-1,-1,0.2,0.2,0.046429,0.491836
1,-1,2,0.1,0.05,-1,-1,0.25,0.25,0.04662,0.473469
1,-1,2,0.1,0.05,-1,-1,0.3,0.3,0.046812,0.462244
1,-1,2,0.1,0.05,-1,-1,0.35,0.35,0.046907,0.447959
1,-1,2,0.1,0.05,-1,-1,0.4,0.4,0.046907,0.436734
1,-1,2,0.1,0.05,-1,-1,0.45,0.45,0.046907,0.423469
1,-1,2,0.1,0.05,-1,-1,0.5,0.5,0.04729,0.419387
1,-1,2,0.1,0.05,-1,-1,0.55,0.55,0.047577,0.409183
1,-1,2,0.1,0.05,-1,-1,0.6,0.6,0.04796,0.402041
1,-1,2,0.1,0.05,-1,-1,0.65,0.65,0.048629,0.397959
1,-1,2,0.1,0.05,-1,-1,0.7,0.7,0.04949,0.395918
1,-1,2,0.1,0.05,-1,-1,0.75,0.75,0.050829,0.389796
1,-1,2,0.1,0.05,-1,-1,0.8,0.8,0.053604,0.388775
1,-1,2,0.1,0.05,-1,-1,0.85,0.85,0.056091,0.386734
1,-1,2,0.1,0.05,-1,-1,0.9,0.9,0.060109,0.386734
1,-1,2,0.1,0.05,-1,-1,0.95,0.95,0.066901,0.385714
1,-1,2,0.1,0.05,-1,-1,1.0,1.0,0.1,0.385714
1,-1,2,0.15,0.05,-1,-1,0.05,0.05,0.046429,0.519898
1,-1,2,0.15,0.05,-1,-1,0.1,0.1,0.046429,0.511224
1,-1,2,0.15,0.05,-1,-1,0.15,0.15,0.046429,0.485204
1,-1,2,0.15,0.05,-1,-1,0.2,0.2,0.046429,0.466122
1,-1,2,0.15,0.05,-1,-1,0.25,0.25,0.046754,0.434898
1,-1,2,0.15,0.05,-1,-1,0.3,0.3,0.04708,0.415816
1,-1,2,0.15,0.05,-1,-1,0.35,0.35,0.047242,0.39153
1,-1,2,0.15,0.05,-1,-1,0.4,0.4,0.047242,0.372449
1,-1,2,0.15,0.05,-1,-1,0.45,0.45,0.047242,0.349898
1,-1,2,0.15,0.05,-1,-1,0.5,0.5,0.047893,0.342959
1,-1,2,0.15,0.05,-1,-1,0.55,0.55,0.048381,0.325612
1,-1,2,0.15,0.05,-1,-1,0.6,0.6,0.049031,0.313469
1,-1,2,0.15,0.05,-1,-1,0.65,0.65,0.050169,0.30653
1,-1,2,0.15,0.05,-1,-1,0.7,0.7,0.051633,0.303061
1,-1,2,0.15,0.05,-1,-1,0.75,0.75,0.05391,0.292653
1,-1,2,0.15,0.05,-1,-1,0.8,0.8,0.058626,0.290918
1,-1,2,0.15,0.05,-1,-1,0.85,0.85,0.062854,0.287449
1,-1,2,0.15,0.05,-1,-1,0.9,0.9,0.069685,0.287449
1,-1,2,0.15,0.05,-1,-1,0.95,0.95,0.081231,0.285714
1,-1,2,0.15,0.05,-1,-1,1.0,1.0,0.1375,0.285714
1,-1,2,0.2,0.05,-1,-1,0.05,0.05,0.046429,0.517092
1,-1,2,0.2,0.05,-1,-1,0.1,0.1,0.046429,0.505612
1,-1,2,0.2,0.05,-1,-1,0.15,0.15,0.046429,0.471173
1,-1,2,0.2,0.05,-1,-1,0.2,0.2,0.046429,0.445918
1,-1,2,0.2,0.05,-1,-1,0.25,0.25,0.046958,0.404592
1,-1,2,0.2,0.05,-1,-1,0.3,0.3,0.047488,0.379336
1,-1,2,0.2,0.05,-1,-1,0.35,0.35,0.047752,0.347194
1,-1,2,0.2,0.05,-1,-1,0.4,0.4,0.047752,0.321939
1,-1,2,0.2,0.05,-1,-1,0.45,0.45,0.047752,0.292092
1,-1,2,0.2,0.05,-1,-1,0.5,0.5,0.048811,0.282908
1,-1,2,0.2,0.05,-1,-1,0.55,0.55,0.049605,0.259949
1,-1,2,0.2,0.05,-1,-1,0.6,0.6,0.050664,0.243878
1,-1,2,0.2,0.05,-1,-1,0.65,0.65,0.052516,0.234694
1,-1,2,0.2,0.05,-1,-1,0.7,0.7,0.054898,0.230102
1,-1,2,0.2,0.05,-1,-1,0.75,0.75,0.058604,0.216327
1,-1,2,0.2,0.05,-1,-1,0.8,0.8,0.066279,0.214031
1,-1,2,0.2,0.05,-1,-1,0.85,0.85,0.07316,0.209439
1,-1,2,0.2,0.05,-1,-1,0.9,0.9,0.084276,0.209439
1,-1,2,0.2,0.05,-1,-1,0.95,0.95,0.103068,0.207143
1,-1,2,0.2,0.05,-1,-1,1.0,1.0,0.194643,0.207143
1,-1,2,0.25,0.05,-1,-1,0.05,0.05,0.046429,0.515561
1,-1,2,0.25,0.05,-1,-1,0.1,0.1,0.046429,0.50255
1,-1,2,0.25,0.05,-1,-1,0.15,0.15,0.046429,0.46352
1,-1,2,0.25,0.05,-1,-1,0.2,0.2,0.046429,0.434898
1,-1,2,0.25,0.05,-1,-1,0.25,0.25,0.047099,0.388061
1,-1,2,0.25,0.05,-1,-1,0.3,0.3,0.047768,0.359439
1,-1,2,0.25,0.05,-1,-1,0.35,0.35,0.048103,0.32301
1,-1,2,0.25,0.05,-1,-1,0.4,0.4,0.048103,0.294388
1,-1,2,0.25,0.05,-1,-1,0.45,0.45,0.048103,0.260561
1,-1,2,0.25,0.05,-1,-1,0.5,0.5,0.049442,0.250153
1,-1,2,0.25,0.05,-1,-1,0.55,0.55,0.050447,0.224133
1,-1,2,0.25,0.05,-1,-1,0.6,0.6,0.051786,0.205919
1,-1,2,0.25,0.05,-1,-1,0.65,0.65,0.05413,0.19551
1,-1,2,0.25,0.05,-1,-1,0.7,0.7,0.057143,0.190307
1,-1,2,0.25,0.05,-1,-1,0.75,0.75,0.061831,0.174694
1,-1,2,0.25,0.05,-1,-1,0.8,0.8,0.071541,0.172092
1,-1,2,0.25,0.05,-1,-1,0.85,0.85,0.080246,0.166888
1,-1,2,0.25,0.05,-1,-1,0.9,0.9,0.094308,0.166888
1,-1,2,0.25,0.05,-1,-1,0.95,0.95,0.118081,0.164286
1,-1,2,0.25,0.05,-1,-1,1.0,1.0,0.233929,0.164286
1,-1,2,0.3,0.05,-1,-1,0.05,0.05,0.046429,0.514541
1,-1,2,0.3,0.05,-1,-1,0.1,0.1,0.046429,0.50051
1,-1,2,0.3,0.05,-1,-1,0.15,0.15,0.046429,0.458418
1,-1,2,0.3,0.05,-1,-1,0.2,0.2,0.046429,0.427551
1,-1,2,0.3,0.05,-1,-1,0.25,0.25,0.047188,0.377041
1,-1,2,0.3,0.05,-1,-1,0.3,0.3,0.047947,0.346173
1,-1,2,0.3,0.05,-1,-1,0.35,0.35,0.048326,0.306887
1,-1,2,0.3,0.05,-1,-1,0.4,0.4,0.048326,0.27602
1,-1,2,0.3,0.05,-1,-1,0.45,0.45,0.048326,0.239541
1,-1,2,0.3,0.05,-1,-1,0.5,0.5,0.049844,0.228316
1,-1,2,0.3,0.05,-1,-1,0.55,0.55,0.050983,0.200255
1,-1,2,0.3,0.05,-1,-1,0.6,0.6,0.0525,0.180612
1,-1,2,0.3,0.05,-1,-1,0.65,0.65,0.055157,0.169387
1,-1,2,0.3,0.05,-1,-1,0.7,0.7,0.058572,0.163775
1,-1,2,0.3,0.05,-1,-1,0.75,0.75,0.063884,0.146938
1,-1,2,0.3,0.05,-1,-1,0.8,0.8,0.074889,0.144133
1,-1,2,0.3,0.05,-1,-1,0.85,0.85,0.084755,0.13852
1,-1,2,0.3,0.05,-1,-1,0.9,0.9,0.100692,0.13852
1,-1,2,0.3,0.05,-1,-1,0.95,0.95,0.127634,0.135714
1,-1,2,0.3,0.05,-1,-1,1.0,1.0,0.258929,0.135714
1,-1,2,0.35,0.05,-1,-1,0.05,0.05,0.046429,0.513265
1,-1,2,0.35,0.05,-1,-1,0.1,0.1,0.046429,0.497959
1,-1,2,0.35,0.05,-1,-1,0.15,0.15,0.046429,0.452041
1,-1,2,0.35,0.05,-1,-1,0.2,0.2,0.046429,0.418367
1,-1,2,0.35,0.05,-1,-1,0.25,0.25,0.047303,0.363265
1,-1,2,0.35,0.05,-1,-1,0.3,0.3,0.048176,0.329591
1,-1,2,0.35,0.05,-1,-1,0.35,0.35,0.048613,0.286734
1,-1,2,0.35,0.05,-1,-1,0.4,0.4,0.048613,0.253061
1,-1,2,0.35,0.05,-1,-1,0.45,0.45,0.048613,0.213265
1,-1,2,0.35,0.05,-1,-1,0.5,0.5,0.050361,0.20102
1,-1,2,0.35,0.05,-1,-1,0.55,0.55,0.051671,0.170408
1,-1,2,0.35,0.05,-1,-1,0.6,0.6,0.053419,0.14898
1,-1,2,0.35,0.05,-1,-1,0.65,0.65,0.056477,0.136735
1,-1,2,0.35,0.05,-1,-1,0.7,0.7,0.060409,0.130612
1,-1,2,0.35,0.05,-1,-1,0.75,0.75,0.066525,0.112245
1,-1,2,0.35,0.05,-1,-1,0.8,0.8,0.079194,0.109184
1,-1,2,0.35,0.05,-1,-1,0.85,0.85,0.090552,0.103061
1,-1,2,0.35,0.05,-1,-1,0.9,0.9,0.1089,0.103061
1,-1,2,0.35,0.05,-1,-1,0.95,0.95,0.139917,0.1
1,-1,2,0.35,0.05,-1,-1,1.0,1.0,0.291071,0.1
1,-1,2,0.4,0.05,-1,-1,0.05,0.05,0.046429,0.512245
1,-1,2,0.4,0.05,-1,-1,0.1,0.1,0.046429,0.495918
1,-1,2,0.4,0.05,-1,-1,0.15,0.15,0.046429,0.446939
1,-1,2,0.4,0.05,-1,-1,0.2,0.2,0.046429,0.41102
1,-1,2,0.4,0.05,-1,-1,0.25,0.25,0.047405,0.352245
1,-1,2,0.4,0.05,-1,-1,0.3,0.3,0.048381,0.316326
1,-1,2,0.4,0.05,-1,-1,0.35,0.35,0.048869,0.270612
1,-1,2,0.4,0.05,-1,-1,0.4,0.4,0.048869,0.234694
1,-1,2,0.4,0.05,-1,-1,0.45,0.45,0.048869,0.192245
1,-1,2,0.4,0.05,-1,-1,0.5,0.5,0.05082,0.179184
1,-1,2,0.4,0.05,-1,-1,0.55,0.55,0.052284,0.146531
1,-1,2,0.4,0.05,-1,-1,0.6,0.6,0.054235,0.123674
1,-1,2,0.4,0.05,-1,-1,0.65,0.65,0.05765,0.110612
1,-1,2,0.4,0.05,-1,-1,0.7,0.7,0.062041,0.104082
1,-1,2,0.4,0.05,-1,-1,0.75,0.75,0.068872,0.08449
1,-1,2,0.4,0.05,-1,-1,0.8,0.8,0.08302,0.081225
1,-1,2,0.4,0.05,-1,-1,0.85,0.85,0.095705,0.074694
1,-1,2,0.4,0.05,-1,-1,0.9,0.9,0.116196,0.074694
1,-1,2,0.4,0.05,-1,-1,0.95,0.95,0.150836,0.071429
1,-1,2,0.4,0.05,-1,-1,1.0,1.0,0.319643,0.071429
1,-1,2,0.45,0.05,-1,-1,0.05,0.05,0.046429,0.511479
1,-1,2,0.45,0.05,-1,-1,0.1,0.1,0.046429,0.494387
1,-1,2,0.45,0.05,-1,-1,0.15,0.15,0.046429,0.443112
1,-1,2,0.45,0.05,-1,-1,0.2,0.2,0.046429,0.40551
1,-1,2,0.45,0.05,-1,-1,0.25,0.25,0.047526,0.343979
1,-1,2,0.45,0.05,-1,-1,0.3,0.3,0.048623,0.306377
1,-1,2,0.45,0.05,-1,-1,0.35,0.35,0.049171,0.25852
1,-1,2,0.45,0.05,-1,-1,0.4,0.4,0.049171,0.220918
1,-1,2,0.45,0.05,-1,-1,0.45,0.45,0.049171,0.17648
1,-1,2,0.45,0.05,-1,-1,0.5,0.5,0.051365,0.162806
1,-1,2,0.45,0.05,-1,-1,0.55,0.55,0.053011,0.128623
1,-1,2,0.45,0.05,-1,-1,0.6,0.6,0.055204,0.104694
1,-1,2,0.45,0.05,-1,-1,0.65,0.65,0.059044,0.09102
1,-1,2,0.45,0.05,-1,-1,0.7,0.7,0.06398,0.084184
1,-1,2,0.45,0.05,-1,-1,0.75,0.75,0.071659,0.063673
1,-1,2,0.45,0.05,-1,-1,0.8,0.8,0.087564,0.060255
1,-1,2,0.45,0.05,-1,-1,0.85,0.85,0.101824,0.053418
1,-1,2,0.45,0.05,-1,-1,0.9,0.9,0.12486,0.053418
1,-1,2,0.45,0.05,-1,-1,0.95,0.95,0.163801,0.05
1,-1,2,0.45,0.05,-1,-1,1.0,1.0,0.353571,0.05
1,-1,2,0.5,0.05,-1,-1,0.05,0.05,0.046429,0.511224
1,-1,2,0.5,0.05,-1,-1,0.1,0.1,0.046429,0.493877
1,-1,2,0.5,0.05,-1,-1,0.15,0.15,0.046429,0.441837
1,-1,2,0.5,0.05,-1,-1,0.2,0.2,0.046429,0.403673
1,-1,2,0.5,0.05,-1,-1,0.25,0.25,0.047692,0.341224
1,-1,2,0.5,0.05,-1,-1,0.3,0.3,0.048955,0.303061
1,-1,2,0.5,0.05,-1,-1,0.35,0.35,0.049586,0.254489
1,-1,2,0.5,0.05,-1,-1,0.4,0.4,0.049586,0.216326
1,-1,2,0.5,0.05,-1,-1,0.45,0.45,0.049586,0.171224
1,-1,2,0.5,0.05,-1,-1,0.5,0.5,0.052111,0.157347
1,-1,2,0.5,0.05,-1,-1,0.55,0.55,0.054006,0.122653
1,-1,2,0.5,0.05,-1,-1,0.6,0.6,0.056531,0.098367
1,-1,2,0.5,0.05,-1,-1,0.65,0.65,0.060951,0.084489
1,-1,2,0.5,0.05,-1,-1,0.7,0.7,0.066633,0.077551
1,-1,2,0.5,0.05,-1,-1,0.75,0.75,0.075472,0.056734
1,-1,2,0.5,0.05,-1,-1,0.8,0.8,0.093782,0.053265
1,-1,2,0.5,0.05,-1,-1,0.85,0.85,0.110198,0.046326
1,-1,2,0.5,0.05,-1,-1,0.9,0.9,0.136716,0.046326
1,-1,2,0.5,0.05,-1,-1,0.95,0.95,0.181544,0.042857
1,-1,2,0.5,0.05,-1,-1,1.0,1.0,0.4,0.042857
1,-1,2,0.55,0.05,-1,-1,0.05,0.05,0.046429,0.510714
1,-1,2,0.55,0.05,-1,-1,0.1,0.1,0.046429,0.492857
1,-1,2,0.55,0.05,-1,-1,0.15,0.15,0.046429,0.439285
1,-1,2,0.55,0.05,-1,-1,0.2,0.2,0.046429,0.4
1,-1,2,0.55,0.05,-1,-1,0.25,0.25,0.047819,0.335714
1,-1,2,0.55,0.05,-1,-1,0.3,0.3,0.04921,0.296428
1,-1,2,0.55,0.05,-1,-1,0.35,0.35,0.049905,0.246428
1,-1,2,0.55,0.05,-1,-1,0.4,0.4,0.049905,0.207143
1,-1,2,0.55,0.05,-1,-1,0.45,0.45,0.049905,0.160714
1,-1,2,0.55,0.05,-1,-1,0.5,0.5,0.052685,0.146428
1,-1,2,0.55,0.05,-1,-1,0.55,0.55,0.054771,0.110714
1,-1,2,0.55,0.05,-1,-1,0.6,0.6,0.057551,0.085714
1,-1,2,0.55,0.05,-1,-1,0.65,0.65,0.062417,0.071428
1,-1,2,0.55,0.05,-1,-1,0.7,0.7,0.068674,0.064285
1,-1,2,0.55,0.05,-1,-1,0.75,0.75,0.078406,0.042856
1,-1,2,0.55,0.05,-1,-1,0.8,0.8,0.098566,0.039286
1,-1,2,0.55,0.05,-1,-1,0.85,0.85,0.116639,0.032142
1,-1,2,0.55,0.05,-1,-1,0.9,0.9,0.145836,0.032142
1,-1,2,0.55,0.05,-1,-1,0.95,0.95,0.195192,0.028571
1,-1,2,0.55,0.05,-1,-1,1.0,1.0,0.435714,0.028571
1,-1,2,0.6,0.05,-1,-1,0.05,0.05,0.046429,0.510714
1,-1,2,0.6,0.05,-1,-1,0.1,0.1,0.046429,0.492857
1,-1,2,0.6,0.05,-1,-1,0.15,0.15,0.046429,0.439285
1,-1,2,0.6,0.05,-1,-1,0.2,0.2,0.046429,0.4
1,-1,2,0.6,0.05,-1,-1,0.25,0.25,0.047979,0.335714
1,-1,2,0.6,0.05,-1,-1,0.3,0.3,0.049529,0.296428
1,-1,2,0.6,0.05,-1,-1,0.35,0.35,0.050304,0.246428
1,-1,2,0.6,0.05,-1,-1,0.4,0.4,0.050304,0.207143
1,-1,2,0.6,0.05,-1,-1,0.45,0.45,0.050304,0.160714
1,-1,2,0.6,0.05,-1,-1,0.5,0.5,0.053403,0.146428
1,-1,2,0.6,0.05,-1,-1,0.55,0.55,0.055728,0.110714
1,-1,2,0.6,0.05,-1,-1,0.6,0.6,0.058827,0.085714
1,-1,2,0.6,0.05,-1,-1,0.65,0.65,0.064251,0.071428
1,-1,2,0.6,0.05,-1,-1,0.7,0.7,0.071225,0.064285
1,-1,2,0.6,0.05,-1,-1,0.75,0.75,0.082073,0.042856
1,-1,2,0.6,0.05,-1,-1,0.8,0.8,0.104545,0.039286
1,-1,2,0.6,0.05,-1,-1,0.85,0.85,0.124691,0.032142
1,-1,2,0.6,0.05,-1,-1,0.9,0.9,0.157236,0.032142
1,-1,2,0.6,0.05,-1,-1,0.95,0.95,0.212252,0.028571
1,-1,2,0.6,0.05,-1,-1,1.0,1.0,0.480357,0.028571
1,-1,2,0.65,0.05,-1,-1,0.05,0.05,0.046429,0.510714
1,-1,2,0.65,0.05,-1,-1,0.1,0.1,0.046429,0.492857
1,-1,2,0.65,0.05,-1,-1,0.15,0.15,0.046429,0.439285
1,-1,2,0.65,0.05,-1,-1,0.2,0.2,0.046429,0.4
1,-1,2,0.65,0.05,-1,-1,0.25,0.25,0.048106,0.335714
1,-1,2,0.65,0.05,-1,-1,0.3,0.3,0.049784,0.296428
1,-1,2,0.65,0.05,-1,-1,0.35,0.35,0.050622,0.246428
1,-1,2,0.65,0.05,-1,-1,0.4,0.4,0.050622,0.207143
1,-1,2,0.65,0.05,-1,-1,0.45,0.45,0.050622,0.160714
1,-1,2,0.65,0.05,-1,-1,0.5,0.5,0.053977,0.146428
1,-1,2,0.65,0.05,-1,-1,0.55,0.55,0.056493,0.110714
1,-1,2,0.65,0.05,-1,-1,0.6,0.6,0.059847,0.085714
1,-1,2,0.65,0.05,-1,-1,0.65,0.65,0.065718,0.071428
1,-1,2,0.65,0.05,-1,-1,0.7,0.7,0.073266,0.064285
1,-1,2,0.65,0.05,-1,-1,0.75,0.75,0.085007,0.042856
1,-1,2,0.65,0.05,-1,-1,0.8,0.8,0.109328,0.039286
1,-1,2,0.65,0.05,-1,-1,0.85,0.85,0.131132,0.032142
1,-1,2,0.65,0.05,-1,-1,0.9,0.9,0.166355,0.032142
1,-1,2,0.65,0.05,-1,-1,0.95,0.95,0.225899,0.028571
1,-1,2,0.65,0.05,-1,-1,1.0,1.0,0.516071,0.028571
1,-1,2,0.7,0.05,-1,-1,0.05,0.05,0.046429,0.510459
1,-1,2,0.7,0.05,-1,-1,0.1,0.1,0.046429,0.492346
1,-1,2,0.7,0.05,-1,-1,0.15,0.15,0.046429,0.43801
1,-1,2,0.7,0.05,-1,-1,0.2,0.2,0.046429,0.398163
