sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR,FRR
-1,1,-1,-1,-1,0.05,0.05,-1,-1,0.002941,0.910112
-1,1,-1,-1,-1,0.1,0.1,-1,-1,0.014706,0.820225
-1,1,-1,-1,-1,0.15,0.15,-1,-1,0.023529,0.719101
-1,1,-1,-1,-1,0.2,0.2,-1,-1,0.05,0.651685
-1,1,-1,-1,-1,0.25,0.25,-1,-1,0.094118,0.561798
-1,1,-1,-1,-1,0.3,0.3,-1,-1,0.132353,0.494382
-1,1,-1,-1,-1,0.35,0.35,-1,-1,0.167647,0.455056
-1,1,-1,-1,-1,0.4,0.4,-1,-1,0.226471,0.359551
-1,1,-1,-1,-1,0.45,0.45,-1,-1,0.270588,0.303371
-1,1,-1,-1,-1,0.5,0.5,-1,-1,0.344118,0.247191
-1,1,-1,-1,-1,0.55,0.55,-1,-1,0.444118,0.196629
-1,1,-1,-1,-1,0.6,0.6,-1,-1,0.529412,0.129213
-1,1,-1,-1,-1,0.65,0.65,-1,-1,0.6,0.095506
-1,1,-1,-1,-1,0.7,0.7,-1,-1,0.676471,0.061798
-1,1,-1,-1,-1,0.75,0.75,-1,-1,0.767647,0.039326
-1,1,-1,-1,-1,0.8,0.8,-1,-1,0.814706,0.022472
-1,1,-1,-1,-1,0.85,0.85,-1,-1,0.894118,0.011236
-1,1,-1,-1,-1,0.9,0.9,-1,-1,0.923529,0.005618
-1,1,-1,-1,-1,0.95,0.95,-1,-1,0.970588,0.0
-1,1,-1,-1,-1,1.0,1.0,-1,-1,1.0,0.0
