sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR,FRR
-1,-1,1,-1,-1,-1,-1,0.05,0.05,0.000304,0.982529
-1,-1,1,-1,-1,-1,-1,0.1,0.1,0.003953,0.937334
-1,-1,1,-1,-1,-1,-1,0.15,0.15,0.013074,0.881124
-1,-1,1,-1,-1,-1,-1,0.2,0.2,0.026148,0.821496
-1,-1,1,-1,-1,-1,-1,0.25,0.25,0.043174,0.751994
-1,-1,1,-1,-1,-1,-1,0.3,0.3,0.07145,0.669578
-1,-1,1,-1,-1,-1,-1,0.35,0.35,0.107631,0.590961
-1,-1,1,-1,-1,-1,-1,0.4,0.4,0.152326,0.514622
-1,-1,1,-1,-1,-1,-1,0.45,0.45,0.209182,0.428409
-1,-1,1,-1,-1,-1,-1,0.5,0.5,0.321678,0.305735
-1,-1,1,-1,-1,-1,-1,0.55,0.55,0.395865,0.219901
-1,-1,1,-1,-1,-1,-1,0.6,0.6,0.469748,0.153057
-1,-1,1,-1,-1,-1,-1,0.65,0.65,0.542718,0.105963
-1,-1,1,-1,-1,-1,-1,0.7,0.7,0.61356,0.070262
-1,-1,1,-1,-1,-1,-1,0.75,0.75,0.668896,0.044816
-1,-1,1,-1,-1,-1,-1,0.8,0.8,0.725448,0.019749
-1,-1,1,-1,-1,-1,-1,0.85,0.85,0.768623,0.010254
-1,-1,1,-1,-1,-1,-1,0.9,0.9,0.815445,0.004937
-1,-1,1,-1,-1,-1,-1,0.95,0.95,0.867437,0.001139
-1,-1,1,-1,-1,-1,-1,1.0,1.0,1.0,0.0
