sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR,FRR
-1,-1,1,-1,-1,-1,-1,0.05,0.05,0.000419,0.982289
-1,-1,1,-1,-1,-1,-1,0.1,0.1,0.005442,0.933909
-1,-1,1,-1,-1,-1,-1,0.15,0.15,0.017999,0.877322
-1,-1,1,-1,-1,-1,-1,0.2,0.2,0.035998,0.816415
-1,-1,1,-1,-1,-1,-1,0.25,0.25,0.058602,0.748596
-1,-1,1,-1,-1,-1,-1,0.3,0.3,0.0946,0.665227
-1,-1,1,-1,-1,-1,-1,0.35,0.35,0.141063,0.587473
-1,-1,1,-1,-1,-1,-1,0.4,0.4,0.197154,0.514039
-1,-1,1,-1,-1,-1,-1,0.45,0.45,0.270825,0.428942
-1,-1,1,-1,-1,-1,-1,0.5,0.5,0.412306,0.301512
-1,-1,1,-1,-1,-1,-1,0.55,0.55,0.496023,0.22203
-1,-1,1,-1,-1,-1,-1,0.6,0.6,0.580578,0.156803
-1,-1,1,-1,-1,-1,-1,0.65,0.65,0.658016,0.109719
-1,-1,1,-1,-1,-1,-1,0.7,0.7,0.732943,0.073002
-1,-1,1,-1,-1,-1,-1,0.75,0.75,0.786522,0.047948
-1,-1,1,-1,-1,-1,-1,0.8,0.8,0.841356,0.021166
-1,-1,1,-1,-1,-1,-1,0.85,0.85,0.880285,0.011231
-1,-1,1,-1,-1,-1,-1,0.9,0.9,0.922562,0.005184
-1,-1,1,-1,-1,-1,-1,0.95,0.95,0.962746,0.001296
-1,-1,1,-1,-1,-1,-1,1.0,1.0,1.0,0.0
