sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR,FRR
2,-1,1,0.05,0.05,-1,-1,0.05,0.05,0.000304,0.982529
2,-1,1,0.1,0.1,-1,-1,0.05,0.05,0.000304,0.982529
2,-1,1,0.15,0.15,-1,-1,0.05,0.05,0.000304,0.982529
2,-1,1,0.2,0.2,-1,-1,0.05,0.05,0.000304,0.982529
2,-1,1,0.25,0.25,-1,-1,0.05,0.05,0.000304,0.982529
2,-1,1,0.3,0.3,-1,-1,0.05,0.05,0.000304,0.982529
2,-1,1,0.35,0.35,-1,-1,0.05,0.05,0.000304,0.982529
2,-1,1,0.4,0.4,-1,-1,0.05,0.05,0.000304,0.982529
2,-1,1,0.45,0.45,-1,-1,0.05,0.05,0.000304,0.982529
2,-1,1,0.5,0.5,-1,-1,0.05,0.05,0.000304,0.982529
2,-1,1,0.55,0.55,-1,-1,0.05,0.05,0.000304,0.982529
2,-1,1,0.6,0.6,-1,-1,0.05,0.05,0.000304,0.982529
2,-1,1,0.65,0.65,-1,-1,0.05,0.05,0.000304,0.982529
2,-1,1,0.7,0.7,-1,-1,0.05,0.05,0.000304,0.982529
2,-1,1,0.75,0.75,-1,-1,0.05,0.05,0.000304,0.982529
2,-1,1,0.8,0.8,-1,-1,0.05,0.05,0.000304,0.982529
2,-1,1,0.85,0.85,-1,-1,0.05,0.05,0.000304,0.982529
2,-1,1,0.9,0.9,-1,-1,0.05,0.05,0.000304,0.982529
2,-1,1,0.95,0.95,-1,-1,0.05,0.05,0.000304,0.982529
2,-1,1,1.0,1.0,-1,-1,0.05,0.05,0.000304,0.982529
2,-1,1,0.05,0.05,-1,-1,0.1,0.05,0.000727,0.96636
2,-1,1,0.1,0.1,-1,-1,0.1,0.05,0.001074,0.957743
2,-1,1,0.15,0.15,-1,-1,0.1,0.05,0.001347,0.952834
2,-1,1,0.2,0.2,-1,-1,0.1,0.05,0.001562,0.949246
2,-1,1,0.25,0.25,-1,-1,0.1,0.05,0.001781,0.9465
2,-1,1,0.3,0.3,-1,-1,0.1,0.05,0.00195,0.944921
2,-1,1,0.35,0.35,-1,-1,0.1,0.05,0.00209,0.94329
2,-1,1,0.4,0.4,-1,-1,0.1,0.05,0.002244,0.94214
2,-1,1,0.45,0.45,-1,-1,0.1,0.05,0.00237,0.941059
2,-1,1,0.5,0.5,-1,-1,0.1,0.05,0.002513,0.940389
2,-1,1,0.55,0.55,-1,-1,0.1,0.05,0.002634,0.939703
2,-1,1,0.6,0.6,-1,-1,0.1,0.05,0.002758,0.939188
2,-1,1,0.65,0.65,-1,-1,0.1,0.05,0.002881,0.938827
2,-1,1,0.7,0.7,-1,-1,0.1,0.05,0.002977,0.938415
2,-1,1,0.75,0.75,-1,-1,0.1,0.05,0.0031,0.938158
2,-1,1,0.8,0.8,-1,-1,0.1,0.05,0.003196,0.937746
2,-1,1,0.85,0.85,-1,-1,0.1,0.05,0.003312,0.937557
2,-1,1,0.9,0.9,-1,-1,0.1,0.05,0.003444,0.937437
2,-1,1,0.95,0.95,-1,-1,0.1,0.05,0.003601,0.937351
2,-1,1,1.0,1.0,-1,-1,0.1,0.05,0.003953,0.937334
2,-1,1,0.05,0.05,-1,-1,0.15,0.05,0.001783,0.94625
2,-1,1,0.1,0.1,-1,-1,0.15,0.05,0.002999,0.926916
2,-1,1,0.15,0.15,-1,-1,0.15,0.05,0.003954,0.915901
2,-1,1,0.2,0.2,-1,-1,0.15,0.05,0.004707,0.907852
2,-1,1,0.25,0.25,-1,-1,0.15,0.05,0.005472,0.90169
2,-1,1,0.3,0.3,-1,-1,0.15,0.05,0.006066,0.898147
2,-1,1,0.35,0.35,-1,-1,0.15,0.05,0.006555,0.894488
2,-1,1,0.4,0.4,-1,-1,0.15,0.05,0.007095,0.891908
2,-1,1,0.45,0.45,-1,-1,0.15,0.05,0.007533,0.889481
2,-1,1,0.5,0.5,-1,-1,0.15,0.05,0.008034,0.887979
2,-1,1,0.55,0.55,-1,-1,0.15,0.05,0.008458,0.886439
2,-1,1,0.6,0.6,-1,-1,0.15,0.05,0.008892,0.885283
2,-1,1,0.65,0.65,-1,-1,0.15,0.05,0.009323,0.884475
2,-1,1,0.7,0.7,-1,-1,0.15,0.05,0.009657,0.88355
2,-1,1,0.75,0.75,-1,-1,0.15,0.05,0.010088,0.882973
2,-1,1,0.8,0.8,-1,-1,0.15,0.05,0.010426,0.882048
2,-1,1,0.85,0.85,-1,-1,0.15,0.05,0.01083,0.881625
2,-1,1,0.9,0.9,-1,-1,0.15,0.05,0.011292,0.881355
2,-1,1,0.95,0.95,-1,-1,0.15,0.05,0.011843,0.881163
2,-1,1,1.0,1.0,-1,-1,0.15,0.05,0.013074,0.881124
2,-1,1,0.05,0.05,-1,-1,0.2,0.05,0.003298,0.924917
2,-1,1,0.1,0.1,-1,-1,0.2,0.05,0.005757,0.894215
2,-1,1,0.15,0.15,-1,-1,0.2,0.05,0.00769,0.876723
2,-1,1,0.2,0.2,-1,-1,0.2,0.05,0.009215,0.863941
2,-1,1,0.25,0.25,-1,-1,0.2,0.05,0.010763,0.854155
2,-1,1,0.3,0.3,-1,-1,0.2,0.05,0.011965,0.848528
2,-1,1,0.35,0.35,-1,-1,0.2,0.05,0.012955,0.842718
2,-1,1,0.4,0.4,-1,-1,0.2,0.05,0.014047,0.838621
2,-1,1,0.45,0.45,-1,-1,0.2,0.05,0.014935,0.834768
2,-1,1,0.5,0.5,-1,-1,0.2,0.05,0.015949,0.832382
2,-1,1,0.55,0.55,-1,-1,0.2,0.05,0.016805,0.829936
2,-1,1,0.6,0.6,-1,-1,0.2,0.05,0.017685,0.828101
2,-1,1,0.65,0.65,-1,-1,0.2,0.05,0.018557,0.826817
2,-1,1,0.7,0.7,-1,-1,0.2,0.05,0.019233,0.825349
2,-1,1,0.75,0.75,-1,-1,0.2,0.05,0.020105,0.824432
2,-1,1,0.8,0.8,-1,-1,0.2,0.05,0.020789,0.822964
2,-1,1,0.85,0.85,-1,-1,0.2,0.05,0.021606,0.822291
2,-1,1,0.9,0.9,-1,-1,0.2,0.05,0.022541,0.821863
2,-1,1,0.95,0.95,-1,-1,0.2,0.05,0.023657,0.821557
2,-1,1,1.0,1.0,-1,-1,0.2,0.05,0.026148,0.821496
2,-1,1,0.05,0.05,-1,-1,0.25,0.05,0.00527,0.900051
2,-1,1,0.1,0.1,-1,-1,0.25,0.05,0.00935,0.856098
2,-1,1,0.15,0.15,-1,-1,0.25,0.05,0.012556,0.831057
2,-1,1,0.2,0.2,-1,-1,0.25,0.05,0.015085,0.812758
2,-1,1,0.25,0.25,-1,-1,0.25,0.05,0.017653,0.798749
2,-1,1,0.3,0.3,-1,-1,0.25,0.05,0.019647,0.790694
2,-1,1,0.35,0.35,-1,-1,0.25,0.05,0.021289,0.782376
2,-1,1,0.4,0.4,-1,-1,0.25,0.05,0.023101,0.77651
2,-1,1,0.45,0.45,-1,-1,0.25,0.05,0.024574,0.770994
2,-1,1,0.5,0.5,-1,-1,0.25,0.05,0.026255,0.767579
2,-1,1,0.55,0.55,-1,-1,0.25,0.05,0.027676,0.764077
2,-1,1,0.6,0.6,-1,-1,0.25,0.05,0.029136,0.76145
2,-1,1,0.65,0.65,-1,-1,0.25,0.05,0.030583,0.759611
2,-1,1,0.7,0.7,-1,-1,0.25,0.05,0.031704,0.75751
2,-1,1,0.75,0.75,-1,-1,0.25,0.05,0.033151,0.756197
2,-1,1,0.8,0.8,-1,-1,0.25,0.05,0.034285,0.754095
2,-1,1,0.85,0.85,-1,-1,0.25,0.05,0.03564,0.753132
2,-1,1,0.9,0.9,-1,-1,0.25,0.05,0.037191,0.752519
2,-1,1,0.95,0.95,-1,-1,0.25,0.05,0.039042,0.752082
2,-1,1,1.0,1.0,-1,-1,0.25,0.05,0.043174,0.751994
2,-1,1,0.05,0.05,-1,-1,0.3,0.05,0.008546,0.870565
2,-1,1,0.1,0.1,-1,-1,0.3,0.05,0.015316,0.810899
2,-1,1,0.15,0.15,-1,-1,0.3,0.05,0.020638,0.776906
2,-1,1,0.2,0.2,-1,-1,0.3,0.05,0.024834,0.752065
2,-1,1,0.25,0.25,-1,-1,0.3,0.05,0.029096,0.733048
2,-1,1,0.3,0.3,-1,-1,0.3,0.05,0.032405,0.722113
2,-1,1,0.35,0.35,-1,-1,0.3,0.05,0.035131,0.710821
2,-1,1,0.4,0.4,-1,-1,0.3,0.05,0.038138,0.702858
2,-1,1,0.45,0.45,-1,-1,0.3,0.05,0.040582,0.69537
2,-1,1,0.5,0.5,-1,-1,0.3,0.05,0.043372,0.690734
2,-1,1,0.55,0.55,-1,-1,0.3,0.05,0.04573,0.68598
2,-1,1,0.6,0.6,-1,-1,0.3,0.05,0.048153,0.682415
2,-1,1,0.65,0.65,-1,-1,0.3,0.05,0.050554,0.679919
2,-1,1,0.7,0.7,-1,-1,0.3,0.05,0.052414,0.677066
2,-1,1,0.75,0.75,-1,-1,0.3,0.05,0.054815,0.675283
2,-1,1,0.8,0.8,-1,-1,0.3,0.05,0.056697,0.672431
2,-1,1,0.85,0.85,-1,-1,0.3,0.05,0.058947,0.671123
2,-1,1,0.9,0.9,-1,-1,0.3,0.05,0.061521,0.670291
2,-1,1,0.95,0.95,-1,-1,0.3,0.05,0.064593,0.669697
2,-1,1,1.0,1.0,-1,-1,0.3,0.05,0.07145,0.669578
2,-1,1,0.05,0.05,-1,-1,0.35,0.05,0.012737,0.842439
2,-1,1,0.1,0.1,-1,-1,0.35,0.05,0.022951,0.767784
2,-1,1,0.15,0.15,-1,-1,0.35,0.05,0.030978,0.725251
2,-1,1,0.2,0.2,-1,-1,0.35,0.05,0.037309,0.69417
2,-1,1,0.25,0.25,-1,-1,0.35,0.05,0.043737,0.670375
2,-1,1,0.3,0.3,-1,-1,0.35,0.05,0.04873,0.656693
2,-1,1,0.35,0.35,-1,-1,0.35,0.05,0.052842,0.642565
2,-1,1,0.4,0.4,-1,-1,0.35,0.05,0.057378,0.632602
2,-1,1,0.45,0.45,-1,-1,0.35,0.05,0.061065,0.623232
2,-1,1,0.5,0.5,-1,-1,0.35,0.05,0.065275,0.617432
2,-1,1,0.55,0.55,-1,-1,0.35,0.05,0.068831,0.611484
